agebroad,gender,population,country,variant,year
0,female,165.218,604,estimates,1950
0_1,female,281.626,604,estimates,1950
0_4,female,641.275,604,estimates,1950
0_14,female,1586.962,604,estimates,1950
0_17,female,1827.924,604,estimates,1950
0_19,female,1976.607,604,estimates,1950
0_24,female,2303.626,604,estimates,1950
3_4,female,232.659,604,estimates,1950
3_5,female,340.489,604,estimates,1950
3_6,female,443.888,604,estimates,1950
4_5,female,220.987,604,estimates,1950
4_6,female,324.386,604,estimates,1950
5_14,female,945.687,604,estimates,1950
5_10,female,594.212,604,estimates,1950
5_11,female,684.986,604,estimates,1950
6_9,female,394.115,604,estimates,1950
6_10,female,486.382,604,estimates,1950
6_11,female,577.156,604,estimates,1950
6_12,female,666.284,604,estimates,1950
7_10,female,382.983,604,estimates,1950
7_12,female,562.885,604,estimates,1950
11_16,female,514.253,604,estimates,1950
11_17,female,592.437,604,estimates,1950
11_18,female,668.12,604,estimates,1950
12_14,female,260.701,604,estimates,1950
12_16,female,423.479,604,estimates,1950
12_17,female,501.663,604,estimates,1950
12_18,female,577.346,604,estimates,1950
13_17,female,412.535,604,estimates,1950
13_18,female,488.218,604,estimates,1950
13_19,female,561.218,604,estimates,1950
15_17,female,240.962,604,estimates,1950
18_23,female,415.034,604,estimates,1950
15_24,female,716.664,604,estimates,1950
15_49,female,1772.9,604,estimates,1950
15_59,female,2025.71,604,estimates,1950
15_64,female,2114.894,604,estimates,1950
20_64,female,1725.249,604,estimates,1950
20_69,female,1786.289,604,estimates,1950
25_49,female,1056.236,604,estimates,1950
25_64,female,1398.23,604,estimates,1950
25_69,female,1459.27,604,estimates,1950
15plus,female,2260.163,604,estimates,1950
16plus,female,2177.769,604,estimates,1950
17plus,female,2097.385,604,estimates,1950
18plus,female,2019.201,604,estimates,1950
20plus,female,1870.518,604,estimates,1950
21plus,female,1800.139,604,estimates,1950
25plus,female,1543.499,604,estimates,1950
50plus,female,487.263,604,estimates,1950
60plus,female,234.453,604,estimates,1950
65plus,female,145.269,604,estimates,1950
70plus,female,84.229,604,estimates,1950
75plus,female,39.637,604,estimates,1950
80plus,female,14.863,604,estimates,1950
85plus,female,3.971,604,estimates,1950
90plus,female,0.712,604,estimates,1950
total,female,3847.125,604,estimates,1950
0,male,170.785,604,estimates,1950
0_1,male,288.759,604,estimates,1950
0_4,male,657.167,604,estimates,1950
0_14,male,1625.077,604,estimates,1950
0_17,male,1872.189,604,estimates,1950
0_19,male,2024.629,604,estimates,1950
0_24,male,2359.148,604,estimates,1950
