country,year,variant,gender,agebroad,population
862,1950,estimates,female,total,2689.921
862,1950,estimates,male,total,2792.056
862,1950,estimates,female,0_1,218.088
862,1950,estimates,male,0_1,223.095
862,1950,estimates,female,0_4,505.353
862,1950,estimates,male,0_4,516.384
862,1950,estimates,female,0_14,1235.382
862,1950,estimates,male,0_14,1259.252
862,1950,estimates,female,0_17,1407.418
862,1950,estimates,male,0_17,1434.964
862,1950,estimates,female,0_19,1512.581
862,1950,estimates,male,0_19,1542.887
862,1950,estimates,female,0_24,1745.939
862,1950,estimates,male,0_24,1784.383
862,1950,estimates,female,3_4,186.659
862,1950,estimates,male,3_4,190.494
862,1950,estimates,female,3_5,273.54
862,1950,estimates,male,3_5,279.054
862,1950,estimates,female,3_6,356.619
862,1950,estimates,male,3_6,363.676
862,1950,estimates,female,4_5,177.929
862,1950,estimates,male,4_5,181.44
862,1950,estimates,female,4_6,261.008
862,1950,estimates,male,4_6,266.062
862,1950,estimates,female,5_10,470.34
862,1950,estimates,male,5_10,478.727
862,1950,estimates,female,5_11,538.756
862,1950,estimates,male,5_11,548.265
862,1950,estimates,female,5_14,730.029
862,1950,estimates,male,5_14,742.868
862,1950,estimates,female,6_9,312.617
862,1950,estimates,male,6_9,318.151
862,1950,estimates,female,6_10,383.459
862,1950,estimates,male,6_10,390.167
862,1950,estimates,female,6_11,451.875
862,1950,estimates,male,6_11,459.705
862,1950,estimates,female,6_12,517.953
862,1950,estimates,male,6_12,526.878
862,1950,estimates,female,7_10,300.38
862,1950,estimates,male,7_10,305.545
862,1950,estimates,female,7_12,434.874
862,1950,estimates,male,7_12,442.256
862,1950,estimates,female,11_16,376.334
862,1950,estimates,male,11_16,383.181
862,1950,estimates,female,11_17,431.725
862,1950,estimates,male,11_17,439.853
862,1950,estimates,female,11_18,485.226
862,1950,estimates,male,11_18,494.7
862,1950,estimates,female,12_14,191.273
862,1950,estimates,male,12_14,194.603
862,1950,estimates,female,12_16,307.918
862,1950,estimates,male,12_16,313.643
862,1950,estimates,female,12_17,363.309
862,1950,estimates,male,12_17,370.315
862,1950,estimates,female,12_18,416.81
862,1950,estimates,male,12_18,425.162
862,1950,estimates,female,13_17,297.231
862,1950,estimates,male,13_17,303.142
862,1950,estimates,female,13_18,350.732
862,1950,estimates,male,13_18,357.989
862,1950,estimates,female,13_19,402.394
