agebroad,population,country,variant,year
0_1,2.539,296,estimates,1950
0_4,5.51,296,estimates,1950
0_14,13.454,296,estimates,1950
0_17,15.686,296,estimates,1950
0_19,17.118,296,estimates,1950
0_24,20.521,296,estimates,1950
3_4,1.893,296,estimates,1950
3_5,2.748,296,estimates,1950
3_6,3.565,296,estimates,1950
4_5,1.765,296,estimates,1950
4_6,2.582,296,estimates,1950
5_14,7.944,296,estimates,1950
5_10,4.795,296,estimates,1950
5_11,5.587,296,estimates,1950
6_9,3.162,296,estimates,1950
6_10,3.94,296,estimates,1950
6_11,4.732,296,estimates,1950
6_12,5.53,296,estimates,1950
7_10,3.123,296,estimates,1950
7_12,4.713,296,estimates,1950
11_16,4.649,296,estimates,1950
11_17,5.381,296,estimates,1950
11_18,6.102,296,estimates,1950
12_14,2.357,296,estimates,1950
12_16,3.857,296,estimates,1950
12_17,4.589,296,estimates,1950
12_18,5.31,296,estimates,1950
13_17,3.791,296,estimates,1950
13_18,4.512,296,estimates,1950
13_19,5.223,296,estimates,1950
15_17,2.232,296,estimates,1950
18_23,4.155,296,estimates,1950
15_24,7.067,296,estimates,1950
15_49,15.724,296,estimates,1950
15_59,17.597,296,estimates,1950
15_64,18.357,296,estimates,1950
20_64,14.693,296,estimates,1950
20_69,15.196,296,estimates,1950
25_49,8.657,296,estimates,1950
25_64,11.29,296,estimates,1950
25_69,11.793,296,estimates,1950
15plus,19.594,296,estimates,1950
16plus,18.838,296,estimates,1950
17plus,18.094,296,estimates,1950
18plus,17.362,296,estimates,1950
20plus,15.93,296,estimates,1950
21plus,15.232,296,estimates,1950
25plus,12.527,296,estimates,1950
50plus,3.87,296,estimates,1950
60plus,1.997,296,estimates,1950
65plus,1.237,296,estimates,1950
70plus,0.734,296,estimates,1950
75plus,0.396,296,estimates,1950
80plus,0.174,296,estimates,1950
85plus,0.061,296,estimates,1950
90plus,0.011,296,estimates,1950
total,33.048,296,estimates,1950
0_1,2.586,296,estimates,1951
0_4,5.785,296,estimates,1951
0_14,13.793,296,estimates,1951
0_17,16.012,296,estimates,1951
0_19,17.421,296,estimates,1951
0_24,20.764,296,estimates,1951
3_4,2.033,296,estimates,1951
3_5,2.937,296,estimates,1951
3_6,3.787,296,estimates,1951
4_5,1.877,296,estimates,1951
4_6,2.727,296,estimates,1951
5_14,8.008,296,estimates,1951
5_10,4.883,296,estimates,1951
5_11,5.655,296,estimates,1951
6_9,3.212,296,estimates,1951
6_10,3.979,296,estimates,1951
6_11,4.751,296,estimates,1951
6_12,5.536,296,estimates,1951
7_10,3.129,296,estimates,1951
7_12,4.686,296,estimates,1951
11_16,4.62,296,estimates,1951
11_17,5.344,296,estimates,1951
11_18,6.054,296,estimates,1951
12_14,2.353,296,estimates,1951
12_16,3.848,296,estimates,1951
12_17,4.572,296,estimates,1951
12_18,5.282,296,estimates,1951
13_17,3.787,296,estimates,1951
13_18,4.497,296,estimates,1951
13_19,5.196,296,estimates,1951
15_17,2.219,296,estimates,1951
18_23,4.095,296,estimates,1951
15_24,6.971,296,estimates,1951
15_49,15.958,296,estimates,1951
15_59,17.793,296,estimates,1951
15_64,18.569,296,estimates,1951
20_64,14.941,296,estimates,1951
20_69,15.463,296,estimates,1951
25_49,8.987,296,estimates,1951
25_64,11.598,296,estimates,1951
25_69,12.12,296,estimates,1951
15plus,19.83,296,estimates,1951
16plus,19.074,296,estimates,1951
17plus,18.335,296,estimates,1951
18plus,17.611,296,estimates,1951
20plus,16.202,296,estimates,1951
21plus,15.512,296,estimates,1951
25plus,12.859,296,estimates,1951
50plus,3.872,296,estimates,1951
60plus,2.037,296,estimates,1951
65plus,1.261,296,estimates,1951
70plus,0.739,296,estimates,1951
75plus,0.401,296,estimates,1951
80plus,0.181,296,estimates,1951
85plus,0.066,296,estimates,1951
90plus,0.014,296,estimates,1951
total,33.623,296,estimates,1951
0_1,2.503,296,estimates,1952
0_4,5.943,296,estimates,1952
0_14,14.112,296,estimates,1952
0_17,16.355,296,estimates,1952
0_19,17.753,296,estimates,1952
0_24,21.058,296,estimates,1952
3_4,2.188,296,estimates,1952
3_5,3.156,296,estimates,1952
3_6,4.059,296,estimates,1952
4_5,2.015,296,estimates,1952
4_6,2.918,296,estimates,1952
5_14,8.169,296,estimates,1952
5_10,5.069,296,estimates,1952
5_11,5.833,296,estimates,1952
6_9,3.336,296,estimates,1952
6_10,4.101,296,estimates,1952
6_11,4.865,296,estimates,1952
6_12,5.634,296,estimates,1952
