country,year,variant,agebroad,population
512,1950,estimates,total,456.418
512,1950,estimates,0_1,33.933
512,1950,estimates,0_4,78.037
512,1950,estimates,0_14,193.213
512,1950,estimates,0_17,221.891
512,1950,estimates,0_19,239.667
512,1950,estimates,0_24,279.569
512,1950,estimates,3_4,28.611
512,1950,estimates,3_5,41.925
512,1950,estimates,3_6,54.693
512,1950,estimates,4_5,27.258
512,1950,estimates,4_6,40.026
512,1950,estimates,5_10,73.008
512,1950,estimates,5_11,83.969
512,1950,estimates,5_14,115.176
512,1950,estimates,6_9,48.474
512,1950,estimates,6_10,59.694
512,1950,estimates,6_11,70.655
512,1950,estimates,6_12,81.355
512,1950,estimates,7_10,46.926
512,1950,estimates,7_12,68.587
512,1950,estimates,11_16,61.548
512,1950,estimates,11_17,70.846
512,1950,estimates,11_18,79.872
512,1950,estimates,12_14,31.207
512,1950,estimates,12_16,50.587
512,1950,estimates,12_17,59.885
512,1950,estimates,12_18,68.911
512,1950,estimates,13_17,49.185
512,1950,estimates,13_18,58.211
512,1950,estimates,13_19,66.961
512,1950,estimates,15plus,263.205
512,1950,estimates,15_17,28.678
512,1950,estimates,15_24,86.356
512,1950,estimates,15_49,214.352
512,1950,estimates,15_59,240.548
512,1950,estimates,15_64,249.39
512,1950,estimates,16plus,253.385
512,1950,estimates,17plus,243.825
512,1950,estimates,18plus,234.527
512,1950,estimates,18_23,50.184
512,1950,estimates,20plus,216.751
512,1950,estimates,20_64,202.936
512,1950,estimates,20_69,209.346
512,1950,estimates,21plus,208.267
512,1950,estimates,25plus,176.849
512,1950,estimates,25_49,127.996
512,1950,estimates,25_64,163.034
512,1950,estimates,25_69,169.444
512,1950,estimates,50plus,48.853
512,1950,estimates,60plus,22.657
512,1950,estimates,65plus,13.815
512,1950,estimates,70plus,7.405
512,1950,estimates,75plus,3.205
512,1950,estimates,80plus,0.995
512,1955,estimates,total,495.824
512,1955,estimates,0_1,36.962
512,1955,estimates,0_4,84.725
512,1955,estimates,0_14,212.017
512,1955,estimates,0_17,243.938
512,1955,estimates,0_19,263.621
512,1955,estimates,0_24,307.339
512,1955,estimates,3_4,30.971
512,1955,estimates,3_5,45.411
512,1955,estimates,3_6,59.302
512,1955,estimates,4_5,29.537
512,1955,estimates,4_6,43.428
512,1955,estimates,5_10,79.996
512,1955,estimates,5_11,92.257
512,1955,estimates,5_14,127.292
512,1955,estimates,6_9,53.096
512,1955,estimates,6_10,65.556
512,1955,estimates,6_11,77.817
512,1955,estimates,6_12,89.837
512,1955,estimates,7_10,51.665
512,1955,estimates,7_12,75.946
512,1955,estimates,11_16,68.906
512,1955,estimates,11_17,79.217
512,1955,estimates,11_18,89.213
512,1955,estimates,12_14,35.035
512,1955,estimates,12_16,56.645
512,1955,estimates,12_17,66.956
512,1955,estimates,12_18,76.952
512,1955,estimates,13_17,54.936
512,1955,estimates,13_18,64.932
512,1955,estimates,13_19,74.619
512,1955,estimates,15plus,283.807
512,1955,estimates,15_17,31.921
512,1955,estimates,15_24,95.322
512,1955,estimates,15_49,229.32
512,1955,estimates,15_59,259.257
512,1955,estimates,15_64,269.054
512,1955,estimates,16plus,272.835
512,1955,estimates,17plus,262.197
512,1955,estimates,18plus,251.886
512,1955,estimates,18_23,55.329
512,1955,estimates,20plus,232.203
512,1955,estimates,20_64,217.45
512,1955,estimates,20_69,224.454
512,1955,estimates,21plus,222.823
512,1955,estimates,25plus,188.485
512,1955,estimates,25_49,133.998
512,1955,estimates,25_64,173.732
512,1955,estimates,25_69,180.736
512,1955,estimates,50plus,54.487
512,1955,estimates,60plus,24.55
512,1955,estimates,65plus,14.753
512,1955,estimates,70plus,7.749
