global,year,variant,gender,age1yearinterval,population
900,1950,estimates,female,"Region, subregion, country or area *",WORLD
900,1950,estimates,male,"Region, subregion, country or area *",WORLD
900,1950,estimates,female,0,38560.136
900,1950,estimates,male,0,39834.839
900,1950,estimates,female,1,35335.53
900,1950,estimates,male,1,36600.074
900,1950,estimates,female,2,32686.096
900,1950,estimates,male,2,33947.715
900,1950,estimates,female,3,30555.679
900,1950,estimates,male,3,31819.952
900,1950,estimates,female,4,28888.136
900,1950,estimates,male,4,30158.998
900,1950,estimates,female,5,27627.316
900,1950,estimates,male,5,28907.032
900,1950,estimates,female,6,26717.068
900,1950,estimates,male,6,28006.278
900,1950,estimates,female,7,26101.231
900,1950,estimates,male,7,27398.907
900,1950,estimates,female,8,25723.679
900,1950,estimates,male,8,27027.155
900,1950,estimates,female,9,25528.245
900,1950,estimates,male,9,26833.194
900,1950,estimates,female,10,25526.977
900,1950,estimates,male,10,26831.785
900,1950,estimates,female,11,25731.913
900,1950,estimates,male,11,27037.684
900,1950,estimates,female,12,25745.949
900,1950,estimates,male,12,27030.332
900,1950,estimates,female,13,25376.562
900,1950,estimates,male,13,26606.838
900,1950,estimates,female,14,24772.178
900,1950,estimates,male,14,25927.056
900,1950,estimates,female,15,24264.807
900,1950,estimates,male,15,25339.136
900,1950,estimates,female,16,23777.298
900,1950,estimates,male,16,24755.922
900,1950,estimates,female,17,23358.43
900,1950,estimates,male,17,24266.343
900,1950,estimates,female,18,23062.166
900,1950,estimates,male,18,23943.809
900,1950,estimates,female,19,22837.619
900,1950,estimates,male,19,23715.054
900,1950,estimates,female,20,22580.397
900,1950,estimates,male,20,23447.49
900,1950,estimates,female,21,22311.934
900,1950,estimates,male,21,23184.564
900,1950,estimates,female,22,21997.191
900,1950,estimates,male,22,22797.543
900,1950,estimates,female,23,21608.395
900,1950,estimates,male,23,22214.454
900,1950,estimates,female,24,21164.863
900,1950,estimates,male,24,21506.777
900,1950,estimates,female,25,20738.749
900,1950,estimates,male,25,20830.778
900,1950,estimates,female,26,20345.704
900,1950,estimates,male,26,20170.503
900,1950,estimates,female,27,19853.844
900,1950,estimates,male,27,19518.076
900,1950,estimates,female,28,19214.473
900,1950,estimates,male,28,18890.291
900,1950,estimates,female,29,18501.847
900,1950,estimates,male,29,18297.212
900,1950,estimates,female,30,17807.299
900,1950,estimates,male,30,17707.296
900,1950,estimates,female,31,17074.681
900,1950,estimates,male,31,17097.034
900,1950,estimates,female,32,16587.722
900,1950,estimates,male,32,16668.6
900,1950,estimates,female,33,16484.79
