agebroad,gender,population,global,variant,year
0,female,42640.089,900,estimates,1950
0_1,female,73658.042,900,estimates,1950
0_4,female,165580.655,900,estimates,1950
0_14,female,424149.489,900,estimates,1950
0_17,female,495328.671,900,estimates,1950
0_19,female,541085.194,900,estimates,1950
0_24,female,650471.721,900,estimates,1950
3_4,female,59322.372,900,estimates,1950
3_5,female,86908.259,900,estimates,1950
3_6,female,113593.086,900,estimates,1950
4_5,female,56420.683,900,estimates,1950
4_6,female,83105.51,900,estimates,1950
5_14,female,258568.834,900,estimates,1950
5_10,female,157064.876,900,estimates,1950
5_11,female,182777.322,900,estimates,1950
6_9,female,103971.252,900,estimates,1950
6_10,female,129478.989,900,estimates,1950
6_11,female,155191.435,900,estimates,1950
6_12,female,180913.631,900,estimates,1950
7_10,female,102794.162,900,estimates,1950
7_12,female,154228.804,900,estimates,1950
11_16,female,149409.604,900,estimates,1950
11_17,female,172683.14,900,estimates,1950
11_18,female,195666.563,900,estimates,1950
12_14,female,75791.512,900,estimates,1950
12_16,female,123697.158,900,estimates,1950
12_17,female,146970.694,900,estimates,1950
12_18,female,169954.117,900,estimates,1950
13_17,female,121248.498,900,estimates,1950
13_18,female,144231.921,900,estimates,1950
13_19,female,167005.021,900,estimates,1950
15_17,female,71179.182,900,estimates,1950
18_23,female,134068.025,900,estimates,1950
15_24,female,226322.232,900,estimates,1950
15_49,female,628702.012,900,estimates,1950
15_59,female,729794.037,900,estimates,1950
15_64,female,768846.159,900,estimates,1950
20_64,female,651910.454,900,estimates,1950
20_69,female,681967.013,900,estimates,1950
25_49,female,402379.78,900,estimates,1950
25_64,female,542523.927,900,estimates,1950
25_69,female,572580.486,900,estimates,1950
15plus,female,840978.986,900,estimates,1950
16plus,female,816773.952,900,estimates,1950
17plus,female,793073.34,900,estimates,1950
18plus,female,769799.804,900,estimates,1950
20plus,female,724043.281,900,estimates,1950
21plus,female,701515.39,900,estimates,1950
25plus,female,614656.754,900,estimates,1950
50plus,female,212276.974,900,estimates,1950
60plus,female,111184.949,900,estimates,1950
65plus,female,72132.827,900,estimates,1950
70plus,female,42076.268,900,estimates,1950
75plus,female,21276.381,900,estimates,1950
80plus,female,8679.775,900,estimates,1950
85plus,female,2955.394,900,estimates,1950
90plus,female,789.879,900,estimates,1950
total,female,1265128.475,900,estimates,1950
0,male,44519.12,900,estimates,1950
0_1,male,76166.315,900,estimates,1950
0_4,male,171851.238,900,estimates,1950
0_14,male,443117.94,900,estimates,1950
0_17,male,517323.906,900,estimates,1950
0_19,male,564810.683,900,estimates,1950
0_24,male,677205.065,900,estimates,1950
3_4,male,61835.818,900,estimates,1950
3_5,male,90692.056,900,estimates,1950
3_6,male,118657.474,900,estimates,1950
4_5,male,58951.613,900,estimates,1950
4_6,male,86917.031,900,estimates,1950
5_14,male,271266.702,900,estimates,1950
5_10,male,164798.145,900,estimates,1950
5_11,male,191807.378,900,estimates,1950
6_9,male,109136.186,900,estimates,1950
6_10,male,135941.907,900,estimates,1950
6_11,male,162951.14,900,estimates,1950
6_12,male,189949.867,900,estimates,1950
7_10,male,107976.489,900,estimates,1950
7_12,male,161984.449,900,estimates,1950
11_16,male,156468.998,900,estimates,1950
11_17,male,180674.523,900,estimates,1950
11_18,male,204541.859,900,estimates,1950
12_14,male,79459.324,900,estimates,1950
12_16,male,129459.765,900,estimates,1950
12_17,male,153665.29,900,estimates,1950
12_18,male,177532.626,900,estimates,1950
13_17,male,126666.563,900,estimates,1950
13_18,male,150533.899,900,estimates,1950
13_19,male,174153.34,900,estimates,1950
15_17,male,74205.966,900,estimates,1950
18_23,male,138560.595,900,estimates,1950
15_24,male,234087.125,900,estimates,1950
15_49,male,630882.964,900,estimates,1950
15_59,male,725999.722,900,estimates,1950
15_64,male,760369.963,900,estimates,1950
20_64,male,638677.22,900,estimates,1950
20_69,male,663727.09,900,estimates,1950
25_49,male,396795.839,900,estimates,1950
25_64,male,526282.838,900,estimates,1950
25_69,male,551332.708,900,estimates,1950
15plus,male,816902.897,900,estimates,1950
16plus,male,791607.882,900,estimates,1950
17plus,male,766902.456,900,estimates,1950
18plus,male,742696.931,900,estimates,1950
20plus,male,695210.154,900,estimates,1950
21plus,male,671877.241,900,estimates,1950
25plus,male,582815.772,900,estimates,1950
50plus,male,186019.933,900,estimates,1950
60plus,male,90903.175,900,estimates,1950
65plus,male,56532.934,900,estimates,1950
70plus,male,31483.064,900,estimates,1950
75plus,male,14922.763,900,estimates,1950
80plus,male,5522.052,900,estimates,1950
85plus,male,1667.548,900,estimates,1950
90plus,male,382.697,900,estimates,1950
total,male,1260020.837,900,estimates,1950
0,female,42640.089,900,estimates,1951
0_1,female,77695.465,900,estimates,1951
0_4,female,174787.241,900,estimates,1951
0_14,female,436203.322,900,estimates,1951
0_17,female,508466.884,900,estimates,1951
0_19,female,554456.289,900,estimates,1951
0_24,female,664809.474,900,estimates,1951
3_4,female,62476.702,900,estimates,1951
3_5,female,91173.212,900,estimates,1951
3_6,female,118649.181,900,estimates,1951
4_5,female,58955.604,900,estimates,1951
4_6,female,86431.573,900,estimates,1951
5_14,female,261416.081,900,estimates,1951
5_10,female,159581.897,900,estimates,1951
5_11,female,184990.774,900,estimates,1951
6_9,female,105484.341,900,estimates,1951
6_10,female,130885.387,900,estimates,1951
6_11,female,156294.264,900,estimates,1951
6_12,female,181896.275,900,estimates,1951
7_10,female,103409.418,900,estimates,1951
7_12,female,154420.306,900,estimates,1951
11_16,female,150523.905,900,estimates,1951
11_17,female,174097.746,900,estimates,1951
11_18,female,197239.647,900,estimates,1951
12_14,female,76425.307,900,estimates,1951
12_16,female,125115.028,900,estimates,1951
12_17,female,148688.869,900,estimates,1951
12_18,female,171830.77,900,estimates,1951
13_17,female,123086.858,900,estimates,1951
13_18,female,146228.759,900,estimates,1951
13_19,female,169076.263,900,estimates,1951
15_17,female,72263.562,900,estimates,1951
18_23,female,134941.397,900,estimates,1951
15_24,female,228606.152,900,estimates,1951
15_49,female,636291.123,900,estimates,1951
15_59,female,738993.244,900,estimates,1951
15_64,female,778276.363,900,estimates,1951
20_64,female,660023.396,900,estimates,1951
20_69,female,690526.344,900,estimates,1951
25_49,female,407684.971,900,estimates,1951
25_64,female,549670.211,900,estimates,1951
25_69,female,580173.159,900,estimates,1951
15plus,female,852115.817,900,estimates,1951
16plus,female,827509.283,900,estimates,1951
17plus,female,803426.096,900,estimates,1951
18plus,female,779852.255,900,estimates,1951
20plus,female,733862.85,900,estimates,1951
21plus,female,711229.441,900,estimates,1951
25plus,female,623509.665,900,estimates,1951
50plus,female,215824.694,900,estimates,1951
60plus,female,113122.573,900,estimates,1951
65plus,female,73839.454,900,estimates,1951
70plus,female,43336.506,900,estimates,1951
75plus,female,22171.974,900,estimates,1951
80plus,female,9236.195,900,estimates,1951
85plus,female,3156.85,900,estimates,1951
90plus,female,856.582,900,estimates,1951
total,female,1288319.139,900,estimates,1951
0,male,44519.12,900,estimates,1951
0_1,male,80526.217,900,estimates,1951
0_4,male,181337.423,900,estimates,1951
0_14,male,455375.604,900,estimates,1951
0_17,male,530794.246,900,estimates,1951
0_19,male,578532.643,900,estimates,1951
0_24,male,692421.862,900,estimates,1951
3_4,male,64952.556,900,estimates,1951
3_5,male,94894.928,900,estimates,1951
3_6,male,123628.235,900,estimates,1951
4_5,male,61440.15,900,estimates,1951
4_6,male,90173.457,900,estimates,1951
5_14,male,274038.181,900,estimates,1951
5_10,male,167207.346,900,estimates,1951
5_11,male,193893.433,900,estimates,1951
6_9,male,110581.815,900,estimates,1951
6_10,male,137264.974,900,estimates,1951
6_11,male,163951.061,900,estimates,1951
6_12,male,190825.347,900,estimates,1951
7_10,male,108531.667,900,estimates,1951
7_12,male,162092.04,900,estimates,1951
11_16,male,157706.644,900,estimates,1951
11_17,male,182249.477,900,estimates,1951
11_18,male,206287.99,900,estimates,1951
12_14,male,80144.748,900,estimates,1951
12_16,male,131020.557,900,estimates,1951
12_17,male,155563.39,900,estimates,1951
12_18,male,179601.903,900,estimates,1951
13_17,male,128689.104,900,estimates,1951
13_18,male,152727.617,900,estimates,1951
13_19,male,176427.501,900,estimates,1951
15_17,male,75418.642,900,estimates,1951
18_23,male,139738.263,900,estimates,1951
15_24,male,237046.258,900,estimates,1951
