agebroad,population,global,variant,year
0,87159.209,900,estimates,1950
0_1,149824.357,900,estimates,1950
0_4,337431.893,900,estimates,1950
0_14,867267.429,900,estimates,1950
0_17,1012652.577,900,estimates,1950
0_19,1105895.877,900,estimates,1950
0_24,1327676.786,900,estimates,1950
3_4,121158.19,900,estimates,1950
3_5,177600.315,900,estimates,1950
3_6,232250.56,900,estimates,1950
4_5,115372.296,900,estimates,1950
4_6,170022.541,900,estimates,1950
5_14,529835.536,900,estimates,1950
5_10,321863.021,900,estimates,1950
5_11,374584.7,900,estimates,1950
6_9,213107.438,900,estimates,1950
6_10,265420.896,900,estimates,1950
6_11,318142.575,900,estimates,1950
6_12,370863.498,900,estimates,1950
7_10,210770.651,900,estimates,1950
7_12,316213.253,900,estimates,1950
11_16,305878.602,900,estimates,1950
11_17,353357.663,900,estimates,1950
11_18,400208.422,900,estimates,1950
12_14,155250.836,900,estimates,1950
12_16,253156.923,900,estimates,1950
12_17,300635.984,900,estimates,1950
12_18,347486.743,900,estimates,1950
13_17,247915.061,900,estimates,1950
13_18,294765.82,900,estimates,1950
13_19,341158.361,900,estimates,1950
15_17,145385.148,900,estimates,1950
18_23,272628.62,900,estimates,1950
15_24,460409.357,900,estimates,1950
15_49,1259584.976,900,estimates,1950
15_59,1455793.759,900,estimates,1950
15_64,1529216.122,900,estimates,1950
20_64,1290587.674,900,estimates,1950
20_69,1345694.103,900,estimates,1950
25_49,799175.619,900,estimates,1950
25_64,1068806.765,900,estimates,1950
25_69,1123913.194,900,estimates,1950
15plus,1657881.883,900,estimates,1950
16plus,1608381.834,900,estimates,1950
17plus,1559975.796,900,estimates,1950
18plus,1512496.735,900,estimates,1950
20plus,1419253.435,900,estimates,1950
21plus,1373392.631,900,estimates,1950
25plus,1197472.526,900,estimates,1950
50plus,398296.907,900,estimates,1950
60plus,202088.124,900,estimates,1950
65plus,128665.761,900,estimates,1950
70plus,73559.332,900,estimates,1950
75plus,36199.144,900,estimates,1950
80plus,14201.827,900,estimates,1950
85plus,4622.942,900,estimates,1950
90plus,1172.576,900,estimates,1950
total,2525149.312,900,estimates,1950
0,87159.209,900,estimates,1951
0_1,158223.391,900,estimates,1951
0_4,356128.204,900,estimates,1951
0_14,891587.257,900,estimates,1951
0_17,1039270.551,900,estimates,1951
0_19,1132998.618,900,estimates,1951
0_24,1357241.458,900,estimates,1951
3_4,127430.332,900,estimates,1951
3_5,186069.609,900,estimates,1951
3_6,242279.202,900,estimates,1951
4_5,120396.621,900,estimates,1951
4_6,176606.214,900,estimates,1951
5_14,535459.053,900,estimates,1951
5_10,326791.506,900,estimates,1951
5_11,378887.019,900,estimates,1951
6_9,216067.564,900,estimates,1951
6_10,268152.229,900,estimates,1951
6_11,320247.742,900,estimates,1951
6_12,372724.687,900,estimates,1951
7_10,211942.636,900,estimates,1951
7_12,316515.094,900,estimates,1951
11_16,308233.93,900,estimates,1951
11_17,356350.841,900,estimates,1951
11_18,403531.413,900,estimates,1951
12_14,156572.034,900,estimates,1951
12_16,256138.417,900,estimates,1951
12_17,304255.328,900,estimates,1951
12_18,351435.9,900,estimates,1951
13_17,251778.383,900,estimates,1951
13_18,298958.955,900,estimates,1951
13_19,345506.45,900,estimates,1951
15_17,147683.294,900,estimates,1951
18_23,274680.332,900,estimates,1951
15_24,465654.201,900,estimates,1951
15_49,1275559.374,900,estimates,1951
15_59,1474873.441,900,estimates,1951
15_64,1548708.648,900,estimates,1951
20_64,1307297.287,900,estimates,1951
20_69,1363156.079,900,estimates,1951
25_49,809905.173,900,estimates,1951
25_64,1083054.447,900,estimates,1951
25_69,1138913.239,900,estimates,1951
15plus,1680280.258,900,estimates,1951
16plus,1629936.604,900,estimates,1951
17plus,1580713.875,900,estimates,1951
18plus,1532596.964,900,estimates,1951
20plus,1438868.897,900,estimates,1951
21plus,1392781.149,900,estimates,1951
25plus,1214626.057,900,estimates,1951
50plus,404720.884,900,estimates,1951
60plus,205406.817,900,estimates,1951
65plus,131571.61,900,estimates,1951
70plus,75712.818,900,estimates,1951
75plus,37773.369,900,estimates,1951
80plus,15183.496,900,estimates,1951
85plus,4965.376,900,estimates,1951
90plus,1281.839,900,estimates,1951
total,2571867.515,900,estimates,1951
0,87328.746,900,estimates,1952
0_1,164146.131,900,estimates,1952
0_4,372562.098,900,estimates,1952
0_14,914983.653,900,estimates,1952
0_17,1065326.533,900,estimates,1952
0_19,1159991.193,900,estimates,1952
0_24,1385899.863,900,estimates,1952
3_4,134064.608,900,estimates,1952
3_5,195313.302,900,estimates,1952
3_6,253624.363,900,estimates,1952
4_5,126107.773,900,estimates,1952
4_6,184418.834,900,estimates,1952
5_14,542421.555,900,estimates,1952
5_10,334333.624,900,estimates,1952
5_11,386164.905,900,estimates,1952
6_9,221021.536,900,estimates,1952
6_10,273084.93,900,estimates,1952
6_11,324916.211,900,estimates,1952
6_12,376776.016,900,estimates,1952
7_10,214773.869,900,estimates,1952
7_12,318464.955,900,estimates,1952
11_16,309503.223,900,estimates,1952
11_17,358430.811,900,estimates,1952
11_18,406236.744,900,estimates,1952
12_14,156256.65,900,estimates,1952
12_16,257671.942,900,estimates,1952
12_17,306599.53,900,estimates,1952
12_18,354405.463,900,estimates,1952
13_17,254739.725,900,estimates,1952
13_18,302545.658,900,estimates,1952
13_19,349404.385,900,estimates,1952
15_17,150342.88,900,estimates,1952
18_23,276590.369,900,estimates,1952
15_24,470916.21,900,estimates,1952
15_49,1291762.17,900,estimates,1952
15_59,1494640.058,900,estimates,1952
15_64,1568822.427,900,estimates,1952
20_64,1323814.887,900,estimates,1952
20_69,1380497.982,900,estimates,1952
25_49,820845.96,900,estimates,1952
25_64,1097906.217,900,estimates,1952
25_69,1154589.312,900,estimates,1952
15plus,1702956.746,900,estimates,1952
16plus,1651599.731,900,estimates,1952
17plus,1601541.454,900,estimates,1952
18plus,1552613.866,900,estimates,1952
20plus,1457949.206,900,estimates,1952
21plus,1411725.701,900,estimates,1952
25plus,1232040.536,900,estimates,1952
50plus,411194.576,900,estimates,1952
60plus,208316.688,900,estimates,1952
65plus,134134.319,900,estimates,1952
70plus,77451.224,900,estimates,1952
75plus,38962.87,900,estimates,1952
80plus,15964.19,900,estimates,1952
85plus,5182.383,900,estimates,1952
90plus,1374.378,900,estimates,1952
