global,variant,gender,year,population
900,Estimates,female,1950,1265128.475
900,Estimates,male,1950,1260020.837
900,Estimates,female,1951,1288319.139
900,Estimates,male,1951,1283548.376
900,Estimates,female,1952,1311163.783
900,Estimates,male,1952,1306776.616
900,Estimates,female,1953,1334004.424
900,Estimates,male,1953,1330024.586
900,Estimates,female,1954,1357120.495
900,Estimates,male,1954,1353557.278
900,Estimates,female,1955,1380728.941
900,Estimates,male,1955,1377585.584
900,Estimates,female,1956,1404981.72
900,Estimates,male,1956,1402264.428
900,Estimates,female,1957,1429968.27
900,Estimates,male,1957,1427694.64
900,Estimates,female,1958,1455722.661
900,Estimates,male,1958,1453928.735
900,Estimates,female,1959,1482235.59
900,Estimates,male,1959,1480980.463
900,Estimates,female,1960,1509490.327
900,Estimates,male,1960,1508853.501
900,Estimates,female,1961,1537501.064
900,Estimates,male,1961,1537572.109
900,Estimates,female,1962,1566346.442
900,Estimates,male,1962,1567207.92
900,Estimates,female,1963,1596183.941
900,Estimates,male,1963,1597891.406
900,Estimates,female,1964,1627209.155
900,Estimates,male,1964,1629779.346
900,Estimates,female,1965,1659535.948
900,Estimates,male,1965,1662959.173
900,Estimates,female,1966,1693218.358
900,Estimates,male,1966,1697467.165
900,Estimates,female,1967,1728142.458
900,Estimates,male,1967,1733200.714
900,Estimates,female,1968,1764039.171
900,Estimates,male,1968,1769927.73
900,Estimates,female,1969,1800536.367
900,Estimates,male,1969,1807329.146
900,Estimates,female,1970,1837341.409
900,Estimates,male,1970,1845146.282
900,Estimates,female,1971,1874396.626
900,Estimates,male,1971,1883338.042
900,Estimates,female,1972,1911708.381
900,Estimates,male,1972,1921886.513
900,Estimates,female,1973,1949131.812
900,Estimates,male,1973,1960590.308
900,Estimates,female,1974,1986515.146
900,Estimates,male,1974,1999218.629
900,Estimates,female,1975,2023771.274
900,Estimates,male,1975,2037627.954
900,Estimates,female,1976,2060817.698
900,Estimates,male,1976,2075724.372
900,Estimates,female,1977,2097724.619
900,Estimates,male,1977,2113597.808
900,Estimates,female,1978,2134755.921
900,Estimates,male,1978,2151526.526
900,Estimates,female,1979,2172282.543
900,Estimates,male,1979,2189906.988
900,Estimates,female,1980,2210586.313
900,Estimates,male,1980,2229046.152
900,Estimates,female,1981,2249668.369
900,Estimates,male,1981,2268933.673
900,Estimates,female,1982,2289476.728
900,Estimates,male,1982,2309526.646
900,Estimates,female,1983,2330163.189
900,Estimates,male,1983,2351047.319
900,Estimates,female,1984,2371898.968
900,Estimates,male,1984,2393758.594
900,Estimates,female,1985,2414751.793
900,Estimates,male,1985,2437788.776
900,Estimates,female,1986,2458806.441
900,Estimates,male,1986,2483249.677
900,Estimates,female,1987,2503879.607
900,Estimates,male,1987,2529925.337
900,Estimates,female,1988,2549431.305
900,Estimates,male,1988,2577201.389
900,Estimates,female,1989,2594734.553
900,Estimates,male,1989,2624243.466
900,Estimates,female,1990,2639243.998
900,Estimates,male,1990,2670423.701
900,Estimates,female,1991,2682777.117
900,Estimates,male,1991,2715551.636
900,Estimates,female,1992,2725405.089
900,Estimates,male,1992,2759710.187
900,Estimates,female,1993,2767155.58
900,Estimates,male,1993,2802889.8
900,Estimates,female,1994,2808147.014
900,Estimates,male,1994,2845168.879
900,Estimates,female,1995,2848487.191
900,Estimates,male,1995,2886635.893
900,Estimates,female,1996,2888155.712
900,Estimates,male,1996,2927236.593
900,Estimates,female,1997,2927154.533
900,Estimates,male,1997,2967000.572
900,Estimates,female,1998,2965660.059
900,Estimates,male,1998,3006222.766
900,Estimates,female,1999,3003905.757
900,Estimates,male,1999,3045299.446
900,Estimates,female,2000,3042084.459
900,Estimates,male,2000,3084537.662
900,Estimates,female,2001,3080262.231
900,Estimates,male,2001,3124048.508
900,Estimates,female,2002,3118474.934
900,Estimates,male,2002,3163826.833
900,Estimates,female,2003,3156846.322
900,Estimates,male,2003,3203918.362
900,Estimates,female,2004,3195507.534
900,Estimates,male,2004,3244334.874
900,Estimates,female,2005,3234553.601
900,Estimates,male,2005,3285082.249
900,Estimates,female,2006,3274035.795
900,Estimates,male,2006,3326184.452
900,Estimates,female,2007,3313950.109
900,Estimates,male,2007,3367657.211
900,Estimates,female,2008,3354258.077
900,Estimates,male,2008,3409474.802
900,Estimates,female,2009,3394887.148
900,Estimates,male,2009,3451592.373
900,Estimates,female,2010,3435768.139
900,Estimates,male,2010,3493956.904
900,Estimates,female,2011,3476881.168
900,Estimates,male,2011,3536545.884
900,Estimates,female,2012,3518195.487
900,Estimates,male,2012,3579304.966
900,Estimates,female,2013,3559610.657
900,Estimates,male,2013,3622104.482
900,Estimates,female,2014,3601002.971
900,Estimates,male,2014,3664782.975
900,Constant_fertility,female,2015,3642266.346
900,Constant_fertility,male,2015,3707205.753
900,Constant_mortality,female,2015,3642266.346
900,Constant_mortality,male,2015,3707205.753
900,Estimates,female,2015,3642266.346
900,Estimates,male,2015,3707205.753
900,High_variant,female,2015,3642266.346
900,High_variant,male,2015,3707205.753
900,Instant_replacement,female,2015,3642266.346
900,Instant_replacement,male,2015,3707205.753
900,Low_variant,female,2015,3642266.346
900,Low_variant,male,2015,3707205.753
900,Medium_variant,female,2015,3642266.346
900,Medium_variant,male,2015,3707205.753
900,No_change,female,2015,3642266.346
900,No_change,male,2015,3707205.753
900,Zero_migration,female,2015,3642266.346
900,Zero_migration,male,2015,3707205.753
900,Constant_fertility,female,2016,3684889.033
900,Constant_fertility,male,2016,3750990.792
900,Constant_mortality,female,2016,3682172.968
900,Constant_mortality,male,2016,3748031.889
900,High_variant,female,2016,3687261.761
900,High_variant,male,2016,3753524.458
900,Instant_replacement,female,2016,3678915.925
900,Instant_replacement,male,2016,3744938.275
900,Low_variant,female,2016,3679432.412
900,Low_variant,male,2016,3745091.196
900,Medium_variant,female,2016,3683351.18
900,Medium_variant,male,2016,3749312.095
900,No_change,female,2016,3683738.812
900,No_change,male,2016,3749667.749
900,Zero_migration,female,2016,3683319.569
900,Zero_migration,male,2016,3749373.832
900,Constant_fertility,female,2017,3728013.748
900,Constant_fertility,male,2017,3795206.59
900,Constant_mortality,female,2017,3721323.962
900,Constant_mortality,male,2017,3787918.598
900,High_variant,female,2017,3733748.939
900,High_variant,male,2017,3801329.068
900,Instant_replacement,female,2017,3713512.113
900,Instant_replacement,male,2017,3780506.454
900,Low_variant,female,2017,3714669.211
900,Low_variant,male,2017,3780780.811
900,Medium_variant,female,2017,3724218.931
900,Medium_variant,male,2017,3791065.222
900,No_change,female,2017,3725184.172
900,No_change,male,2017,3791951.217
900,Zero_migration,female,2017,3724142.685
900,Zero_migration,male,2017,3791214.981
900,Constant_fertility,female,2018,3771544.265
900,Constant_fertility,male,2018,3839753.721
900,Constant_mortality,female,2018,3759676.999
900,Constant_mortality,male,2018,3826824.568
900,High_variant,female,2018,3781385.931
900,High_variant,male,2018,3850254.787
900,Instant_replacement,female,2018,3746606.148
900,Instant_replacement,male,2018,3814451.839
900,Low_variant,female,2018,3748160.604
900,Low_variant,male,2018,3814482.713
900,Medium_variant,female,2018,3764789.652
900,Medium_variant,male,2018,3832385.882
900,No_change,female,2018,3766538.63
900,No_change,male,2018,3833992.374
900,Zero_migration,female,2018,3764660.609
900,Zero_migration,male,2018,3832646.656
900,Constant_fertility,female,2019,3815339.301
900,Constant_fertility,male,2019,3884488.219
900,Constant_mortality,female,2019,3797223.908
900,Constant_mortality,male,2019,3864750.123
900,High_variant,female,2019,3829660.493
900,High_variant,male,2019,3899757.803
900,Instant_replacement,female,2019,3779035.422
900,Instant_replacement,male,2019,3847602.622
900,Low_variant,female,2019,3780252.91
900,Low_variant,male,2019,3846586.247
900,Medium_variant,female,2019,3804979.162
900,Medium_variant,male,2019,3873195.494
900,No_change,female,2019,3807729.82
900,No_change,male,2019,3875724.379
900,Zero_migration,female,2019,3804796.123
