global,variant,year,population
900,estimates,1950,2536274.721
900,estimates,1951,2583816.786
900,estimates,1952,2630584.384
900,estimates,1953,2677230.358
900,estimates,1954,2724302.468
900,estimates,1955,2772242.535
900,estimates,1956,2821383.444
900,estimates,1957,2871952.278
900,estimates,1958,2924081.243
900,estimates,1959,2977824.686
900,estimates,1960,3033212.527
900,estimates,1961,3090305.279
900,estimates,1962,3149244.245
900,estimates,1963,3210271.352
900,estimates,1964,3273670.772
900,estimates,1965,3339592.688
900,estimates,1966,3408121.405
900,estimates,1967,3479053.821
900,estimates,1968,3551880.7
900,estimates,1969,3625905.514
900,estimates,1970,3700577.65
900,estimates,1971,3775790.9
900,estimates,1972,3851545.181
900,estimates,1973,3927538.695
900,estimates,1974,4003448.151
900,estimates,1975,4079087.198
900,estimates,1976,4154287.594
900,estimates,1977,4229201.257
900,estimates,1978,4304377.112
900,estimates,1979,4380585.755
900,estimates,1980,4458411.534
900,estimates,1981,4537845.777
900,estimates,1982,4618776.168
900,estimates,1983,4701530.843
900,estimates,1984,4786483.862
900,estimates,1985,4873781.796
900,estimates,1986,4963633.228
900,estimates,1987,5055636.132
900,estimates,1988,5148556.956
900,estimates,1989,5240735.117
900,estimates,1990,5330943.46
900,estimates,1991,5418758.803
900,estimates,1992,5504401.149
900,estimates,1993,5588094.837
900,estimates,1994,5670319.703
900,estimates,1995,5751474.416
900,estimates,1996,5831565.02
900,estimates,1997,5910566.295
900,estimates,1998,5988846.103
900,estimates,1999,6066867.391
900,estimates,2000,6145006.989
900,estimates,2001,6223412.158
900,estimates,2002,6302149.639
900,estimates,2003,6381408.987
900,estimates,2004,6461370.865
900,estimates,2005,6542159.383
900,estimates,2006,6623847.913
900,estimates,2007,6706418.593
900,estimates,2008,6789771.25300001
900,estimates,2009,6873741.054
900,estimates,2010,6958169.159
900,estimates,2011,7043008.586
900,estimates,2012,7128176.935
900,estimates,2013,7213426.452
900,estimates,2014,7298453.033
900,constant_fertility,2015,7383008.82
900,constant_mortality,2015,7383008.82
900,estimates,2015,7383008.82
900,high_variant,2015,7383008.82
900,instant_replacement,2015,7383008.82
900,low_variant,2015,7383008.82
900,medium_variant,2015,7383008.82
900,momentum,2015,7383008.82
900,no_change,2015,7383008.82
900,zero_migration,2015,7383008.82
900,constant_fertility,2016,7471094.883
900,constant_mortality,2016,7464439.445
900,high_variant,2016,7476053.631
900,instant_replacement,2016,7457775.926
900,low_variant,2016,7458174.982
900,medium_variant,2016,7466964.28
900,momentum,2016,7456149.74
900,no_change,2016,7468369.289
900,zero_migration,2016,7467190.18
900,constant_fertility,2017,7559571.757
900,constant_mortality,2017,7544249.092
900,high_variant,2017,7571259.156
900,instant_replacement,2017,7528083.778
900,low_variant,2017,7529619.677
900,medium_variant,2017,7550262.101
900,momentum,2017,7524090.075
900,no_change,2017,7553284.442
900,zero_migration,2017,7550580.59
900,constant_fertility,2018,7648434.379
900,constant_mortality,2018,7622413.887
900,high_variant,2018,7668093.338
900,instant_replacement,2018,7595171.09
900,low_variant,2018,7597815.559
900,medium_variant,2018,7632819.325
900,momentum,2018,7588129.226
900,no_change,2018,7637740.011
900,zero_migration,2018,7633162.614
900,constant_fertility,2019,7737681.494
900,constant_mortality,2019,7698909.743
900,high_variant,2019,7766124.032
900,instant_replacement,2019,7660906.287
900,low_variant,2019,7663136.954
900,medium_variant,2019,7714576.923
900,momentum,2019,7650251.687
900,no_change,2019,7721725.454
900,zero_migration,2019,7714915.692
900,constant_fertility,2020,7827315.066
900,constant_mortality,2020,7773712.741
900,high_variant,2020,7865018.659
900,instant_replacement,2020,7726666.102
900,low_variant,2020,7725860.308
900,medium_variant,2020,7795482.309
900,momentum,2020,7711917.064
900,no_change,2020,7805234.785
900,zero_migration,2020,7795816.178
900,constant_fertility,2021,7917341.03
900,constant_mortality,2021,7846798.04
900,high_variant,2021,7964548.504
900,instant_replacement,2021,7792803.803
900,low_variant,2021,7786159.167
