region,year,variant,gender,age5yearinterval,population
921,1950,estimates,female,0_4,36835.385
921,1950,estimates,male,0_4,37660.33
921,1950,estimates,female,5_9,30042.715
921,1950,estimates,male,5_9,31315.335
921,1950,estimates,female,10_14,28352.862
921,1950,estimates,male,10_14,29431.072
921,1950,estimates,female,15_19,25307.8
921,1950,estimates,male,15_19,26664.823
921,1950,estimates,female,20_24,22356.719
921,1950,estimates,male,20_24,24288.869
921,1950,estimates,female,25_29,19406.721
921,1950,estimates,male,25_29,21195.198
921,1950,estimates,female,30_34,16864.633
921,1950,estimates,male,30_34,18501.243
921,1950,estimates,female,35_39,14883.096
921,1950,estimates,male,35_39,16203.314
921,1950,estimates,female,40_44,12972.387
921,1950,estimates,male,40_44,14240.987
921,1950,estimates,female,45_49,10480.265
921,1950,estimates,male,45_49,11753.575
921,1950,estimates,female,50_54,9011.286
921,1950,estimates,male,50_54,9826.09
921,1950,estimates,female,55_59,6471.677
921,1950,estimates,male,55_59,7209.971
921,1950,estimates,female,60_64,5719.056
921,1950,estimates,male,60_64,5988.603
921,1950,estimates,female,65_69,3559.963
921,1950,estimates,male,65_69,3781.459
921,1950,estimates,female,70_74,2689.51
921,1950,estimates,male,70_74,2824.56
921,1950,estimates,female,75_79,1698.814
921,1950,estimates,male,75_79,1734.83
921,1950,estimates,female,80plus,1244.027
921,1950,estimates,male,80plus,1057.007
921,1955,estimates,female,0_4,43816.897
921,1955,estimates,male,0_4,46101.092
921,1955,estimates,female,5_9,33129.474
921,1955,estimates,male,5_9,34434.836
921,1955,estimates,female,10_14,28896.079
921,1955,estimates,male,10_14,30249.387
921,1955,estimates,female,15_19,27397.377
921,1955,estimates,male,15_19,28511.539
921,1955,estimates,female,20_24,24247.067
921,1955,estimates,male,20_24,25549.042
921,1955,estimates,female,25_29,21252.098
921,1955,estimates,male,25_29,23109.441
921,1955,estimates,female,30_34,18283.055
921,1955,estimates,male,30_34,20074.14
921,1955,estimates,female,35_39,15722.219
921,1955,estimates,male,35_39,17387.293
921,1955,estimates,female,40_44,13739.072
921,1955,estimates,male,40_44,15066.405
921,1955,estimates,female,45_49,11810.169
921,1955,estimates,male,45_49,13024.064
921,1955,estimates,female,50_54,9367.334
921,1955,estimates,male,50_54,10485.363
921,1955,estimates,female,55_59,7810.139
921,1955,estimates,male,55_59,8451.646
921,1955,estimates,female,60_64,5350.664
921,1955,estimates,male,60_64,5875.115
921,1955,estimates,female,65_69,4403.099
921,1955,estimates,male,65_69,4495.859
921,1955,estimates,female,70_74,2488.813
921,1955,estimates,male,70_74,2535.048
921,1955,estimates,female,75_79,1616.98
921,1955,estimates,male,75_79,1593.918
921,1955,estimates,female,80plus,1277.647
921,1955,estimates,male,80plus,1036.685
921,1960,estimates,female,0_4,49271.17
921,1960,estimates,male,0_4,51890.899
921,1960,estimates,female,5_9,39967.155
921,1960,estimates,male,5_9,42701.1
921,1960,estimates,female,10_14,32042.61
921,1960,estimates,male,10_14,33466.261
921,1960,estimates,female,15_19,28078.263
921,1960,estimates,male,15_19,29474.521
921,1960,estimates,female,20_24,26457.927
921,1960,estimates,male,20_24,27555.023
921,1960,estimates,female,25_29,23242.19
921,1960,estimates,male,25_29,24545.369
921,1960,estimates,female,30_34,20214.513
921,1960,estimates,male,30_34,22113.513
921,1960,estimates,female,35_39,17215.125
921,1960,estimates,male,35_39,19064.47
921,1960,estimates,female,40_44,14636.794
921,1960,estimates,male,40_44,16328.182
921,1960,estimates,female,45_49,12633.503
921,1960,estimates,male,45_49,13926.684
921,1960,estimates,female,50_54,10669.361
921,1960,estimates,male,50_54,11757.442
921,1960,estimates,female,55_59,8258.997
921,1960,estimates,male,55_59,9166.956
921,1960,estimates,female,60_64,6565.659
921,1960,estimates,male,60_64,7016.563
921,1960,estimates,female,65_69,4200.166
921,1960,estimates,male,65_69,4522.285
921,1960,estimates,female,70_74,3135.864
921,1960,estimates,male,70_74,3089.275
921,1960,estimates,female,75_79,1546.248
921,1960,estimates,male,75_79,1481.958
921,1960,estimates,female,80plus,1298.205
921,1960,estimates,male,80plus,1024.458
921,1965,estimates,female,0_4,55110.829
921,1965,estimates,male,0_4,58002.043
921,1965,estimates,female,5_9,45557.13
921,1965,estimates,male,5_9,48624.088
921,1965,estimates,female,10_14,38843.179
921,1965,estimates,male,10_14,41692.156
921,1965,estimates,female,15_19,31256.238
921,1965,estimates,male,15_19,32690.677
921,1965,estimates,female,20_24,27274.539
921,1965,estimates,male,20_24,28608.712
921,1965,estimates,female,25_29,25537.996
921,1965,estimates,male,25_29,26633.123
921,1965,estimates,female,30_34,22254.823
921,1965,estimates,male,30_34,23650.368
921,1965,estimates,female,35_39,19179.89
921,1965,estimates,male,35_39,21162.261
921,1965,estimates,female,40_44,16167.913
921,1965,estimates,male,40_44,18059.711
921,1965,estimates,female,45_49,13566.038
921,1965,estimates,male,45_49,15218.601
921,1965,estimates,female,50_54,11524.118
921,1965,estimates,male,50_54,12680.559
921,1965,estimates,female,55_59,9508.228
921,1965,estimates,male,55_59,10379.959
921,1965,estimates,female,60_64,7044.983
921,1965,estimates,male,60_64,7708.506
921,1965,estimates,female,65_69,5206.223
921,1965,estimates,male,65_69,5477.726
921,1965,estimates,female,70_74,3032.945
921,1965,estimates,male,70_74,3167.04
921,1965,estimates,female,75_79,1984.138
921,1965,estimates,male,75_79,1850.926
921,1965,estimates,female,80plus,1301.321
921,1965,estimates,male,80plus,1011.24
