region,year,variant,age5yearinterval,population
914,1950,Estimates,0_4,11786.383
914,1950,Estimates,5_9,9455.467
914,1950,Estimates,10_14,8139.575
914,1950,Estimates,15_19,7105.101
914,1950,Estimates,20_24,6203.607
914,1950,Estimates,25_29,5403.659
914,1950,Estimates,30_34,4670.419
914,1950,Estimates,35_39,3954.074
914,1950,Estimates,40_44,3342.412
914,1950,Estimates,45_49,2793.637
914,1950,Estimates,50_54,2377.034
914,1950,Estimates,55_59,1912.621
914,1950,Estimates,60_64,1446.243
914,1950,Estimates,65_69,1030.521
914,1950,Estimates,70_74,653.922
914,1950,Estimates,75_79,337.536
914,1950,Estimates,80plus,156.453
914,1955,Estimates,0_4,12859.713
914,1955,Estimates,5_9,10203.899
914,1955,Estimates,10_14,9038.291
914,1955,Estimates,15_19,7857.614
914,1955,Estimates,20_24,6741.751
914,1955,Estimates,25_29,5818.515
914,1955,Estimates,30_34,5059.919
914,1955,Estimates,35_39,4358.863
914,1955,Estimates,40_44,3665.493
914,1955,Estimates,45_49,3072.665
914,1955,Estimates,50_54,2523.845
914,1955,Estimates,55_59,2078.484
914,1955,Estimates,60_64,1571.226
914,1955,Estimates,65_69,1067.998
914,1955,Estimates,70_74,642.243
914,1955,Estimates,75_79,308.637
914,1955,Estimates,80plus,131.538
914,1960,Estimates,0_4,14540.347
914,1960,Estimates,5_9,11266.382
914,1960,Estimates,10_14,9795.33
914,1960,Estimates,15_19,8752.041
914,1960,Estimates,20_24,7489.457
914,1960,Estimates,25_29,6360.049
914,1960,Estimates,30_34,5479.096
914,1960,Estimates,35_39,4747.059
914,1960,Estimates,40_44,4061.872
914,1960,Estimates,45_49,3389.29
914,1960,Estimates,50_54,2795.849
914,1960,Estimates,55_59,2226.776
914,1960,Estimates,60_64,1729.616
914,1960,Estimates,65_69,1182.674
914,1960,Estimates,70_74,685.334
914,1960,Estimates,75_79,317.346
914,1960,Estimates,80plus,127.031
914,1965,Estimates,0_4,16497.163
914,1965,Estimates,5_9,12858.923
914,1965,Estimates,10_14,10830.771
914,1965,Estimates,15_19,9504.53
914,1965,Estimates,20_24,8371.613
914,1965,Estimates,25_29,7089.435
914,1965,Estimates,30_34,6007.406
914,1965,Estimates,35_39,5158.28
914,1965,Estimates,40_44,4442.105
914,1965,Estimates,45_49,3771.35
914,1965,Estimates,50_54,3097.187
914,1965,Estimates,55_59,2480.646
914,1965,Estimates,60_64,1869.34
914,1965,Estimates,65_69,1322.52
914,1965,Estimates,70_74,778.143
914,1965,Estimates,75_79,352.479
914,1965,Estimates,80plus,137.823
914,1970,Estimates,0_4,18680.847
914,1970,Estimates,5_9,14707.773
914,1970,Estimates,10_14,12378.022
914,1970,Estimates,15_19,10518.404
914,1970,Estimates,20_24,9126.832
914,1970,Estimates,25_29,7966.516
914,1970,Estimates,30_34,6726.098
914,1970,Estimates,35_39,5676.813
914,1970,Estimates,40_44,4845.309
914,1970,Estimates,45_49,4141.932
914,1970,Estimates,50_54,3463.745
914,1970,Estimates,55_59,2765.926
914,1970,Estimates,60_64,2102.936
914,1970,Estimates,65_69,1449.571
914,1970,Estimates,70_74,889.628
914,1970,Estimates,75_79,413.963
914,1970,Estimates,80plus,160.881
914,1975,Estimates,0_4,21692.413
914,1975,Estimates,5_9,16807.171
914,1975,Estimates,10_14,14186.488
914,1975,Estimates,15_19,12023.971
914,1975,Estimates,20_24,10096.148
914,1975,Estimates,25_29,8705.676
914,1975,Estimates,30_34,7597.491
914,1975,Estimates,35_39,6390.178
914,1975,Estimates,40_44,5361.413
914,1975,Estimates,45_49,4540.553
914,1975,Estimates,50_54,3824.156
914,1975,Estimates,55_59,3111.725
914,1975,Estimates,60_64,2365.232
914,1975,Estimates,65_69,1655.464
914,1975,Estimates,70_74,997.68
914,1975,Estimates,75_79,490.456
914,1975,Estimates,80plus,199.233
914,1980,Estimates,0_4,25199.944
914,1980,Estimates,5_9,19723.83
914,1980,Estimates,10_14,16266.241
914,1980,Estimates,15_19,13784.294
914,1980,Estimates,20_24,11592.796
914,1980,Estimates,25_29,9770.365
914,1980,Estimates,30_34,8432.676
914,1980,Estimates,35_39,7286.295
914,1980,Estimates,40_44,6069.362
914,1980,Estimates,45_49,5053.415
914,1980,Estimates,50_54,4222.001
914,1980,Estimates,55_59,3458.408
914,1980,Estimates,60_64,2682.566
914,1980,Estimates,65_69,1888.285
914,1980,Estimates,70_74,1165.066
914,1980,Estimates,75_79,568.597
914,1980,Estimates,80plus,249.93
914,1985,Estimates,0_4,28816.511
914,1985,Estimates,5_9,23258.133
914,1985,Estimates,10_14,19241.639
914,1985,Estimates,15_19,15905.528
914,1985,Estimates,20_24,13278.765
914,1985,Estimates,25_29,11065.297
914,1985,Estimates,30_34,9295.839
914,1985,Estimates,35_39,8002.279
914,1985,Estimates,40_44,6906.695
914,1985,Estimates,45_49,5720.31
914,1985,Estimates,50_54,4708.554
914,1985,Estimates,55_59,3855.555
914,1985,Estimates,60_64,3033.658
914,1985,Estimates,65_69,2192.698
914,1985,Estimates,70_74,1372.183
914,1985,Estimates,75_79,693.208
914,1985,Estimates,80plus,310.869
914,1990,Estimates,0_4,32168.527
914,1990,Estimates,5_9,26668.131
914,1990,Estimates,10_14,22695.454
914,1990,Estimates,15_19,18743.149
914,1990,Estimates,20_24,15286.674
914,1990,Estimates,25_29,12807.653
914,1990,Estimates,30_34,10652.912
914,1990,Estimates,35_39,8849.687
914,1990,Estimates,40_44,7593.709
914,1990,Estimates,45_49,6519.97
914,1990,Estimates,50_54,5339.2
914,1990,Estimates,55_59,4303.559
914,1990,Estimates,60_64,3389.169
914,1990,Estimates,65_69,2492.327
914,1990,Estimates,70_74,1606.734
914,1990,Estimates,75_79,826.934
914,1990,Estimates,80_84,306.454
914,1990,Estimates,85_89,70.357
914,1990,Estimates,90_94,9.254
914,1990,Estimates,95_99,0.678
914,1990,Estimates,100plus,0.026
914,1995,Estimates,0_4,36004.411
914,1995,Estimates,5_9,29906.492
914,1995,Estimates,10_14,26079.395
914,1995,Estimates,15_19,22257.46
914,1995,Estimates,20_24,18190.258
914,1995,Estimates,25_29,14751.561
914,1995,Estimates,30_34,12353.607
914,1995,Estimates,35_39,10262.198
914,1995,Estimates,40_44,8486.6
914,1995,Estimates,45_49,7225.281
914,1995,Estimates,50_54,6121.209
914,1995,Estimates,55_59,4897.927
914,1995,Estimates,60_64,3793.569
914,1995,Estimates,65_69,2795.83
914,1995,Estimates,70_74,1838.746
914,1995,Estimates,75_79,979.014
914,1995,Estimates,80_84,373.613
914,1995,Estimates,85_89,89.232
914,1995,Estimates,90_94,11.723
914,1995,Estimates,95_99,0.905
914,1995,Estimates,100plus,0.036
914,2000,Estimates,0_4,40802.676
914,2000,Estimates,5_9,33596.61
914,2000,Estimates,10_14,29178.416
914,2000,Estimates,15_19,25458.193
914,2000,Estimates,20_24,21452.568
914,2000,Estimates,25_29,17490.592
914,2000,Estimates,30_34,14192.168
914,2000,Estimates,35_39,11850.292
914,2000,Estimates,40_44,9788.648
914,2000,Estimates,45_49,8029.844
914,2000,Estimates,50_54,6747.893
914,2000,Estimates,55_59,5586.009
914,2000,Estimates,60_64,4288.877
914,2000,Estimates,65_69,3096.889
914,2000,Estimates,70_74,2031.56
914,2000,Estimates,75_79,1096.194
914,2000,Estimates,80_84,428.079
914,2000,Estimates,85_89,104.448
914,2000,Estimates,90_94,14.101
914,2000,Estimates,95_99,1.068
914,2000,Estimates,100plus,0.043
914,2005,Estimates,0_4,46769.681
914,2005,Estimates,5_9,38436.983
914,2005,Estimates,10_14,32786.792
914,2005,Estimates,15_19,28485.46
914,2005,Estimates,20_24,24525.701
914,2005,Estimates,25_29,20591.62
914,2005,Estimates,30_34,16771.804
914,2005,Estimates,35_39,13549.141
914,2005,Estimates,40_44,11258.357
914,2005,Estimates,45_49,9246.569
914,2005,Estimates,50_54,7485.218
914,2005,Estimates,55_59,6132.261
914,2005,Estimates,60_64,4863.745
914,2005,Estimates,65_69,3492.467
914,2005,Estimates,70_74,2256.791
914,2005,Estimates,75_79,1219.704
914,2005,Estimates,80_84,488.304
914,2005,Estimates,85_89,119.962
914,2005,Estimates,90_94,15.979
914,2005,Estimates,95_99,1.245
914,2005,Estimates,100plus,0.05
914,2010,Estimates,0_4,53200.814
914,2010,Estimates,5_9,44621.149
914,2010,Estimates,10_14,37633.143
914,2010,Estimates,15_19,32123.463
914,2010,Estimates,20_24,27552.712
914,2010,Estimates,25_29,23657.613
914,2010,Estimates,30_34,19844.514
914,2010,Estimates,35_39,16084.81
914,2010,Estimates,40_44,12936.098
914,2010,Estimates,45_49,10672.892
914,2010,Estimates,50_54,8675.316
914,2010,Estimates,55_59,6865.336
914,2010,Estimates,60_64,5389.306
914,2010,Estimates,65_69,3992.899
914,2010,Estimates,70_74,2585.31
914,2010,Estimates,75_79,1402.175
914,2010,Estimates,80_84,575.85
914,2010,Estimates,85_89,147.925
914,2010,Estimates,90_94,19.548
914,2010,Estimates,95_99,1.478
914,2010,Estimates,100plus,0.062
914,2015,Constant_fertility,0_4,59922.104
914,2015,Constant_mortality,0_4,59922.104
914,2015,Estimates,0_4,59922.104
914,2015,High_variant,0_4,59922.104
914,2015,Instant_replacement,0_4,59922.104
914,2015,Low_variant,0_4,59922.104
914,2015,Medium_variant,0_4,59922.104
914,2015,No_change,0_4,59922.104
914,2015,Zero_migration,0_4,59922.104
914,2015,Constant_fertility,5_9,51174.117
914,2015,Constant_mortality,5_9,51174.117
914,2015,Estimates,5_9,51174.117
914,2015,High_variant,5_9,51174.117
914,2015,Instant_replacement,5_9,51174.117
914,2015,Low_variant,5_9,51174.117
914,2015,Medium_variant,5_9,51174.117
914,2015,No_change,5_9,51174.117
914,2015,Zero_migration,5_9,51174.117
914,2015,Constant_fertility,10_14,43741.929
914,2015,Constant_mortality,10_14,43741.929
914,2015,Estimates,10_14,43741.929
914,2015,High_variant,10_14,43741.929
914,2015,Instant_replacement,10_14,43741.929
914,2015,Low_variant,10_14,43741.929
914,2015,Medium_variant,10_14,43741.929
914,2015,No_change,10_14,43741.929
914,2015,Zero_migration,10_14,43741.929
914,2015,Constant_fertility,15_19,36901.29
914,2015,Constant_mortality,15_19,36901.29
914,2015,Estimates,15_19,36901.29
914,2015,High_variant,15_19,36901.29
914,2015,Instant_replacement,15_19,36901.29
914,2015,Low_variant,15_19,36901.29
914,2015,Medium_variant,15_19,36901.29
914,2015,No_change,15_19,36901.29
914,2015,Zero_migration,15_19,36901.29
914,2015,Constant_fertility,20_24,31149.853
914,2015,Constant_mortality,20_24,31149.853
914,2015,Estimates,20_24,31149.853
914,2015,High_variant,20_24,31149.853
914,2015,Instant_replacement,20_24,31149.853
914,2015,Low_variant,20_24,31149.853
914,2015,Medium_variant,20_24,31149.853
914,2015,No_change,20_24,31149.853
914,2015,Zero_migration,20_24,31149.853
914,2015,Constant_fertility,25_29,26616.842
914,2015,Constant_mortality,25_29,26616.842
914,2015,Estimates,25_29,26616.842
914,2015,High_variant,25_29,26616.842
914,2015,Instant_replacement,25_29,26616.842
914,2015,Low_variant,25_29,26616.842
914,2015,Medium_variant,25_29,26616.842
914,2015,No_change,25_29,26616.842
914,2015,Zero_migration,25_29,26616.842
914,2015,Constant_fertility,30_34,22833.949
914,2015,Constant_mortality,30_34,22833.949
914,2015,Estimates,30_34,22833.949
914,2015,High_variant,30_34,22833.949
914,2015,Instant_replacement,30_34,22833.949
914,2015,Low_variant,30_34,22833.949
914,2015,Medium_variant,30_34,22833.949
914,2015,No_change,30_34,22833.949
