agebroad,gender,population,region,variant,year
0,female,13099.515,906,estimates,1950
0_1,female,20158.162,906,estimates,1950
0_4,female,44872.137,906,estimates,1950
0_14,female,110661.198,906,estimates,1950
0_17,female,129304.752,906,estimates,1950
0_19,female,141213.974,906,estimates,1950
0_24,female,168268.696,906,estimates,1950
3_4,female,15874.25,906,estimates,1950
3_5,female,23139.714,906,estimates,1950
3_6,female,30089.996,906,estimates,1950
4_5,female,14942.348,906,estimates,1950
4_6,female,21892.63,906,estimates,1950
5_14,female,65789.061,906,estimates,1950
5_10,female,40349.066,906,estimates,1950
5_11,female,46750.235,906,estimates,1950
6_9,female,26680.097,906,estimates,1950
6_10,female,33083.602,906,estimates,1950
6_11,female,39484.771,906,estimates,1950
6_12,female,45878.946,906,estimates,1950
7_10,female,26133.32,906,estimates,1950
7_12,female,38928.664,906,estimates,1950
11_16,female,37918.291,906,estimates,1950
11_17,female,44083.549,906,estimates,1950
11_18,female,50122.047,906,estimates,1950
12_14,female,19038.826,906,estimates,1950
12_16,female,31517.122,906,estimates,1950
12_17,female,37682.38,906,estimates,1950
12_18,female,43720.878,906,estimates,1950
13_17,female,31288.205,906,estimates,1950
13_18,female,37326.703,906,estimates,1950
13_19,female,43197.427,906,estimates,1950
15_17,female,18643.554,906,estimates,1950
18_23,female,33823.066,906,estimates,1950
15_24,female,57607.498,906,estimates,1950
15_49,female,160579.252,906,estimates,1950
15_59,female,186623.51,906,estimates,1950
15_64,female,196741.958,906,estimates,1950
20_64,female,166189.182,906,estimates,1950
20_69,female,174213.073,906,estimates,1950
25_49,female,102971.754,906,estimates,1950
25_64,female,139134.46,906,estimates,1950
25_69,female,147158.351,906,estimates,1950
15plus,female,213781.984,906,estimates,1950
16plus,female,207531.743,906,estimates,1950
17plus,female,201303.688,906,estimates,1950
18plus,female,195138.43,906,estimates,1950
20plus,female,183229.208,906,estimates,1950
21plus,female,177519.364,906,estimates,1950
25plus,female,156174.486,906,estimates,1950
50plus,female,53202.732,906,estimates,1950
60plus,female,27158.474,906,estimates,1950
65plus,female,17040.026,906,estimates,1950
70plus,female,9016.135,906,estimates,1950
75plus,female,4088.8,906,estimates,1950
80plus,female,1372.748,906,estimates,1950
85plus,female,296.592,906,estimates,1950
90plus,female,54.297,906,estimates,1950
total,female,324443.182,906,estimates,1950
0,male,13947.26,906,estimates,1950
0_1,male,21351.397,906,estimates,1950
0_4,male,48088.409,906,estimates,1950
0_14,male,122056.14,906,estimates,1950
0_17,male,142704.729,906,estimates,1950
0_19,male,155757.877,906,estimates,1950
0_24,male,185093.548,906,estimates,1950
3_4,male,17255.864,906,estimates,1950
3_5,male,25261.549,906,estimates,1950
3_6,male,32982.998,906,estimates,1950
4_5,male,16390.046,906,estimates,1950
4_6,male,24111.495,906,estimates,1950
5_14,male,73967.731,906,estimates,1950
5_10,male,45179.681,906,estimates,1950
5_11,male,52451.576,906,estimates,1950
6_9,male,29914.232,906,estimates,1950
6_10,male,37173.996,906,estimates,1950
6_11,male,44445.891,906,estimates,1950
6_12,male,51705.479,906,estimates,1950
7_10,male,29452.547,906,estimates,1950
