region,year,variant,gender,agebroad,population
931,1950,estimates,female,total,56871.36
931,1950,estimates,male,total,56868.074
931,1950,estimates,female,0_1,3877.08
931,1950,estimates,male,0_1,3979.521
931,1950,estimates,female,0_4,8884.234
931,1950,estimates,male,0_4,9093.935
931,1950,estimates,female,0_14,22330.377
931,1950,estimates,male,0_14,22744.473
931,1950,estimates,female,0_17,25724.32
931,1950,estimates,male,0_17,26181.519
931,1950,estimates,female,0_19,27875.972
931,1950,estimates,male,0_19,28358.267
931,1950,estimates,female,0_24,32977.971
931,1950,estimates,male,0_24,33513.192
931,1950,estimates,female,3_4,3246.976
931,1950,estimates,male,3_4,3313.378
931,1950,estimates,female,3_5,4762.026
931,1950,estimates,male,3_5,4855.815
931,1950,estimates,female,3_6,6220.785
931,1950,estimates,male,3_6,6339.143
931,1950,estimates,female,4_5,3097.967
931,1950,estimates,male,4_5,3156.328
931,1950,estimates,female,4_6,4556.726
931,1950,estimates,male,4_6,4639.656
931,1950,estimates,female,5_10,8420.343
931,1950,estimates,male,5_10,8554.161
931,1950,estimates,female,5_11,9721.16
931,1950,estimates,male,5_11,9873.713
931,1950,estimates,female,5_14,13446.143
931,1950,estimates,male,5_14,13650.538
931,1950,estimates,female,6_9,5587.573
931,1950,estimates,male,6_9,5675.033
931,1950,estimates,female,6_10,6905.293
931,1950,estimates,male,6_10,7011.724
931,1950,estimates,female,6_11,8206.11
931,1950,estimates,male,6_11,8331.276
931,1950,estimates,female,6_12,9484.434
931,1950,estimates,male,6_12,9627.911
931,1950,estimates,female,7_10,5446.534
931,1950,estimates,male,7_10,5528.396
931,1950,estimates,female,7_12,8025.675
931,1950,estimates,male,7_12,8144.583
931,1950,estimates,female,11_16,7320.256
931,1950,estimates,male,11_16,7420.361
931,1950,estimates,female,11_17,8419.743
931,1950,estimates,male,11_17,8533.423
931,1950,estimates,female,11_18,9501.17
931,1950,estimates,male,11_18,9627.718
931,1950,estimates,female,12_14,3724.983
931,1950,estimates,male,12_14,3776.825
931,1950,estimates,female,12_16,6019.439
931,1950,estimates,male,12_16,6100.809
931,1950,estimates,female,12_17,7118.926
931,1950,estimates,male,12_17,7213.871
931,1950,estimates,female,12_18,8200.353
931,1950,estimates,male,12_18,8308.166
931,1950,estimates,female,13_17,5840.602
931,1950,estimates,male,13_17,5917.236
931,1950,estimates,female,13_18,6922.029
931,1950,estimates,male,13_18,7011.531
931,1950,estimates,female,13_19,7992.254
931,1950,estimates,male,13_19,8093.984
931,1950,estimates,female,15plus,34540.983
931,1950,estimates,male,15plus,34123.601
931,1950,estimates,female,15_17,3393.943
931,1950,estimates,male,15_17,3437.046
931,1950,estimates,female,15_24,10647.594
931,1950,estimates,male,15_24,10768.719
931,1950,estimates,female,15_49,27339.192
931,1950,estimates,male,15_49,27552.526
931,1950,estimates,female,15_59,31053.775
931,1950,estimates,male,15_59,31122.015
931,1950,estimates,female,15_64,32339.178
931,1950,estimates,male,15_64,32292.755
931,1950,estimates,female,16plus,33375.406
931,1950,estimates,male,16plus,32942.847
931,1950,estimates,female,17plus,32246.527
931,1950,estimates,male,17plus,31799.617
931,1950,estimates,female,18plus,31147.04
931,1950,estimates,male,18plus,30686.555
931,1950,estimates,female,18_23,6288.374
931,1950,estimates,male,18_23,6356.468
931,1950,estimates,female,20plus,28995.388
931,1950,estimates,male,20plus,28509.807
931,1950,estimates,female,20_64,26793.583
931,1950,estimates,male,20_64,26678.961
931,1950,estimates,female,20_69,27723.978
931,1950,estimates,male,20_69,27502.55
931,1950,estimates,female,21plus,27937.296
931,1950,estimates,male,21plus,27440.13
931,1950,estimates,female,25plus,23893.389
931,1950,estimates,male,25plus,23354.882
931,1950,estimates,female,25_49,16691.598
931,1950,estimates,male,25_49,16783.807
931,1950,estimates,female,25_64,21691.584
931,1950,estimates,male,25_64,21524.036
931,1950,estimates,female,25_69,22621.979
931,1950,estimates,male,25_69,22347.625
931,1950,estimates,female,50plus,7201.791
931,1950,estimates,male,50plus,6571.075
931,1950,estimates,female,60plus,3487.208
931,1950,estimates,male,60plus,3001.586
931,1950,estimates,female,65plus,2201.805
931,1950,estimates,male,65plus,1830.846
931,1950,estimates,female,70plus,1271.41
931,1950,estimates,male,70plus,1007.257
931,1950,estimates,female,75plus,642.911
931,1950,estimates,male,75plus,480.961
931,1950,estimates,female,80plus,263.985
931,1950,estimates,male,80plus,183.677
931,1955,estimates,female,total,65188.785
931,1955,estimates,male,total,65163.334
931,1955,estimates,female,0_1,4558.029
931,1955,estimates,male,0_1,4674.79
931,1955,estimates,female,0_4,10638.54
931,1955,estimates,male,0_4,10888.307
931,1955,estimates,female,0_14,26175.75
931,1955,estimates,male,0_14,26685.246
931,1955,estimates,female,0_17,30049.644
931,1955,estimates,male,0_17,30608.668
931,1955,estimates,female,0_19,32476.523
931,1955,estimates,male,0_19,33062.926
931,1955,estimates,female,0_24,37966.836
931,1955,estimates,male,0_24,38603.795
931,1955,estimates,female,3_4,3958.419
931,1955,estimates,male,3_4,4042.226
931,1955,estimates,female,3_5,5806.024
931,1955,estimates,male,3_5,5925.744
931,1955,estimates,female,3_6,7573.362
931,1955,estimates,male,3_6,7725.771
931,1955,estimates,female,4_5,3781.063
931,1955,estimates,male,4_5,3856.673
931,1955,estimates,female,4_6,5548.401
931,1955,estimates,male,4_6,5656.7
931,1955,estimates,female,5_10,9992.6
931,1955,estimates,male,5_10,10168.683
931,1955,estimates,female,5_11,11437.86
931,1955,estimates,male,5_11,11636.821
931,1955,estimates,female,5_14,15537.21
931,1955,estimates,male,5_14,15796.939
931,1955,estimates,female,6_9,6643.85
931,1955,estimates,male,6_9,6759.881
931,1955,estimates,female,6_10,8144.995
931,1955,estimates,male,6_10,8285.165
931,1955,estimates,female,6_11,9590.255
931,1955,estimates,male,6_11,9753.303
931,1955,estimates,female,6_12,10988.902
931,1955,estimates,male,6_12,11173.604
931,1955,estimates,female,7_10,6377.657
931,1955,estimates,male,7_10,6485.138
931,1955,estimates,female,7_12,9221.564
931,1955,estimates,male,7_12,9373.577
