region,year,variant,agebroad,population
910,1950,Estimates,total,66922.702
910,1950,Estimates,0_1,5280.598
910,1950,Estimates,0_4,11973.249
910,1950,Estimates,0_14,28776.02
910,1950,Estimates,0_17,33004.095
910,1950,Estimates,0_19,35643.661
910,1950,Estimates,0_24,41546.923
910,1950,Estimates,3_4,4318.918
910,1950,Estimates,3_5,6300.832
910,1950,Estimates,3_6,8186.032
910,1950,Estimates,4_5,4076.356
910,1950,Estimates,4_6,5961.556
910,1950,Estimates,5_10,10698.2
910,1950,Estimates,5_11,12280.465
910,1950,Estimates,5_14,16802.771
910,1950,Estimates,6_9,7093.109
910,1950,Estimates,6_10,8716.286
910,1950,Estimates,6_11,10298.551
910,1950,Estimates,6_12,11843.224
910,1950,Estimates,7_10,6831.086
910,1950,Estimates,7_12,9958.024
910,1950,Estimates,11_16,8953.458
910,1950,Estimates,11_17,10332.646
910,1950,Estimates,11_18,11673.625
910,1950,Estimates,12_14,4522.306
910,1950,Estimates,12_16,7371.193
910,1950,Estimates,12_17,8750.381
910,1950,Estimates,12_18,10091.36
910,1950,Estimates,13_17,7205.708
910,1950,Estimates,13_18,8546.687
910,1950,Estimates,13_19,9845.274
910,1950,Estimates,15plus,38146.682
910,1950,Estimates,15_17,4228.075
910,1950,Estimates,15_24,12770.903
910,1950,Estimates,15_49,31194.22
910,1950,Estimates,15_59,34856.744
910,1950,Estimates,15_64,36142.779
910,1950,Estimates,16plus,36708.321
910,1950,Estimates,17plus,35297.795
910,1950,Estimates,18plus,33918.607
910,1950,Estimates,18_23,7437.883
910,1950,Estimates,20plus,31279.041
910,1950,Estimates,20_64,29275.138
910,1950,Estimates,20_69,30212.121
910,1950,Estimates,21plus,30020.876
910,1950,Estimates,25plus,25375.779
910,1950,Estimates,25_49,18423.317
910,1950,Estimates,25_64,23371.876
910,1950,Estimates,25_69,24308.859
910,1950,Estimates,50plus,6952.462
910,1950,Estimates,60plus,3289.938
910,1950,Estimates,65plus,2003.903
910,1950,Estimates,70plus,1066.92
910,1950,Estimates,75plus,470.56
910,1950,Estimates,80plus,152.817
910,1955,Estimates,total,74734.227
910,1955,Estimates,0_1,5920.051
910,1955,Estimates,0_4,13550.539
910,1955,Estimates,0_14,32631.651
910,1955,Estimates,0_17,37225.653
910,1955,Estimates,0_19,40093.718
910,1955,Estimates,0_24,46666.44
910,1955,Estimates,3_4,4938.184
910,1955,Estimates,3_5,7215.639
910,1955,Estimates,3_6,9384.14
910,1955,Estimates,4_5,4677.629
910,1955,Estimates,4_6,6846.13
910,1955,Estimates,5_10,12259.884
910,1955,Estimates,5_11,14047.091
910,1955,Estimates,5_14,19081.112
910,1955,Estimates,6_9,8137.894
910,1955,Estimates,6_10,9982.429
910,1955,Estimates,6_11,11769.636
910,1955,Estimates,6_12,13502.313
910,1955,Estimates,7_10,7813.928
910,1955,Estimates,7_12,11333.812
910,1955,Estimates,11_16,9926.384
910,1955,Estimates,11_17,11415.23
910,1955,Estimates,11_18,12866.639
910,1955,Estimates,12_14,5034.021
910,1955,Estimates,12_16,8139.177
910,1955,Estimates,12_17,9628.023
910,1955,Estimates,12_18,11079.432
910,1955,Estimates,13_17,7895.346
910,1955,Estimates,13_18,9346.755
910,1955,Estimates,13_19,10763.411
910,1955,Estimates,15plus,42102.576
910,1955,Estimates,15_17,4594.002
910,1955,Estimates,15_24,14034.789
910,1955,Estimates,15_49,34457.972
910,1955,Estimates,15_59,38564.876
910,1955,Estimates,15_64,39942.461
910,1955,Estimates,16plus,40527.523
910,1955,Estimates,17plus,38997.42
910,1955,Estimates,18plus,37508.574
910,1955,Estimates,18_23,8202.868
910,1955,Estimates,20plus,34640.509
910,1955,Estimates,20_64,32480.394
