agebroad,population,region,variant,year
0,4418.481,931,estimates,1950
0_1,7856.601,931,estimates,1950
0_4,17978.169,931,estimates,1950
0_14,45074.85,931,estimates,1950
0_17,51905.839,931,estimates,1950
0_19,56234.239,931,estimates,1950
0_24,66491.163,931,estimates,1950
3_4,6560.354,931,estimates,1950
3_5,9617.841,931,estimates,1950
3_6,12559.928,931,estimates,1950
4_5,6254.295,931,estimates,1950
4_6,9196.382,931,estimates,1950
5_14,27096.681,931,estimates,1950
5_10,16974.504,931,estimates,1950
5_11,19594.873,931,estimates,1950
6_9,11262.606,931,estimates,1950
6_10,13917.017,931,estimates,1950
6_11,16537.386,931,estimates,1950
6_12,19112.345,931,estimates,1950
7_10,10974.93,931,estimates,1950
7_12,16170.258,931,estimates,1950
11_16,14740.617,931,estimates,1950
11_17,16953.166,931,estimates,1950
11_18,19128.888,931,estimates,1950
12_14,7501.808,931,estimates,1950
12_16,12120.248,931,estimates,1950
12_17,14332.797,931,estimates,1950
12_18,16508.519,931,estimates,1950
13_17,11757.838,931,estimates,1950
13_18,13933.56,931,estimates,1950
13_19,16086.238,931,estimates,1950
15_17,6830.989,931,estimates,1950
18_23,12644.842,931,estimates,1950
15_24,21416.313,931,estimates,1950
15_49,54891.718,931,estimates,1950
15_59,62175.79,931,estimates,1950
15_64,64631.933,931,estimates,1950
20_64,53472.544,931,estimates,1950
20_69,55226.528,931,estimates,1950
25_49,33475.405,931,estimates,1950
25_64,43215.62,931,estimates,1950
25_69,44969.604,931,estimates,1950
15plus,68664.584,931,estimates,1950
16plus,66318.253,931,estimates,1950
17plus,64046.144,931,estimates,1950
18plus,61833.595,931,estimates,1950
20plus,57505.195,931,estimates,1950
21plus,55377.426,931,estimates,1950
25plus,47248.271,931,estimates,1950
50plus,13772.866,931,estimates,1950
60plus,6488.794,931,estimates,1950
65plus,4032.651,931,estimates,1950
70plus,2278.667,931,estimates,1950
75plus,1123.872,931,estimates,1950
80plus,447.662,931,estimates,1950
85plus,203.774,931,estimates,1950
90plus,88.491,931,estimates,1950
total,113739.434,931,estimates,1950
0,4418.481,931,estimates,1951
0_1,8159.229,931,estimates,1951
0_4,18783.428,931,estimates,1951
0_14,46601.231,931,estimates,1951
0_17,53626.62,931,estimates,1951
0_19,58003.63,931,estimates,1951
0_24,68438.734,931,estimates,1951
3_4,6876.732,931,estimates,1951
3_5,10062.895,931,estimates,1951
3_6,13113.697,931,estimates,1951
4_5,6531.451,931,estimates,1951
4_6,9582.253,931,estimates,1951
5_14,27817.803,931,estimates,1951
5_10,17479.874,931,estimates,1951
5_11,20131.574,931,estimates,1951
6_9,11592.087,931,estimates,1951
6_10,14293.711,931,estimates,1951
6_11,16945.411,931,estimates,1951
6_12,19561.758,931,estimates,1951
