region,variant,gender,year,population
926,estimates,female,1950,75039.121
926,estimates,male,1950,67216.559
926,estimates,female,1951,75359.978
926,estimates,male,1951,67632.664
926,estimates,female,1952,75736.618
926,estimates,male,1952,68098.451
926,estimates,female,1953,76152.795
926,estimates,male,1953,68588.995
926,estimates,female,1954,76597.016
926,estimates,male,1954,69088.59
926,estimates,female,1955,77062.533
926,estimates,male,1955,69590.74
926,estimates,female,1956,77547.647
926,estimates,male,1956,70098.747
926,estimates,female,1957,78055.408
926,estimates,male,1957,70625.123
926,estimates,female,1958,78592.734
926,estimates,male,1958,71189.843
926,estimates,female,1959,79168.97
926,estimates,male,1959,71817.451
926,estimates,female,1960,79791.486
926,estimates,male,1960,72528.282
926,estimates,female,1961,80461.02
926,estimates,male,1961,73329.183
926,estimates,female,1962,81167.575
926,estimates,male,1962,74205.339
926,estimates,female,1963,81888.695
926,estimates,male,1963,75116.778
926,estimates,female,1964,82594.396
926,estimates,male,1964,76008.276
926,estimates,female,1965,83261.782
926,estimates,male,1965,76838.485
926,estimates,female,1966,83880.998
926,estimates,male,1966,77591.809
926,estimates,female,1967,84453.079
926,estimates,male,1967,78274.107
926,estimates,female,1968,84979.468
926,estimates,male,1968,78891.758
926,estimates,female,1969,85465.861
926,estimates,male,1969,79459.362
926,estimates,female,1970,85915.936
926,estimates,male,1970,79987.225
926,estimates,female,1971,86331.394
926,estimates,male,1971,80477.233
926,estimates,female,1972,86708.227
926,estimates,male,1972,80922.962
926,estimates,female,1973,87038.527
926,estimates,male,1973,81317.677
926,estimates,female,1974,87311.92
926,estimates,male,1974,81652.168
926,estimates,female,1975,87523.135
926,estimates,male,1975,81921.925
926,estimates,female,1976,87670.837
926,estimates,male,1976,82128.305
926,estimates,female,1977,87764.064
926,estimates,male,1977,82280.609
926,estimates,female,1978,87821.201
926,estimates,male,1978,82392.768
926,estimates,female,1979,87866.953
926,estimates,male,1979,82483.131
926,estimates,female,1980,87921.2
926,estimates,male,1980,82568.113
926,estimates,female,1981,87990.97
926,estimates,male,1981,82651.498
926,estimates,female,1982,88078.312
926,estimates,male,1982,82739.771
926,estimates,female,1983,88191.931
926,estimates,male,1983,82855.099
926,estimates,female,1984,88340.094
926,estimates,male,1984,83024.043
926,estimates,female,1985,88528.898
926,estimates,male,1985,83265.297
926,estimates,female,1986,88758.791
926,estimates,male,1986,83583.766
926,estimates,female,1987,89029.774
926,estimates,male,1987,83974.005
926,estimates,female,1988,89345.514
926,estimates,male,1988,84430.002
926,estimates,female,1989,89709.606
926,estimates,male,1989,84940.832
926,estimates,female,1990,90121.148
926,estimates,male,1990,85494.229
926,estimates,female,1991,90586.548
926,estimates,male,1991,86094.346
926,estimates,female,1992,91096.002
926,estimates,male,1992,86732.229
926,estimates,female,1993,91612.529
926,estimates,male,1993,87366.343
926,estimates,female,1994,92086.952
926,estimates,male,1994,87942.84
926,estimates,female,1995,92484.981
926,estimates,male,1995,88424.243
926,estimates,female,1996,92790.337
926,estimates,male,1996,88791.861
926,estimates,female,1997,93014.856
926,estimates,male,1997,89058.063
926,estimates,female,1998,93187.237
926,estimates,male,1998,89255.281
926,estimates,female,1999,93350.809
926,estimates,male,1999,89432.6
926,estimates,female,2000,93537.195
926,estimates,male,2000,89626.244
926,estimates,female,2001,93755.747
926,estimates,male,2001,89847.348
926,estimates,female,2002,93997.114
926,estimates,male,2002,90086.642
926,estimates,female,2003,94251.999
926,estimates,male,2003,90335.867
926,estimates,female,2004,94504.397
926,estimates,male,2004,90579.745
926,estimates,female,2005,94743.245
926,estimates,male,2005,90808.311
926,estimates,female,2006,94965.204
926,estimates,male,2006,91018.588
926,estimates,female,2007,95176.424
926,estimates,male,2007,91218.758
926,estimates,female,2008,95386.199
926,estimates,male,2008,91422.791
926,estimates,female,2009,95607.727
926,estimates,male,2009,91649.71
926,estimates,female,2010,95849.487
926,estimates,male,2010,91912.035
926,estimates,female,2011,96115.634
926,estimates,male,2011,92215.553
926,estimates,female,2012,96400.326
926,estimates,male,2012,92553.042
926,estimates,female,2013,96689.878
926,estimates,male,2013,92907.925
926,estimates,female,2014,96965.104
926,estimates,male,2014,93256.53
926,constantfertility,female,2015,97212.255
926,constantfertility,male,2015,93581.377
926,constantmortality,female,2015,97212.255
926,constantmortality,male,2015,93581.377
926,estimates,female,2015,97212.255
926,estimates,male,2015,93581.377
926,highvariant,female,2015,97212.255
926,highvariant,male,2015,93581.377
926,instantreplacement,female,2015,97212.255
926,instantreplacement,male,2015,93581.377
926,lowvariant,female,2015,97212.255
926,lowvariant,male,2015,93581.377
926,mediumvariant,female,2015,97212.255
926,mediumvariant,male,2015,93581.377
926,nochange,female,2015,97212.255
926,nochange,male,2015,93581.377
926,zeromigration,female,2015,97212.255
926,zeromigration,male,2015,93581.377
926,constantfertility,female,2016,97415.625
926,constantfertility,male,2016,93865.655
926,constantmortality,female,2016,97392.849
926,constantmortality,male,2016,93832.128
926,highvariant,female,2016,97509.311
926,highvariant,male,2016,93964.333
926,instantreplacement,female,2016,97570.414
926,instantreplacement,male,2016,94028.999
926,lowvariant,female,2016,97343.302
926,lowvariant,male,2016,93789.314
926,mediumvariant,female,2016,97426.306
926,mediumvariant,male,2016,93876.823
926,nochange,female,2016,97382.227
926,nochange,male,2016,93820.91
926,zeromigration,female,2016,97301.245
926,zeromigration,male,2016,93741.945
926,constantfertility,female,2017,97585.307
926,constantfertility,male,2017,94119.412
926,constantmortality,female,2017,97529.781
926,constantmortality,male,2017,94037.5
926,highvariant,female,2017,97813.517
926,highvariant,male,2017,94359.775
926,instantreplacement,female,2017,97959.262
926,instantreplacement,male,2017,94514.025
926,lowvariant,female,2017,97409.327
926,lowvariant,male,2017,93933.645
926,mediumvariant,female,2017,97611.423
926,mediumvariant,male,2017,94146.71
926,nochange,female,2017,97503.817
926,nochange,male,2017,94010.081
926,zeromigration,female,2017,97308.857
926,zeromigration,male,2017,93820.57
926,constantfertility,female,2018,97728.329
926,constantfertility,male,2018,94346.547
926,constantmortality,female,2018,97631.642
926,constantmortality,male,2018,94203.095
926,highvariant,female,2018,98125.878
926,highvariant,male,2018,94765.261
926,instantreplacement,female,2018,98365.14
926,instantreplacement,male,2018,95018.52
926,lowvariant,female,2018,97422.694
926,lowvariant,male,2018,94023.911
926,mediumvariant,female,2018,97774.286
926,mediumvariant,male,2018,94394.587
926,nochange,female,2018,97585.95
926,nochange,male,2018,94154.841
926,zeromigration,female,2018,97258.119
926,zeromigration,male,2018,93839.501
926,constantfertility,female,2019,97856.081
926,constantfertility,male,2019,94554.805
926,constantmortality,female,2019,97712.379
926,constantmortality,male,2019,94339.607
926,highvariant,female,2019,98447.902
926,highvariant,male,2019,95178.093
926,instantreplacement,female,2019,98769.056
926,instantreplacement,male,2019,95518.124
926,lowvariant,female,2019,97403.362
926,lowvariant,male,2019,94076.881
926,mediumvariant,female,2019,97925.633
926,mediumvariant,male,2019,94627.486
926,nochange,female,2019,97643.243
926,nochange,male,2019,94266.592
926,zeromigration,female,2019,97183.879
926,zeromigration,male,2019,93833.187
926,constantfertility,female,2020,97977.033
926,constantfertility,male,2020,94749.956
926,constantmortality,female,2020,97782.38
926,constantmortality,male,2020,94455.061
926,highvariant,female,2020,98780.436
926,highvariant,male,2020,95596.01
926,instantreplacement,female,2020,99156.832
926,instantreplacement,male,2020,95994.701
926,lowvariant,female,2020,97366.334
926,lowvariant,male,2020,94105.223
926,mediumvariant,female,2020,98073.385
926,mediumvariant,male,2020,94850.616
926,nochange,female,2020,97686.63
926,nochange,male,2020,94353.939
926,zeromigration,female,2020,97111.881
926,zeromigration,male,2020,93827.001
926,constantfertility,female,2021,98092.658
926,constantfertility,male,2021,94931.827
