region,variant,year,population
925,estimates,1950,108737.324
925,estimates,1951,109707.398
925,estimates,1952,110692.721
925,estimates,1953,111667.02
925,estimates,1954,112613.562
925,estimates,1955,113525.08
925,estimates,1956,114404.187
925,estimates,1957,115263.005
925,estimates,1958,116121.535
925,estimates,1959,117004.917
925,estimates,1960,117935.639
925,estimates,1961,118925.041
925,estimates,1962,119965.856
925,estimates,1963,121029.152
925,estimates,1964,122073.21
925,estimates,1965,123070.011
925,estimates,1966,124005.432
925,estimates,1967,124894.074
925,estimates,1968,125771.246
925,estimates,1969,126687.439
925,estimates,1970,127677.447
925,estimates,1971,128749.346
925,estimates,1972,129886.208
925,estimates,1973,131066.898
925,estimates,1974,132259.563
925,estimates,1975,133437.816
925,estimates,1976,134596.189
925,estimates,1977,135731.872
925,estimates,1978,136823.804
925,estimates,1979,137847.691
925,estimates,1980,138785.43
925,estimates,1981,139628.089
925,estimates,1982,140376.507
925,estimates,1983,141035.563
925,estimates,1984,141615.437
925,estimates,1985,142125.142
925,estimates,1986,142566.597
925,estimates,1987,142941.484
925,estimates,1988,143258.882
925,estimates,1989,143529.892
925,estimates,1990,143764.632
925,estimates,1991,143977.279
925,estimates,1992,144175.105
925,estimates,1993,144354.316
925,estimates,1994,144506.546
925,estimates,1995,144632.256
925,estimates,1996,144718.877
925,estimates,1997,144786.897
925,estimates,1998,144908.134
925,estimates,1999,145177.435
925,estimates,2000,145657.35
925,estimates,2001,146368.156
925,estimates,2002,147273.493
925,estimates,2003,148307.083
925,estimates,2004,149372.845
925,estimates,2005,150392.512
925,estimates,2006,151358.941
925,estimates,2007,152268.544
925,estimates,2008,153052.154
925,estimates,2009,153627.755
925,estimates,2010,153943.085
925,estimates,2011,153958.951
925,estimates,2012,153703.438
925,estimates,2013,153276.446
925,estimates,2014,152820.713
925,constant_fertility,2015,152440.653
925,constant_mortality,2015,152440.653
925,estimates,2015,152440.653
925,high_variant,2015,152440.653
925,instant_replacement,2015,152440.653
925,low_variant,2015,152440.653
925,medium_variant,2015,152440.653
925,momentum,2015,152440.653
925,no_change,2015,152440.653
925,zero_migration,2015,152440.653
925,constant_fertility,2016,152278.329
925,constant_mortality,2016,152237.753
925,high_variant,2016,152471.407
925,instant_replacement,2016,152558.091
925,low_variant,2016,152149.748
925,medium_variant,2016,152172.107
925,momentum,2016,152441.18
925,no_change,2016,152205.174
925,zero_migration,2016,152239.468
925,constant_fertility,2017,152082.55
925,constant_mortality,2017,151991.985
925,high_variant,2017,152514.952
925,instant_replacement,2017,152920.39
925,low_variant,2017,151795.923
925,medium_variant,2017,151989.29
925,momentum,2017,152635.155
925,no_change,2017,151918.697
925,zero_migration,2017,152000.506
925,constant_fertility,2018,151855.01
925,constant_mortality,2018,151705.297
925,high_variant,2018,152565.924
925,instant_replacement,2018,153438.19
925,low_variant,2018,151386.735
925,medium_variant,2018,151860.168
925,momentum,2018,152941.229
925,no_change,2018,151583.698
925,zero_migration,2018,151726.919
925,constant_fertility,2019,151597.805
925,constant_mortality,2019,151380.149
925,high_variant,2019,152620.62
925,instant_replacement,2019,153971.664
925,low_variant,2019,150929.036
925,medium_variant,2019,151728.253
925,momentum,2019,153232.783
925,no_change,2019,151203.096
925,zero_migration,2019,151421.586
925,constant_fertility,2020,151313.55
925,constant_mortality,2020,151019.567
925,high_variant,2020,152677.077
925,instant_replacement,2020,154418.413
925,low_variant,2020,150429.026
925,medium_variant,2020,151553.054
925,momentum,2020,153417.225
925,no_change,2020,150780.262
925,zero_migration,2020,151087.271
925,constant_fertility,2021,151005.337
925,constant_mortality,2021,150627.281
925,high_variant,2021,152735.126
925,instant_replacement,2021,154755.872
925,low_variant,2021,149892.369
925,medium_variant,2021,151330.68
925,momentum,2021,153474.315
925,no_change,2021,150319.245
925,zero_migration,2021,150726.562
925,constant_fertility,2022,150676.65
925,constant_mortality,2022,150207.52
925,high_variant,2022,152796.17
925,instant_replacement,2022,155016.572
925,low_variant,2022,149324.042
925,medium_variant,2022,151079.847
925,momentum,2022,153433.737
925,no_change,2022,149824.6
925,zero_migration,2022,150341.744
925,constant_fertility,2023,150331.246
925,constant_mortality,2023,149765.062
925,high_variant,2023,152863.114
925,instant_replacement,2023,155218.156
925,low_variant,2023,148728.427
925,medium_variant,2023,150808.239
925,momentum,2023,153311.815
925,no_change,2023,149301.161
925,zero_migration,2023,149934.998
925,constant_fertility,2024,149973.163
925,constant_mortality,2024,149304.654
925,high_variant,2024,152939.716
925,instant_replacement,2024,155394.57
925,low_variant,2024,148109.447
925,medium_variant,2024,150528.48
925,momentum,2024,153139.649
925,no_change,2024,148753.967
925,zero_migration,2024,149508.241
925,constant_fertility,2025,149605.656
925,constant_mortality,2025,148830.606
925,high_variant,2025,153029.106
925,instant_replacement,2025,155570.371
925,low_variant,2025,147470.449
925,medium_variant,2025,150249.775
925,momentum,2025,152940.307
925,no_change,2025,148187.324
925,zero_migration,2025,149063.257
925,constant_fertility,2026,149230.897
925,constant_mortality,2026,148345.614
925,high_variant,2026,153132.151
925,instant_replacement,2026,155745.954
925,low_variant,2026,146814.559
925,medium_variant,2026,149973.384
925,momentum,2026,152714.441
925,no_change,2026,147604.161
925,zero_migration,2026,148601.492
925,constant_fertility,2027,148849.061
925,constant_mortality,2027,147850.2
925,high_variant,2027,153245.953
925,instant_replacement,2027,155909.215
925,low_variant,2027,146144.705
925,medium_variant,2027,149695.338
925,momentum,2027,152452.599
925,no_change,2027,147005.212
925,zero_migration,2027,148124.238
925,constant_fertility,2028,148458.246
925,constant_mortality,2028,147342.444
925,high_variant,2028,153363.468
925,instant_replacement,2028,156058.82
925,low_variant,2028,145463.585
925,medium_variant,2028,149413.497
925,momentum,2028,152156.968
925,no_change,2028,146388.71
925,zero_migration,2028,147632.562
925,constant_fertility,2029,148055.135
925,constant_mortality,2029,146818.693
925,high_variant,2029,153474.965
925,instant_replacement,2029,156192.072
925,low_variant,2029,144773.576
925,medium_variant,2029,149124.28
925,momentum,2029,151829.112
925,no_change,2029,145751.393
925,zero_migration,2029,147127.225
925,constant_fertility,2030,147637.269
925,constant_mortality,2030,146276.305
925,high_variant,2030,153573.316
