variant,continent,year,populationchange
estimates,905,1950,2414.728
estimates,905,1951,2605.803
estimates,905,1952,2921.665
estimates,905,1953,3169.834
estimates,905,1954,3354.175
estimates,905,1955,3478.491
estimates,905,1956,3546.584
estimates,905,1957,3562.532
estimates,905,1958,3530.934
estimates,905,1959,3457.702
estimates,905,1960,3350.788
estimates,905,1961,3220.113
estimates,905,1962,3076.922
estimates,905,1963,2931.748
estimates,905,1964,2790.74
estimates,905,1965,2648.978
estimates,905,1966,2505.6
estimates,905,1967,2380.83
estimates,905,1968,2295.522
estimates,905,1969,2251.412
estimates,905,1970,2231.816
estimates,905,1971,2219.965
estimates,905,1972,2218.136
estimates,905,1973,2232.988
estimates,905,1974,2262.206
estimates,905,1975,2304.691
estimates,905,1976,2355.751
estimates,905,1977,2401.046
estimates,905,1978,2427.699
estimates,905,1979,2435.37
estimates,905,1980,2433.307
estimates,905,1981,2434.589
estimates,905,1982,2451.147
estimates,905,1983,2490.792
estimates,905,1984,2553.508
estimates,905,1985,2632.085
estimates,905,1986,2714.692
estimates,905,1987,2786.301
estimates,905,1988,2835.81
estimates,905,1989,2863.782
estimates,905,1990,2872.67
estimates,905,1991,2876.425
estimates,905,1992,2913.808
estimates,905,1993,3017.547
estimates,905,1994,3183.173
estimates,905,1995,3388.248
estimates,905,1996,3589.308
estimates,905,1997,3712.716
estimates,905,1998,3699.215
estimates,905,1999,3550.213
estimates,905,2000,3319.401
estimates,905,2001,3081.914
estimates,905,2002,2908.056
estimates,905,2003,2845.434
estimates,905,2004,2896.997
estimates,905,2005,3011.027
estimates,905,2006,3120.81
estimates,905,2007,3181.883
estimates,905,2008,3169.907
estimates,905,2009,3082.816
estimates,905,2010,2955.722
estimates,905,2011,2832.398
estimates,905,2012,2737.813
estimates,905,2013,2684.014
estimates,905,2014,2673.101
estimates,905,2015,2684.007
medium_variant,905,2015,2684.007
medium_variant,905,2016,2692.997
medium_variant,905,2017,2694.347
medium_variant,905,2018,2689.059
medium_variant,905,2019,2675.365
medium_variant,905,2020,2657.824
medium_variant,905,2021,2640.634
medium_variant,905,2022,2620.525
medium_variant,905,2023,2592.934
medium_variant,905,2024,2557.669
medium_variant,905,2025,2517.633
medium_variant,905,2026,2475.465
medium_variant,905,2027,2429.938
medium_variant,905,2028,2379.241
medium_variant,905,2029,2323.999
medium_variant,905,2030,2265.727
medium_variant,905,2031,2206.562
medium_variant,905,2032,2149.153
medium_variant,905,2033,2095.637
medium_variant,905,2034,2046.536
medium_variant,905,2035,2000.466
medium_variant,905,2036,1955.757
medium_variant,905,2037,1912.067
medium_variant,905,2038,1869.645
medium_variant,905,2039,1828.725
medium_variant,905,2040,1789.48
medium_variant,905,2041,1752.714
medium_variant,905,2042,1720.749
medium_variant,905,2043,1695.619
medium_variant,905,2044,1677.25
medium_variant,905,2045,1663.825
medium_variant,905,2046,1652.945
medium_variant,905,2047,1642.662
medium_variant,905,2048,1631.726
medium_variant,905,2049,1619.959
medium_variant,905,2050,1608.367
medium_variant,905,2051,1598.568
medium_variant,905,2052,1592.325
medium_variant,905,2053,1590.832
medium_variant,905,2054,1593.885
medium_variant,905,2055,1599.494
medium_variant,905,2056,1605.393
medium_variant,905,2057,1610.538
medium_variant,905,2058,1614.438
medium_variant,905,2059,1616.625
medium_variant,905,2060,1617.647
medium_variant,905,2061,1617.838
medium_variant,905,2062,1615.977
medium_variant,905,2063,1610.716
medium_variant,905,2064,1601.916
medium_variant,905,2065,1590.54
medium_variant,905,2066,1577.507
medium_variant,905,2067,1562.48
medium_variant,905,2068,1544.894
medium_variant,905,2069,1524.869
medium_variant,905,2070,1503.04
medium_variant,905,2071,1479.957
medium_variant,905,2072,1455.43
medium_variant,905,2073,1429.194
medium_variant,905,2074,1401.531
medium_variant,905,2075,1372.968
medium_variant,905,2076,1344.183
medium_variant,905,2077,1315.963
medium_variant,905,2078,1288.96
medium_variant,905,2079,1263.431
medium_variant,905,2080,1238.833
medium_variant,905,2081,1214.808
medium_variant,905,2082,1192.253
medium_variant,905,2083,1172.161
medium_variant,905,2084,1154.53
medium_variant,905,2085,1138.529
medium_variant,905,2086,1123.288
medium_variant,905,2087,1108.698
medium_variant,905,2088,1094.857
medium_variant,905,2089,1081.6
medium_variant,905,2090,1068.767
medium_variant,905,2091,1056.195
medium_variant,905,2092,1043.727
medium_variant,905,2093,1031.196
medium_variant,905,2094,1018.439
medium_variant,905,2095,1005.288
medium_variant,905,2096,991.573
medium_variant,905,2097,977.13
medium_variant,905,2098,961.789
medium_variant,905,2099,945.381
