variant,country,year,populationchange
estimates,804,1950,514.605
estimates,804,1951,531.35
estimates,804,1952,550.199
estimates,804,1953,555.598
estimates,804,1954,551.633
estimates,804,1955,542.475
estimates,804,1956,532.307
estimates,804,1957,524.908
estimates,804,1958,523.175
estimates,804,1959,527.916
estimates,804,1960,536.64
estimates,804,1961,543.658
estimates,804,1962,541.171
estimates,804,1963,522.52
estimates,804,1964,488.136
estimates,804,1965,444.112
estimates,804,1966,399.355
estimates,804,1967,363.408
estimates,804,1968,343.131
estimates,804,1969,338.877
estimates,804,1970,343.558
estimates,804,1971,348.123
estimates,804,1972,346.695
estimates,804,1973,336.086
estimates,804,1974,315.948
estimates,804,1975,290.708
estimates,804,1976,265.991
estimates,804,1977,245.237
estimates,804,1978,230.19
estimates,804,1979,220.973
estimates,804,1980,213.895
estimates,804,1981,205.294
estimates,804,1982,195.511
estimates,804,1983,185.782
estimates,804,1984,175.383
estimates,804,1985,163.942
estimates,804,1986,150.195
estimates,804,1987,130.408
estimates,804,1988,101.211
estimates,804,1989,62.4
estimates,804,1990,19.543
estimates,804,1991,-23.463
estimates,804,1992,-72.506
estimates,804,1993,-133.992
estimates,804,1994,-206.056
estimates,804,1995,-283.652
estimates,804,1996,-358.308
estimates,804,1997,-417.04
estimates,804,1998,-449.304
estimates,804,1999,-454.242
estimates,804,2000,-443.927
estimates,804,2001,-430.214
estimates,804,2002,-411.115
estimates,804,2003,-381.747
estimates,804,2004,-344.126
estimates,804,2005,-299.713
estimates,804,2006,-252.843
estimates,804,2007,-214.945
estimates,804,2008,-196.158
estimates,804,2009,-196.975
estimates,804,2010,-208.876
estimates,804,2011,-221.598
estimates,804,2012,-230.27
estimates,804,2013,-232.953
estimates,804,2014,-229.033
estimates,804,2015,-222.393
medium_variant,804,2015,-222.393
medium_variant,804,2016,-217.375
medium_variant,804,2017,-214.704
medium_variant,804,2018,-213.864
medium_variant,804,2019,-214.993
medium_variant,804,2020,-217.129
medium_variant,804,2021,-219.415
medium_variant,804,2022,-222.325
medium_variant,804,2023,-226.522
medium_variant,804,2024,-231.851
medium_variant,804,2025,-237.813
medium_variant,804,2026,-243.761
medium_variant,804,2027,-249.122
medium_variant,804,2028,-253.453
medium_variant,804,2029,-256.592
medium_variant,804,2030,-259.024
medium_variant,804,2031,-261.087
medium_variant,804,2032,-262.208
medium_variant,804,2033,-261.748
medium_variant,804,2034,-259.726
medium_variant,804,2035,-256.705
medium_variant,804,2036,-253.303
medium_variant,804,2037,-249.68
medium_variant,804,2038,-245.852
medium_variant,804,2039,-241.95
medium_variant,804,2040,-237.945
medium_variant,804,2041,-233.879
medium_variant,804,2042,-230.097
medium_variant,804,2043,-226.954
medium_variant,804,2044,-224.526
medium_variant,804,2045,-222.542
medium_variant,804,2046,-220.774
medium_variant,804,2047,-219.385
medium_variant,804,2048,-218.592
medium_variant,804,2049,-218.385
medium_variant,804,2050,-218.572
medium_variant,804,2051,-218.972
medium_variant,804,2052,-219.578
medium_variant,804,2053,-220.406
medium_variant,804,2054,-221.407
medium_variant,804,2055,-222.484
medium_variant,804,2056,-223.539
medium_variant,804,2057,-224.54
medium_variant,804,2058,-225.453
medium_variant,804,2059,-226.219
medium_variant,804,2060,-226.788
medium_variant,804,2061,-227.067
medium_variant,804,2062,-226.854
medium_variant,804,2063,-225.949
medium_variant,804,2064,-224.314
medium_variant,804,2065,-222.136
medium_variant,804,2066,-219.54
medium_variant,804,2067,-216.346
medium_variant,804,2068,-212.348
medium_variant,804,2069,-207.566
medium_variant,804,2070,-202.219
medium_variant,804,2071,-196.54
medium_variant,804,2072,-190.54
medium_variant,804,2073,-184.195
medium_variant,804,2074,-177.576
medium_variant,804,2075,-170.769
medium_variant,804,2076,-163.885
medium_variant,804,2077,-157.009
medium_variant,804,2078,-150.239
medium_variant,804,2079,-143.641
medium_variant,804,2080,-137.218
medium_variant,804,2081,-131.009
medium_variant,804,2082,-125.158
medium_variant,804,2083,-119.815
medium_variant,804,2084,-115.035
medium_variant,804,2085,-110.7
medium_variant,804,2086,-106.735
medium_variant,804,2087,-103.346
medium_variant,804,2088,-100.732
medium_variant,804,2089,-98.879
medium_variant,804,2090,-97.634
medium_variant,804,2091,-96.819
medium_variant,804,2092,-96.304
medium_variant,804,2093,-96.009
medium_variant,804,2094,-95.934
medium_variant,804,2095,-96.129
medium_variant,804,2096,-96.659
medium_variant,804,2097,-97.581
medium_variant,804,2098,-98.965
medium_variant,804,2099,-100.887
