variant,global,year,populationchange
Estimates,900,1950,46291.938
Estimates,900,1951,46400.342
Estimates,900,1952,46082.463
Estimates,900,1953,46368.005
Estimates,900,1954,47140.244
Estimates,900,1955,48280.37
Estimates,900,1956,49669.567
Estimates,900,1957,51197.639
Estimates,900,1958,52771.595
Estimates,900,1959,54341.334
Estimates,900,1960,55923.541
Estimates,900,1961,57599.59
Estimates,900,1962,59494.086
Estimates,900,1963,61708.395
Estimates,900,1964,64200.226
Estimates,900,1965,66838.396
Estimates,900,1966,69415.035
Estimates,900,1967,71634.352
Estimates,900,1968,73258.499
Estimates,900,1969,74260.604
Estimates,900,1970,74935.278
Estimates,900,1971,75554.337
Estimates,900,1972,75996.136
Estimates,900,1973,76073.603
Estimates,900,1974,75843.634
Estimates,900,1975,75409.823
Estimates,900,1976,74966.32
Estimates,900,1977,74872.348
Estimates,900,1978,75432.306
Estimates,900,1979,76671.221
Estimates,900,1980,78202.566
Estimates,900,1981,79682.24
Estimates,900,1982,81299.428
Estimates,900,1983,83320.427
Estimates,900,1984,85657.544
Estimates,900,1985,88190.959
Estimates,900,1986,90625.759
Estimates,900,1987,92287.22
Estimates,900,1988,92592.491
Estimates,900,1989,91528.281
Estimates,900,1990,89687.133
Estimates,900,1991,87734.302
Estimates,900,1992,85868.21
Estimates,900,1993,84108.971
Estimates,900,1994,82546.394
Estimates,900,1995,81045.663
Estimates,900,1996,79523.02
Estimates,900,1997,78250.42
Estimates,900,1998,77527.998
Estimates,900,1999,77370.928
Estimates,900,2000,77553.462
Estimates,900,2001,77840.406
Estimates,900,2002,78227.02
Estimates,900,2003,78769.927
Estimates,900,2004,79434.887
Estimates,900,2005,80188.004
Estimates,900,2006,80984.797
Estimates,900,2007,81755.587
Estimates,900,2008,82435.739
Estimates,900,2009,82996.095
Estimates,900,2010,83473.905
Estimates,900,2011,83888.095
Estimates,900,2012,84145.103
Estimates,900,2013,84144.612
Estimates,900,2014,83880.988
Estimates,900,2015,83441.414
Medium_variant,900,2015,83441.414
Medium_variant,900,2016,82908.907
Medium_variant,900,2017,82259.358
Medium_variant,900,2018,81448.813
Medium_variant,900,2019,80494.4
Medium_variant,900,2020,79430.839
Medium_variant,900,2021,78307.226
Medium_variant,900,2022,77187.8
Medium_variant,900,2023,76125.693
Medium_variant,900,2024,75135.07
Medium_variant,900,2025,74173.203
Medium_variant,900,2026,73199.895
Medium_variant,900,2027,72240.179
Medium_variant,900,2028,71331.26
Medium_variant,900,2029,70473.499
Medium_variant,900,2030,69645.981
Medium_variant,900,2031,68827.497
Medium_variant,900,2032,68018.312
Medium_variant,900,2033,67223.802
Medium_variant,900,2034,66439.749
Medium_variant,900,2035,65660.522
Medium_variant,900,2036,64879.167
Medium_variant,900,2037,64087.166
Medium_variant,900,2038,63276.998
Medium_variant,900,2039,62444.743
Medium_variant,900,2040,61595.679
Medium_variant,900,2041,60731.781
Medium_variant,900,2042,59837.728
Medium_variant,900,2043,58897.717
Medium_variant,900,2044,57911.464
Medium_variant,900,2045,56892.754
Medium_variant,900,2046,55856.078
Medium_variant,900,2047,54802.659
Medium_variant,900,2048,53730.1
Medium_variant,900,2049,52640.923
Medium_variant,900,2050,51542.101
Medium_variant,900,2051,50437.398
Medium_variant,900,2052,49318.522
Medium_variant,900,2053,48177.72
Medium_variant,900,2054,47020.004
Medium_variant,900,2055,45857.828
Medium_variant,900,2056,44708.414
Medium_variant,900,2057,43592.187
Medium_variant,900,2058,42525.533
Medium_variant,900,2059,41512.855
Medium_variant,900,2060,40535.479
Medium_variant,900,2061,39579.249
Medium_variant,900,2062,38664.424
Medium_variant,900,2063,37814.415
Medium_variant,900,2064,37026.385
Medium_variant,900,2065,36281.578
Medium_variant,900,2066,35556.28
Medium_variant,900,2067,34832.057
Medium_variant,900,2068,34096.627
Medium_variant,900,2069,33345.994
Medium_variant,900,2070,32593.134
Medium_variant,900,2071,31850.434
Medium_variant,900,2072,31111.273
Medium_variant,900,2073,30365.366
Medium_variant,900,2074,29612.72
Medium_variant,900,2075,28860.954
Medium_variant,900,2076,28116.165
Medium_variant,900,2077,27373.111
Medium_variant,900,2078,26625.536
Medium_variant,900,2079,25875.82
Medium_variant,900,2080,25126.973
Medium_variant,900,2081,24387.278
Medium_variant,900,2082,23676.501
Medium_variant,900,2083,23011.723
Medium_variant,900,2084,22392.95
Medium_variant,900,2085,21800.83
Medium_variant,900,2086,21215.054
Medium_variant,900,2087,20633.305
Medium_variant,900,2088,20058.219
Medium_variant,900,2089,19486.005
Medium_variant,900,2090,18912.859
Medium_variant,900,2091,18334.933
Medium_variant,900,2092,17748.439
Medium_variant,900,2093,17149.597
Medium_variant,900,2094,16534.603
Medium_variant,900,2095,15899.693
Medium_variant,900,2096,15241.095
Medium_variant,900,2097,14555.064
Medium_variant,900,2098,13837.813
Medium_variant,900,2099,13085.573
