variant,region,year,populationchange
Estimates,5500,1950,368.611
Estimates,5500,1951,421.974
Estimates,5500,1952,511.049
Estimates,5500,1953,579.903
Estimates,5500,1954,633.095
Estimates,5500,1955,675.313
Estimates,5500,1956,711.255
Estimates,5500,1957,745.188
Estimates,5500,1958,780.502
Estimates,5500,1959,818.4
Estimates,5500,1960,856.671
Estimates,5500,1961,889.784
Estimates,5500,1962,909.988
Estimates,5500,1963,910.691
Estimates,5500,1964,892.638
Estimates,5500,1965,862.24
Estimates,5500,1966,829.029
Estimates,5500,1967,804.038
Estimates,5500,1968,795.448
Estimates,5500,1969,803.877
Estimates,5500,1970,822.181
Estimates,5500,1971,840.457
Estimates,5500,1972,850.4
Estimates,5500,1973,846.883
Estimates,5500,1974,830.03
Estimates,5500,1975,805.715
Estimates,5500,1976,782.656
Estimates,5500,1977,770.269
Estimates,5500,1978,775.23
Estimates,5500,1979,797.65
Estimates,5500,1980,827.24
Estimates,5500,1981,853.842
Estimates,5500,1982,878.566
Estimates,5500,1983,904.935
Estimates,5500,1984,930.648
Estimates,5500,1985,957.323
Estimates,5500,1986,981.438
Estimates,5500,1987,983.121
Estimates,5500,1988,944.023
Estimates,5500,1989,865.114
Estimates,5500,1990,764.478
Estimates,5500,1991,663.79
Estimates,5500,1992,575.126
Estimates,5500,1993,504.805
Estimates,5500,1994,455.99
Estimates,5500,1995,418.746
Estimates,5500,1996,385.108
Estimates,5500,1997,365.356
Estimates,5500,1998,371.87
Estimates,5500,1999,403.961
Estimates,5500,2000,452.956
Estimates,5500,2001,508.277
Estimates,5500,2002,563.255
Estimates,5500,2003,614.026
Estimates,5500,2004,659.044
Estimates,5500,2005,700.552
Estimates,5500,2006,742.468
Estimates,5500,2007,788.612
Estimates,5500,2008,841.104
Estimates,5500,2009,898.464
Estimates,5500,2010,958.01
Estimates,5500,2011,1013.51
Estimates,5500,2012,1051.662
Estimates,5500,2013,1061.15
Estimates,5500,2014,1041.88
Estimates,5500,2015,1004.962
Medium_variant,5500,2015,1004.962
Medium_variant,5500,2016,963.665
Medium_variant,5500,2017,924.522
Medium_variant,5500,2018,890.385
Medium_variant,5500,2019,862.674
Medium_variant,5500,2020,837.191
Medium_variant,5500,2021,809.319
Medium_variant,5500,2022,779.337
Medium_variant,5500,2023,749.059
Medium_variant,5500,2024,718.849
Medium_variant,5500,2025,688.973
Medium_variant,5500,2026,660.151
Medium_variant,5500,2027,634.275
Medium_variant,5500,2028,613.035
Medium_variant,5500,2029,596.554
Medium_variant,5500,2030,583.039
Medium_variant,5500,2031,570.761
Medium_variant,5500,2032,560.141
Medium_variant,5500,2033,552.023
Medium_variant,5500,2034,546.077
Medium_variant,5500,2035,541.535
Medium_variant,5500,2036,537.465
Medium_variant,5500,2037,533.017
Medium_variant,5500,2038,527.517
Medium_variant,5500,2039,520.618
Medium_variant,5500,2040,512.846
Medium_variant,5500,2041,504.484
Medium_variant,5500,2042,494.314
Medium_variant,5500,2043,481.038
Medium_variant,5500,2044,464.626
Medium_variant,5500,2045,446.212
Medium_variant,5500,2046,426.924
Medium_variant,5500,2047,406.635
Medium_variant,5500,2048,384.949
Medium_variant,5500,2049,362.092
Medium_variant,5500,2050,338.468
Medium_variant,5500,2051,314.564
Medium_variant,5500,2052,290.894
Medium_variant,5500,2053,267.888
Medium_variant,5500,2054,245.767
Medium_variant,5500,2055,224.31
Medium_variant,5500,2056,203.403
Medium_variant,5500,2057,183.641
Medium_variant,5500,2058,165.674
Medium_variant,5500,2059,149.575
Medium_variant,5500,2060,134.825
Medium_variant,5500,2061,120.971
Medium_variant,5500,2062,108.342
Medium_variant,5500,2063,97.369
Medium_variant,5500,2064,87.964
Medium_variant,5500,2065,79.743
Medium_variant,5500,2066,72.256
Medium_variant,5500,2067,65.183
Medium_variant,5500,2068,58.312
Medium_variant,5500,2069,51.53
Medium_variant,5500,2070,44.947
Medium_variant,5500,2071,38.675
Medium_variant,5500,2072,32.573
Medium_variant,5500,2073,26.452
Medium_variant,5500,2074,20.244
Medium_variant,5500,2075,14.043
Medium_variant,5500,2076,7.866
Medium_variant,5500,2077,1.395
Medium_variant,5500,2078,-5.69
Medium_variant,5500,2079,-13.384
Medium_variant,5500,2080,-21.45
Medium_variant,5500,2081,-29.576
Medium_variant,5500,2082,-37.519
Medium_variant,5500,2083,-45.129
Medium_variant,5500,2084,-52.383
Medium_variant,5500,2085,-59.424
Medium_variant,5500,2086,-66.464
Medium_variant,5500,2087,-73.682
Medium_variant,5500,2088,-81.188
Medium_variant,5500,2089,-88.971
Medium_variant,5500,2090,-96.847
Medium_variant,5500,2091,-104.603
Medium_variant,5500,2092,-112.085
Medium_variant,5500,2093,-119.205
Medium_variant,5500,2094,-125.952
Medium_variant,5500,2095,-132.372
Medium_variant,5500,2096,-138.525
Medium_variant,5500,2097,-144.483
Medium_variant,5500,2098,-150.319
Medium_variant,5500,2099,-156.1
