continent,variant,year,populationdensitypersqkm
903,estimates,1950,7.72052109523979
903,estimates,1951,7.87390811024559
903,estimates,1952,8.035171683919
903,estimates,1953,8.20425390435555
903,estimates,1954,8.38112940769257
903,estimates,1955,8.56580811012105
903,estimates,1956,8.758333049259
903,estimates,1957,8.95878146346478
903,estimates,1958,9.16726040712677
903,estimates,1959,9.38389835225674
903,estimates,1960,9.60882778456281
903,estimates,1961,9.84216176211363
903,estimates,1962,10.0839766463255
903,estimates,1963,10.3343026579709
903,estimates,1964,10.5931480605424
903,estimates,1965,10.8605645598929
903,estimates,1966,11.1368962883239
903,estimates,1967,11.4223772881797
903,estimates,1968,11.7168546342565
903,estimates,1969,12.0200677398483
903,estimates,1970,12.3320281401162
903,estimates,1971,12.6527119889817
903,estimates,1972,12.9828257644597
903,estimates,1973,13.3240139690123
903,estimates,1974,13.6784086174298
903,estimates,1975,14.047613603011
903,estimates,1976,14.4322643714641
903,estimates,1977,14.8322185883469
903,estimates,1978,15.2473119282089
903,estimates,1979,15.677062376474
903,estimates,1980,16.1210663374234
903,estimates,1981,16.5792342955099
903,estimates,1982,17.0516020367153
903,estimates,1983,17.5379681004656
903,estimates,1984,18.0380866056987
903,estimates,1985,18.5516325779242
903,estimates,1986,19.0782880581883
903,estimates,1987,19.6175703236158
903,estimates,1988,20.1687518158536
903,estimates,1989,20.7309706357712
903,estimates,1990,21.3034287998225
903,estimates,1991,21.886442243249
903,estimates,1992,22.479690207628
903,estimates,1993,23.081069111329
903,estimates,1994,23.6878918689665
903,estimates,1995,24.2985934425204
903,estimates,1996,24.9126793715831
903,estimates,1997,25.5318046144644
903,estimates,1998,26.159324149114
903,estimates,1999,26.7998560873334
903,estimates,2000,27.4571621058171
903,estimates,2001,28.1325949551493
903,estimates,2002,28.8266315906251
903,estimates,2003,29.5411102514447
903,estimates,2004,30.2778547072642
903,estimates,2005,31.0383167693924
903,estimates,2006,31.8231428115844
903,estimates,2007,32.6327341360183
903,estimates,2008,33.4678004923773
903,estimates,2009,34.328926834744
903,estimates,2010,35.2162008573244
903,estimates,2011,36.1300271339648
903,estimates,2012,37.069465076849
903,estimates,2013,38.0314971620775
903,estimates,2014,39.0120745481599
903,constantfertility,2015,40.0080625382461
903,constantmortality,2015,40.0080625382461
903,estimates,2015,40.0080625382461
903,highvariant,2015,40.0080625382461
903,instantreplacement,2015,40.0080625382461
903,lowvariant,2015,40.0080625382461
903,mediumvariant,2015,40.0080625382461
903,nochange,2015,40.0080625382461
903,zeromigration,2015,40.0080625382461
903,constantfertility,2016,41.0702235980427
903,constantmortality,2016,40.9968265157429
903,highvariant,2016,41.0613897559311
903,instantreplacement,2016,40.6081032283638
903,lowvariant,2016,40.9751782565958
903,mediumvariant,2016,41.018284039992
903,nochange,2016,41.0485143239654
903,zeromigration,2016,41.0293222446138
903,constantfertility,2017,42.1713753906196
903,constantmortality,2017,41.9899008321066
903,highvariant,2017,42.1483019994395
903,instantreplacement,2017,41.0516572843079
903,lowvariant,2017,41.9372777314488
903,mediumvariant,2017,42.0427901521367
903,nochange,2017,42.1177088638246
903,zeromigration,2017,42.0695277107998
903,constantfertility,2018,43.3110717211109
903,constantmortality,2018,42.9874356468008
903,highvariant,2018,43.2663057177526
903,instantreplacement,2018,41.3942554430501
903,lowvariant,2018,42.8960928559163
903,mediumvariant,2018,43.0811997084412
903,nochange,2018,43.2155826132531
903,zeromigration,2018,43.1269993566597
903,constantfertility,2019,44.4879932976447
903,constantmortality,2019,43.9906258608391
903,highvariant,2019,44.4116735698306
903,instantreplacement,2019,41.7179340490501
903,lowvariant,2019,43.8553482390264
903,mediumvariant,2019,44.1335113934923
903,nochange,2019,44.3418338704537
903,zeromigration,2019,44.1997983307563
903,constantfertility,2020,45.7014491910635
903,constantmortality,2020,45.0002708069091
903,highvariant,2020,45.5816511481204
903,instantreplacement,2020,42.0835401318747
903,lowvariant,2020,44.8178081033374
903,mediumvariant,2020,45.1997300641999
903,nochange,2020,45.4963850260541
903,zeromigration,2020,45.2864884718238
903,constantfertility,2021,46.9522857516406
903,constantmortality,2021,46.0156566879026
903,highvariant,2021,46.7751906417746
903,instantreplacement,2021,42.5083368356292
903,lowvariant,2021,45.7835883401155
903,mediumvariant,2021,46.2793804516961
903,nochange,2021,46.6796514470338
903,zeromigration,2021,46.3861895998623
903,constantfertility,2022,48.2421408373155
903,constantmortality,2022,47.0357144439916
903,highvariant,2022,47.9929241911044
903,instantreplacement,2022,42.9782621245552
903,lowvariant,2022,46.7514448721344
903,mediumvariant,2022,47.3721537037331
903,nochange,2022,47.8923305384302
903,zeromigration,2022,47.4989223230104
903,constantfertility,2023,49.5720563901696
903,constantmortality,2023,48.060609985868
903,highvariant,2023,49.2357492113937
903,instantreplacement,2023,43.4852847946256
903,lowvariant,2023,47.7213935518085
903,mediumvariant,2023,48.4785225595383
903,nochange,2023,49.1349872870297
903,zeromigration,2023,48.6253234361176
903,constantfertility,2024,50.943225287504
903,constantmortality,2024,49.0907293704095
903,highvariant,2024,50.5052153941766
903,instantreplacement,2024,44.0112838500294
903,lowvariant,2024,48.6933632119166
903,mediumvariant,2024,49.599247665163
903,nochange,2024,50.408269786743
903,zeromigration,2024,49.7665452073221
903,constantfertility,2025,52.3568935628003
903,constantmortality,2025,50.126309675529
903,highvariant,2025,51.8022624503272
903,instantreplacement,2025,44.5431004041442
903,lowvariant,2025,49.6675797324963
903,mediumvariant,2025,50.7349210239547
903,nochange,2025,51.7128601635785
903,zeromigration,2025,50.9234539541934
903,constantfertility,2026,53.8143679946418
903,constantmortality,2026,51.167089707407
903,highvariant,2026,53.1272036505323
903,instantreplacement,2026,45.0817826388315
903,lowvariant,2026,50.6438085990035
903,mediumvariant,2026,51.885552720747
903,nochange,2026,53.0494947115812
903,zeromigration,2026,52.0960004330619
903,constantfertility,2027,55.3169432867942
903,constantmortality,2027,52.2127170027923
903,highvariant,2027,54.4790283865249
903,instantreplacement,2027,45.6348448007738
903,lowvariant,2027,51.6229258090992
903,mediumvariant,2027,53.0510443693866
903,nochange,2027,54.4188972452358
903,zeromigration,2027,53.283875353209
903,constantfertility,2028,56.8659182241768
903,constantmortality,2028,53.2632207368728
903,highvariant,2028,55.8557918369159
903,instantreplacement,2028,46.2022170718918
903,lowvariant,2028,52.6075888007815
903,mediumvariant,2028,54.2317562244174
903,nochange,2028,55.8217725224016
903,zeromigration,2028,54.4874032506538
903,constantfertility,2029,58.4626322008719
903,constantmortality,2029,54.3186781480068
903,highvariant,2029,57.2548725520601
903,instantreplacement,2029,46.7839172271266
903,lowvariant,2029,53.6012556938779
903,mediumvariant,2029,55.4281134678242
903,nochange,2029,57.2588411870806
903,zeromigration,2029,55.7069682260185
903,constantfertility,2030,60.1086005053019
903,constantmortality,2030,55.379004071629
903,highvariant,2030,58.6744333046136
903,instantreplacement,2030,47.3793337343054
903,lowvariant,2030,54.6063220579962
903,mediumvariant,2030,56.6403772596981
903,nochange,2030,58.7309412248681
903,zeromigration,2030,56.9427975759393
903,constantfertility,2031,61.8055374242796
903,constantmortality,2031,56.4438389614946
903,highvariant,2031,60.1137678189326
903,instantreplacement,2031,47.9875007766636
903,lowvariant,2031,55.6234784850086
903,mediumvariant,2031,57.8684852359674
903,nochange,2031,60.2390326849484
903,zeromigration,2031,58.1948123081738
903,constantfertility,2032,63.5553946935449
903,constantmortality,2032,57.5126293659784
903,highvariant,2032,61.5735298890514
903,instantreplacement,2032,48.6061996907896
903,lowvariant,2032,56.6517768656342
903,mediumvariant,2032,59.1122020388746
903,nochange,2032,61.7842438881957
903,zeromigration,2032,59.4627675197876
903,constantfertility,2033,65.3602971774375
903,constantmortality,2033,58.5848076000108
903,highvariant,2033,63.0549396786607
903,instantreplacement,2033,49.2318899917594
903,lowvariant,2033,57.6898482258605
903,mediumvariant,2033,60.3713502562951
903,nochange,2033,63.3678369566053
903,zeromigration,2033,60.7464709580981
903,constantfertility,2034,67.2225397658709
903,constantmortality,2034,59.6597038822292
903,highvariant,2034,64.559875867481
903,instantreplacement,2034,49.8601864633456
903,lowvariant,2034,58.7355469582951
903,mediumvariant,2034,61.6456729104771
903,nochange,2034,64.9911915224088
903,zeromigration,2034,62.0456531657933
903,constantfertility,2035,69.1444679078413
903,constantmortality,2035,60.7365820535029
903,highvariant,2035,66.0897842294122
903,instantreplacement,2035,50.4872103908172
903,lowvariant,2035,59.7869711105246
903,mediumvariant,2035,62.9348134232874
903,nochange,2035,66.6556995287548
903,zeromigration,2035,63.359951122589
903,constantfertility,2036,71.1283508595715
903,constantmortality,2036,61.8148203619115
903,highvariant,2036,67.6449461953984
903,instantreplacement,2036,51.1112075864977
903,lowvariant,2036,60.8433864796734
903,mediumvariant,2036,64.2384498558045
903,nochange,2036,68.3626402317376
903,zeromigration,2036,64.6890334793006
903,constantfertility,2037,73.1765381512109
903,constantmortality,2037,62.893612594145
903,highvariant,2037,69.2251493093615
903,instantreplacement,2037,51.7304522284133
903,lowvariant,2037,61.9041694924799
903,mediumvariant,2037,65.5560426862903
903,nochange,2037,70.1133425695918
903,zeromigration,2037,66.0323624343456
903,constantfertility,2038,75.2916283644544
903,constantmortality,2038,63.9717696167703
903,highvariant,2038,70.8307710948581
903,instantreplacement,2038,52.3411704975949
903,lowvariant,2038,62.9675438690734
903,mediumvariant,2038,66.8867003682268
903,nochange,2038,71.9093457442752
903,zeromigration,2038,67.3890654978316
903,constantfertility,2039,77.4763446742261
903,constantmortality,2039,65.0479246144015
903,highvariant,2039,72.4621476230684
903,instantreplacement,2039,52.9391612007334
903,lowvariant,2039,64.0314571602913
903,mediumvariant,2039,68.2293452410081
903,nochange,2039,73.7522748306102
903,zeromigration,2039,68.7580909126719
903,constantfertility,2040,79.7334373394684
903,constantmortality,2040,66.1208250439487
903,highvariant,2040,74.1195127676941
903,instantreplacement,2040,53.5211919968533
903,lowvariant,2040,65.094088261032
903,mediumvariant,2040,69.5829884850045
903,nochange,2040,75.643732102926
903,zeromigration,2040,70.1384716141458
903,constantfertility,2041,82.0656669063289
903,constantmortality,2041,67.1895822932769
903,highvariant,2041,75.8029726387244
903,instantreplacement,2041,54.0854548675268
903,lowvariant,2041,66.1542581564245
903,mediumvariant,2041,70.9469652432205
903,nochange,2041,77.5852609455195
903,zeromigration,2041,71.5295348527791
903,constantfertility,2042,84.4757822508797
903,constantmortality,2042,68.2533925775313
903,highvariant,2042,77.5125125979727
903,instantreplacement,2042,54.6315597759086
903,lowvariant,2042,67.2109957680518
903,mediumvariant,2042,72.3206750801735
903,nochange,2042,79.5783483148386
903,zeromigration,2042,72.9306791475044
903,constantfertility,2043,86.9665719139571
903,constantmortality,2043,69.3111893327956
