region,variant,year,populationdensitypersqkm
928,estimates,1950,4.15320719802111
928,estimates,1951,4.21168828716554
928,estimates,1952,4.27597009006968
928,estimates,1953,4.34519345153798
928,estimates,1954,4.41874468928794
928,estimates,1955,4.49625748220321
928,estimates,1956,4.57762419985272
928,estimates,1957,4.66298268471837
928,estimates,1958,4.75268981665062
928,estimates,1959,4.84724598274137
928,estimates,1960,4.94716289960158
928,estimates,1961,5.05276912328405
928,estimates,1962,5.1640627655356
928,estimates,1963,5.28063407541683
928,estimates,1964,5.40187692365792
928,estimates,1965,5.52751751354822
928,estimates,1966,5.65696104533696
928,estimates,1967,5.79075888895183
928,estimates,1968,5.9311372948885
928,estimates,1969,6.08109103268566
928,estimates,1970,6.24254423233067
928,estimates,1971,6.41662606922336
928,estimates,1972,6.60212617307729
928,estimates,1973,6.79575520685814
928,estimates,1974,6.99286617949735
928,estimates,1975,7.19013954190978
928,estimates,1976,7.38581921864084
928,estimates,1977,7.58087010706395
928,estimates,1978,7.7779452028928
928,estimates,1979,7.98107026190072
928,estimates,1980,8.19285296172511
928,estimates,1981,8.414883211541
928,estimates,1982,8.64540682414698
928,estimates,1983,8.87975414943636
928,estimates,1984,9.1114126022017
928,estimates,1985,9.33605808266772
928,estimates,1986,9.55175513132801
928,estimates,1987,9.76095470080628
928,estimates,1988,9.96907418946732
928,estimates,1989,10.1838611000963
928,estimates,1990,10.4109745274646
928,estimates,1991,10.6520496988236
928,estimates,1992,10.9055627938594
928,estimates,1993,11.1700957344361
928,estimates,1994,11.4430767197266
928,estimates,1995,11.7224588832871
928,estimates,1996,12.0083479672955
928,estimates,1997,12.3011084046149
928,estimates,1998,12.5991672803489
928,estimates,1999,12.900555146434
928,estimates,2000,13.2039219018486
928,estimates,2001,13.5081421476992
928,estimates,2002,13.8135652108235
928,estimates,2003,14.1220944504239
928,estimates,2004,14.436541475481
928,estimates,2005,14.7587548858551
928,estimates,2006,15.0893747993731
928,estimates,2007,15.4271870692422
928,estimates,2008,15.7699541154478
928,estimates,2009,16.1145282199437
928,estimates,2010,16.458562284031
928,estimates,2011,16.8012575766159
928,estimates,2012,17.1431050435242
928,estimates,2013,17.4846088483544
928,estimates,2014,17.8267735417965
928,constant-fertility,2015,18.1703336543364
928,constant-mortality,2015,18.1703336543364
928,estimates,2015,18.1703336543364
928,high variant,2015,18.1703336543364
928,instant-replacement,2015,18.1703336543364
928,low variant,2015,18.1703336543364
928,medium variant,2015,18.1703336543364
928,no change,2015,18.1703336543364
928,zero-migration,2015,18.1703336543364
928,constant-fertility,2016,18.5331992673578
928,constant-mortality,2016,18.5110292868068
928,high variant,2016,18.5349251307615
928,instant-replacement,2016,18.4063350894088
928,low variant,2016,18.4955531637682
928,medium variant,2016,18.5152419796446
928,no change,2016,18.5289544742159
928,zero-migration,2016,18.5243112596537
928,constant-fertility,2017,18.9053683037822
928,constant-mortality,2017,18.8507562453974
928,high variant,2017,18.909271323099
928,instant-replacement,2017,18.5982477010518
928,low variant,2017,18.8130100643894
928,medium variant,2017,18.8611378613645
928,no change,2017,18.8948828338904
928,zero-migration,2017,18.8831039105723
928,constant-fertility,2018,19.2865915141902
928,constant-mortality,2018,19.1896769198814
928,high variant,2018,19.2924450990389
928,instant-replacement,2018,18.7615891538737
928,low variant,2018,19.1238184255745
928,medium variant,2018,19.2081308181801
928,no change,2018,19.2679072490039
928,zero-migration,2018,19.2457127211617
928,constant-fertility,2019,19.6760852735135
928,constant-mortality,2019,19.5280669952227
928,high variant,2019,19.6827980135577
928,instant-replacement,2019,18.9189901622009
928,low variant,2019,19.4298532827282
928,medium variant,2019,19.5563228157631
928,no change,2019,19.6474083725146
928,zero-migration,2019,19.6106119828547
928,constant-fertility,2020,20.0733114295965
928,constant-mortality,2020,19.8661058554731
928,high variant,2020,20.0790498310013
928,instant-replacement,2020,19.0872391850299
928,low variant,2020,19.7325006136823
928,medium variant,2020,19.9057742782152
928,no change,2020,20.0329443531789
928,zero-migration,2020,19.9766574142261
928,constant-fertility,2021,20.4784418134784
928,constant-mortality,2021,20.2037255235182
928,high variant,2021,20.4808871013426
928,instant-replacement,2021,19.2713344285202
928,low variant,2021,20.0320795332238
928,medium variant,2021,20.25648142903
928,no change,2021,20.4246001623898
928,zero-migration,2021,20.3434921354255
928,constant-fertility,2022,20.8918975056176
928,constant-mortality,2022,20.5407428387998
928,high variant,2022,20.8886025038237
928,instant-replacement,2022,19.4675749164448
928,low variant,2022,20.3281519666157
928,medium variant,2022,20.6083630733209
928,no change,2022,20.8226684793897
928,zero-migration,2022,20.7113144130365
928,constant-fertility,2023,21.3136482939633
928,constant-mortality,2023,20.877040729621
928,high variant,2023,21.3022243622425
928,instant-replacement,2023,19.6735720085349
928,low variant,2023,20.6204894352235
928,medium variant,2023,20.9613342396949
928,no change,2023,21.2270756623048
928,zero-migration,2023,21.0801601238694
928,constant-fertility,2024,21.7435846598312
928,constant-mortality,2024,21.2124813534999
928,high variant,2024,21.7218829660681
928,instant-replacement,2024,19.8840291546291
928,low variant,2024,20.9086576408165
928,medium variant,2024,21.3152514209105
928,no change,2024,21.6377121924508
928,zero-migration,2024,21.4502105402292
928,constant-fertility,2025,22.1816348496006
928,constant-mortality,2025,21.5469042089163
928,high variant,2025,22.147519779452
928,instant-replacement,2025,20.0950716592081
928,low variant,2025,21.1924299930135
928,medium variant,2025,21.6699711097264
928,no change,2025,22.0544609981306
928,zero-migration,2025,21.8215430804962
928,constant-fertility,2026,22.6278045280311
928,constant-mortality,2026,21.8801733416416
928,high variant,2026,22.5790479427482
928,instant-replacement,2026,20.3069053418682
928,low variant,2026,21.4716573198134
928,medium variant,2026,22.0253667931796
928,no change,2026,22.4772956437999
928,zero-migration,2026,22.1939783606186
928,constant-fertility,2027,23.0820634830718
928,constant-mortality,2027,22.2121131441304
928,high variant,2027,23.0158348911422
928,instant-replacement,2027,20.5215865103193
928,low variant,2027,21.7467267131177
928,medium variant,2027,22.3812987405351
928,no change,2027,22.9061198285466
928,zero-migration,2027,22.5672048188221
928,constant-fertility,2028,23.5442361071773
928,constant-mortality,2028,22.5424554844314
928,high variant,2028,23.4565833947016
928,instant-replacement,2028,20.7389792103325
928,low variant,2028,22.018563416983
928,medium variant,2028,22.7375875677411
928,no change,2028,23.3406673086727
928,zero-migration,2028,22.9410090824978
928,constant-fertility,2029,24.0140882569535
928,constant-mortality,2029,22.8709133480617
928,high variant,2029,23.8996242376178
928,instant-replacement,2029,20.9589607054514
928,low variant,2029,22.2883929077211
928,medium variant,2029,23.0940161256821
928,no change,2029,23.7805887573406
928,zero-migration,2029,23.3151626730112
928,constant-fertility,2030,24.4914556543741
928,constant-mortality,2030,23.1972016087917
928,high variant,2030,24.343711172794
928,instant-replacement,2030,21.1812345399271
928,low variant,2030,22.5570479049831
928,medium variant,2030,23.4503710417493
928,no change,2030,24.2256349251308
928,zero-migration,2030,23.6894182291962
928,constant-fertility,2031,24.9763609584773
928,constant-mortality,2031,23.5210936762401
928,high variant,2031,24.7882815007836
928,instant-replacement,2031,21.4054740459601
928,low variant,2031,22.8247757699352
928,medium variant,2031,23.8064710436375
928,no change,2031,24.6757472761948
928,zero-migration,2031,24.063586925735
928,constant-fertility,2032,25.4688608168583
928,constant-mortality,2032,23.8423705130384
928,high variant,2032,25.2333862044223
928,instant-replacement,2032,21.63091825752
928,low variant,2032,23.0911516456126
928,medium variant,2032,24.1621027587379
928,no change,2032,25.1309465813176
928,zero-migration,2032,24.4374365074869
928,constant-fertility,2033,25.9688778111369
928,constant-mortality,2033,24.1607262221719
928,high variant,2033,25.679206556015
928,instant-replacement,2033,21.8562642799146
928,low variant,2033,23.355478766593
928,medium variant,2033,24.5169489605166
928,no change,2033,25.5911308748277
928,zero-migration,2033,24.8106384183991
928,constant-fertility,2034,26.4763005343757
928,constant-mortality,2034,24.4758416888536
928,high variant,2034,26.1261806302989
928,instant-replacement,2034,22.0799014331842
928,low variant,2034,23.6167242583886
928,medium variant,2034,24.8706527691233
928,no change,2034,26.0561868615344
928,zero-migration,2034,25.1828282256085
928,constant-fertility,2035,26.991134651334
928,constant-mortality,2035,24.787411016069
928,high variant,2035,26.5746445363394
928,instant-replacement,2035,22.3004701750411
928,low variant,2035,23.8740289658037
928,medium variant,2035,25.22290639929
928,no change,2035,26.5261032119187
928,zero-migration,2035,25.5536868143281
928,constant-fertility,2036,27.5134594686456
928,constant-mortality,2036,25.0952208312091
928,high variant,2036,27.0245454030476
928,instant-replacement,2036,22.5173322759116
928,low variant,2036,24.1270945448366
928,medium variant,2036,25.5734927019015
928,no change,2036,27.0009044732718
928,zero-migration,2036,25.9229857059235
928,constant-fertility,2037,28.0435280122359
928,constant-mortality,2037,25.3990520969051
928,high variant,2037,27.4757397231821
928,instant-replacement,2037,22.7300364432863
928,low variant,2037,24.375792594271
928,medium variant,2037,25.9222228516399
928,no change,2037,27.4807605883797
928,zero-migration,2037,26.2905247455579
928,constant-fertility,2038,28.5817311505127
928,constant-mortality,2038,25.6986140221681
928,high variant,2038,27.928389886516
928,instant-replacement,2038,22.9376668743745
928,low variant,2038,24.6195962914708
928,medium variant,2038,26.2688419343266
928,no change,2038,27.9659585717253
928,zero-migration,2038,26.6560509073057
928,constant-fertility,2039,29.1285843765932
928,constant-mortality,2039,25.9936025982364
928,high variant,2039,28.3827130421647
928,instant-replacement,2039,23.1392681130686
928,low variant,2039,24.8579486017485
928,medium variant,2039,26.6130969240356
928,no change,2039,28.4568949564758
928,zero-migration,2039,27.0193073887347
928,constant-fertility,2040,29.6845522007591
928,constant-mortality,2040,26.2837610226779
928,high variant,2040,28.8388942389396
928,instant-replacement,2040,23.3341150701486
928,low variant,2040,25.0903680205442
928,medium variant,2040,26.9547725599048
928,no change,2040,28.9539322872411
928,zero-migration,2040,27.3800675994637
928,constant-fertility,2041,30.2499612908099
928,constant-mortality,2041,26.5688853641496
928,high variant,2041,29.2970052304613
928,instant-replacement,2041,23.521711135029
928,low variant,2041,25.3165184387923
928,medium variant,2041,27.2936781283634
928,no change,2041,29.457302819162
928,zero-migration,2041,27.7381351611624
928,constant-fertility,2042,30.8250835552031
928,constant-mortality,2042,26.8488547744482
928,high variant,2042,29.7570913348062
928,instant-replacement,2042,23.7019222417342
928,low variant,2042,25.5361789308711
928,medium variant,2042,27.6296833399422
928,no change,2042,29.9672161483412
928,zero-migration,2042,28.0933703430956
928,constant-fertility,2043,31.4103155271059
928,constant-mortality,2043,27.1235842821806
928,high variant,2043,30.2193224947601
928,instant-replacement,2043,23.8748446911762
928,low variant,2043,25.7490757000699
928,medium variant,2043,27.9626881172228
928,no change,2043,30.4839989425782
928,zero-migration,2043,28.4456995033894
928,constant-fertility,2044,32.0060745104704
928,constant-mortality,2044,27.393022904511
928,high variant,2044,30.6838875356408
928,instant-replacement,2044,24.0408183689269
928,low variant,2044,25.9550218093242
928,medium variant,2044,28.2926452538756
928,no change,2044,31.0080156347363
928,zero-migration,2044,28.7950792122208
928,constant-fertility,2045,32.6127570384637
928,constant-mortality,2045,27.6571385411356
928,high variant,2045,31.1509242999301
928,instant-replacement,2045,24.2001359542287
928,low variant,2045,26.153835986329
928,medium variant,2045,28.619481108027
928,no change,2045,31.5396042221341
928,zero-migration,2045,29.1414641515134
928,constant-fertility,2046,33.2307313204554
928,constant-mortality,2046,27.9158197851168
928,high variant,2046,31.6204743291981
928,instant-replacement,2046,24.3528389886516
928,low variant,2046,26.3453407352858
928,medium variant,2046,28.9430956022583
928,no change,2046,32.0790328367227
928,zero-migration,2046,29.4847485790895
928,constant-fertility,2047,33.8603750070809
928,constant-mortality,2047,28.1689684472894
928,high variant,2047,32.0925451764573
928,instant-replacement,2047,24.4989727902717
928,low variant,2047,26.5294133197379
928,medium variant,2047,29.2633924356578
928,no change,2047,32.6265884929851
928,zero-migration,2047,29.8248173115051
928,constant-fertility,2048,34.5021469438622
928,constant-mortality,2048,28.4165562038558
928,high variant,2048,32.5671255121887
928,instant-replacement,2048,24.638909344965
928,low variant,2048,26.7060140863687
928,medium variant,2048,29.5803432844276
928,no change,2048,33.1826356237844
928,zero-migration,2048,30.1615778243547
928,constant-fertility,2049,35.1565324118658
928,constant-mortality,2049,28.6585717252969
928,high variant,2049,33.044211559886
928,instant-replacement,2049,24.7731263807851
928,low variant,2049,26.8751638059631
928,medium variant,2049,29.8939349307955
928,no change,2049,33.7475632092751
928,zero-migration,2049,30.4949621405238
928,constant-fertility,2050,35.8239770388414
928,constant-mortality,2050,28.8950036820937
928,high variant,2050,33.5237561132197
928,instant-replacement,2050,24.9020638607224
928,low variant,2050,27.0368775845465
928,medium variant,2050,30.2041333862044
928,no change,2050,34.3217300175608
928,zero-migration,2050,30.8248871768727
928,constant-fertility,2051,36.5048792462093
928,constant-mortality,2051,29.1257708793595
928,high variant,2051,34.0057044128477
928,instant-replacement,2051,25.0259521516645
928,low variant,2051,27.19110255103
928,medium variant,2051,30.5108650087804
928,no change,2051,34.9054155101116
928,zero-migration,2051,31.1512453029702
928,constant-fertility,2052,37.199573254782
928,constant-mortality,2052,29.3508091164863
928,high variant,2052,34.4899582696048
928,instant-replacement,2052,25.1450480560434
928,low variant,2052,27.3378066051096
928,medium variant,2052,30.8140637096622
928,no change,2052,35.4988462773089
928,zero-migration,2052,31.4739742064616
928,constant-fertility,2053,37.9083592968145
928,constant-mortality,2053,29.5701013991956
928,high variant,2053,34.976400611794
928,instant-replacement,2053,25.2598670669763
928,low variant,2053,27.4771200362545
928,medium variant,2053,31.1137162710776
928,no change,2053,36.1022054797107
928,zero-migration,2053,31.7930568930682
928,constant-fertility,2054,38.6315394928152
928,constant-mortality,2054,29.7836666100191
928,high variant,2054,35.4648709378954
928,instant-replacement,2054,25.3709945429483
928,low variant,2054,27.6092108989973
928,medium variant,2054,31.4098529050775
928,no change,2054,36.7156536188372
928,zero-migration,2054,32.1085386808663
928,constant-fertility,2055,39.3693933042542
928,constant-mortality,2055,29.9914726486527
928,high variant,2055,35.9552068581355
928,instant-replacement,2055,25.4789195415321
928,low variant,2055,27.7342075945543
928,medium variant,2055,31.7024547291301
928,no change,2055,37.3393625257275
928,zero-migration,2055,32.4203950225646
928,constant-fertility,2056,40.1222813874884
928,constant-mortality,2056,30.1934836382862
928,high variant,2056,36.4472894125644
928,instant-replacement,2056,25.5838932004003
928,low variant,2056,27.8521478879888
928,medium variant,2056,31.9914688721464
928,no change,2056,37.9735493494968
928,zero-migration,2056,32.7285692705678
928,constant-fertility,2057,40.8905530693555
928,constant-mortality,2057,30.3895900602353
928,high variant,2057,36.9409411053834
928,instant-replacement,2057,25.6860628033007
928,low variant,2057,27.9630091202628
928,medium variant,2057,32.2767763741763
928,no change,2057,38.6184387922733
928,zero-migration,2057,33.0329235823939
928,constant-fertility,2058,41.6744991408448
928,constant-mortality,2058,30.5796295247267
928,high variant,2058,37.4358390452992
928,instant-replacement,2058,25.7856813761589
928,low variant,2058,28.0667818501105
928,medium variant,2058,32.5582129571933
928,no change,2058,39.2741781378047
928,zero-migration,2058,33.333276685738
928,constant-fertility,2059,42.4744066164391
928,constant-mortality,2059,30.7633867708982
928,high variant,2059,37.9315999169169
928,instant-replacement,2059,25.8829660680904
928,low variant,2059,28.1634509715063
928,medium variant,2059,32.835559583829
928,no change,2059,39.9408825695349
928,zero-migration,2059,33.6294019902189
928,constant-fertility,2060,43.2905719518873
928,constant-mortality,2060,30.9406918559641
928,high variant,2060,38.4278913876773
928,instant-replacement,2060,25.9780622745898
928,low variant,2060,28.2529938254121
928,medium variant,2060,33.1086500878038
928,no change,2060,40.6187088124776
928,zero-migration,2060,33.9211106705187
928,constant-fertility,2061,44.1233558035461
928,constant-mortality,2061,31.1114409259994
928,high variant,2061,38.9245227440095
928,instant-replacement,2061,26.0710965086199
928,low variant,2061,28.3354028588153
928,medium variant,2061,33.3773541796484
928,no change,2061,41.3078589097226
928,zero-migration,2061,34.2082667724088
928,constant-fertility,2062,44.973135822051
928,constant-mortality,2062,31.275579221662
928,high variant,2062,39.421380690723
928,instant-replacement,2062,26.1620668819275
928,low variant,2062,28.4106875129817
928,medium variant,2062,33.6415849997168
928,no change,2062,42.0085594516513
928,zero-migration,2062,34.4907758832304
928,constant-fertility,2063,45.8402405634547
928,constant-mortality,2063,31.433031212825
928,high variant,2063,39.9182990615382
928,instant-replacement,2063,26.2507902339546
928,low variant,2063,28.478844011405
928,medium variant,2063,33.9012330293246
928,no change,2063,42.7210143696067
928,zero-migration,2063,34.7685133782738
928,constant-fertility,2064,46.7250042485696
928,constant-mortality,2064,31.5837459166525
928,high variant,2064,40.4151513434921
928,instant-replacement,2064,26.3369908797372
928,low variant,2064,28.5398836836043
928,medium variant,2064,34.1562076323193
928,no change,2064,43.4454200419192
928,zero-migration,2064,35.0413678506014
928,constant-fertility,2065,47.6277988632716
928,constant-mortality,2065,31.7276572442833
928,high variant,2065,40.9118242413943
928,instant-replacement,2065,26.4204290111218
928,low variant,2065,28.5937970883136
928,medium variant,2065,34.40640117827
928,no change,2065,44.1820068354765
928,zero-migration,2065,35.3092146755037
928,constant-fertility,2066,48.5490398232595
928,constant-mortality,2066,31.864717989388
928,high variant,2066,41.4082082365604
928,instant-replacement,2066,26.5010725278045
928,low variant,2066,28.6406012198116
928,medium variant,2066,34.6517362487962
928,no change,2066,44.9310070054193
928,zero-migration,2066,35.5719783228535
928,constant-fertility,2067,49.4891784210427
928,constant-mortality,2067,31.9948620631054
928,high variant,2067,41.9042089163315
928,instant-replacement,2067,26.5788666704432
928,low variant,2067,28.6802602012878
928,medium variant,2067,34.8920995487075
928,no change,2067,45.6926962367114
928,zero-migration,2067,35.8295322796881
928,constant-fertility,2068,50.4486319605733
928,constant-mortality,2068,32.1179856115108
928,high variant,2068,42.3997110972639
928,instant-replacement,2068,26.6535074302763
928,low variant,2068,28.712664514058
928,medium variant,2068,35.1273324647369
928,no change,2068,46.4673351082913
928,zero-migration,2068,36.0817103797277
928,constant-fertility,2069,51.4278177458034
928,constant-mortality,2069,32.2339734511603
928,high variant,2069,42.8946241432051
928,instant-replacement,2069,26.7246303744406
928,low variant,2069,28.7376461035896
928,medium variant,2069,35.3572329537944
928,no change,2069,47.255201193376
928,zero-migration,2069,36.3283086916294
928,constant-fertility,2070,52.4271946222549
928,constant-mortality,2070,32.3427538284333
928,high variant,2070,43.3888800770407
928,instant-replacement,2070,26.7919598179724
928,low variant,2070,28.755104892464
928,medium variant,2070,35.5816537321324
928,no change,2070,48.0565947242206
928,zero-migration,2070,36.5691799316452
928,constant-fertility,2071,53.4472214354501
928,constant-mortality,2071,32.4442889782662
928,high variant,2071,43.8823693800865
928,instant-replacement,2071,26.8554202307445
928,low variant,2071,28.7650068921241
928,medium variant,2071,35.8004871693197
928,no change,2071,48.8718027153081
928,zero-migration,2071,36.804203251572
928,constant-fertility,2072,54.4884533318227
928,constant-mortality,2072,32.5385921184312
928,high variant,2072,44.3751014936083
928,instant-replacement,2072,26.9150399365547
928,low variant,2072,28.7673936441398
928,medium variant,2072,36.0137087180649
928,no change,2072,49.7011329519062
928,zero-migration,2072,37.0333654336373
928,constant-fertility,2073,55.5515681942635
928,constant-mortality,2073,32.6256934609792
928,high variant,2073,44.8672558016579
928,instant-replacement,2073,26.9708378179346
928,low variant,2073,28.7623482316509
928,medium variant,2073,36.2213976850016
928,no change,2073,50.5449442021186
928,zero-migration,2073,37.2567344549557
928,constant-fertility,2074,56.6373345418154
928,constant-mortality,2074,32.7056458769992
928,high variant,2074,45.3590928831738
928,instant-replacement,2074,27.0228591929606
928,low variant,2074,28.7499915028607
928,medium variant,2074,36.423674918333
928,no change,2074,51.4036046753149
928,zero-migration,2074,37.4744292754773
928,constant-fertility,2075,57.7464661341793
928,constant-mortality,2075,32.7785211201118
928,high variant,2075,45.8507921222077
928,instant-replacement,2075,27.0712022507978
928,low variant,2075,28.7304216469344
928,medium variant,2075,36.620623501199
928,no change,2075,52.2774769161049
928,zero-migration,2075,37.6865386431013
928,constant-fertility,2076,58.8795955361695
928,constant-mortality,2076,32.8443475141147
928,high variant,2076,46.3424063898487
928,instant-replacement,2076,27.1159557393455
928,low variant,2076,28.7037406295436
928,medium variant,2076,36.8122849751695
928,no change,2076,53.1668951453011
928,zero-migration,2076,37.8931003228913
928,constant-fertility,2077,60.0372306878906
928,constant-mortality,2077,32.9031722653373
928,high variant,2077,46.8338337204252
928,instant-replacement,2077,27.1572518363262
928,low variant,2077,28.6699786627391
928,medium variant,2077,36.9985838101173
928,no change,2077,54.0721916954625
928,zero-migration,2077,38.0940444494798
928,constant-fertility,2078,61.2198096640798
928,constant-mortality,2078,32.9550614626409
928,high variant,2078,47.3249022828981
928,instant-replacement,2078,27.1952661492853
928,low variant,2078,28.6290923166978
928,medium variant,2078,37.1793821635605
928,no change,2078,54.9937215581865
928,zero-migration,2078,38.2892463981571
928,constant-fertility,2079,62.4277082271191
928,constant-mortality,2079,33.0000981891652
928,high variant,2079,47.8153458335694
928,instant-replacement,2079,27.2302101625786
928,low variant,2079,28.5809947317736
928,medium variant,2079,37.3544912101815
928,no change,2079,55.9318661606148
928,zero-migration,2079,38.4785173436054
928,constant-fertility,2080,63.6613738930116
928,constant-mortality,2080,33.0383579750373
928,high variant,2080,48.3049831001341
928,instant-replacement,2080,27.262338790385
928,low variant,2080,28.5256745784475
928,medium variant,2080,37.5237749957514
928,no change,2080,56.886984270851
928,zero-migration,2080,38.6617364376216
928,constant-fertility,2081,64.9213825789762
928,constant-mortality,2081,33.0699257916501
928,high variant,2081,48.7937366642119
928,instant-replacement,2081,27.2918257519968
928,low variant,2081,28.4632206046187
