continent,variant,freq,year,populationgrowthrate
904,estimates,5yearly,1950,2.695
904,estimates,5yearly,1955,2.705
904,estimates,5yearly,1960,2.756
904,estimates,5yearly,1965,2.557
904,estimates,5yearly,1970,2.433
904,estimates,5yearly,1975,2.273
904,estimates,5yearly,1980,2.123
904,estimates,5yearly,1985,1.924
904,estimates,5yearly,1990,1.732
904,estimates,5yearly,1995,1.561
904,estimates,5yearly,2000,1.355
904,estimates,5yearly,2005,1.238
904,estimates,5yearly,2010,1.12
904,constant_fertility,5yearly,2015,1.076
904,constant_mortality,5yearly,2015,0.945
904,high_variant,5yearly,2015,1.179
904,instant_replacement,5yearly,2015,1.032
904,low_variant,5yearly,2015,0.795
904,medium_variant,5yearly,2015,0.988
904,no_change,5yearly,2015,1.033
904,zero_migration,5yearly,2015,1.048
904,constant_fertility,5yearly,2020,1.007
904,constant_mortality,5yearly,2020,0.774
904,high_variant,5yearly,2020,1.14
904,instant_replacement,5yearly,2020,0.955
904,low_variant,5yearly,2020,0.559
904,medium_variant,5yearly,2020,0.854
904,no_change,5yearly,2020,0.927
904,zero_migration,5yearly,2020,0.91
904,constant_fertility,5yearly,2025,0.913
904,constant_mortality,5yearly,2025,0.604
904,high_variant,5yearly,2025,1.051
904,instant_replacement,5yearly,2025,0.855
904,low_variant,5yearly,2025,0.365
904,medium_variant,5yearly,2025,0.72
904,no_change,5yearly,2025,0.799
904,zero_migration,5yearly,2025,0.773
904,constant_fertility,5yearly,2030,0.816
904,constant_mortality,5yearly,2030,0.442
904,high_variant,5yearly,2030,0.911
904,instant_replacement,5yearly,2030,0.75
904,low_variant,5yearly,2030,0.247
904,medium_variant,5yearly,2030,0.592
904,no_change,5yearly,2030,0.669
904,zero_migration,5yearly,2030,0.644
904,constant_fertility,5yearly,2035,0.731
904,constant_mortality,5yearly,2035,0.287
904,high_variant,5yearly,2035,0.808
904,instant_replacement,5yearly,2035,0.65
904,low_variant,5yearly,2035,0.113
904,medium_variant,5yearly,2035,0.472
904,no_change,5yearly,2035,0.552
904,zero_migration,5yearly,2035,0.522
