variant,continent,year,populationgrowthrate
estimates,935,1950,2.118
estimates,935,1951,2.035
estimates,935,1952,1.903
estimates,935,1953,1.835
estimates,935,1954,1.812
estimates,935,1955,1.822
estimates,935,1956,1.851
estimates,935,1957,1.887
estimates,935,1958,1.921
estimates,935,1959,1.951
estimates,935,1960,1.978
estimates,935,1961,2.01
estimates,935,1962,2.06
estimates,935,1963,2.136
estimates,935,1964,2.231
estimates,935,1965,2.333
estimates,935,1966,2.425
estimates,935,1967,2.486
estimates,935,1968,2.502
estimates,935,1969,2.478
estimates,935,1970,2.433
estimates,935,1971,2.386
estimates,935,1972,2.335
estimates,935,1973,2.269
estimates,935,1974,2.194
estimates,935,1975,2.114
estimates,935,1976,2.037
estimates,935,1977,1.976
estimates,935,1978,1.944
estimates,935,1979,1.938
estimates,935,1980,1.943
estimates,935,1981,1.946
estimates,935,1982,1.952
estimates,935,1983,1.97
estimates,935,1984,1.996
estimates,935,1985,2.026
estimates,935,1986,2.051
estimates,935,1987,2.052
estimates,935,1988,2.013
estimates,935,1989,1.936
estimates,935,1990,1.842
estimates,935,1991,1.749
estimates,935,1992,1.664
estimates,935,1993,1.587
estimates,935,1994,1.521
estimates,935,1995,1.46
estimates,935,1996,1.399
estimates,935,1997,1.345
estimates,935,1998,1.304
estimates,935,1999,1.274
estimates,935,2000,1.252
estimates,935,2001,1.232
estimates,935,2002,1.213
estimates,935,2003,1.193
estimates,935,2004,1.172
estimates,935,2005,1.151
estimates,935,2006,1.132
estimates,935,2007,1.115
estimates,935,2008,1.101
estimates,935,2009,1.091
estimates,935,2010,1.081
estimates,935,2011,1.071
estimates,935,2012,1.058
estimates,935,2013,1.038
estimates,935,2014,1.014
estimates,935,2015,0.986
medium_variant,935,2015,0.986
medium_variant,935,2016,0.958
medium_variant,935,2017,0.929
medium_variant,935,2018,0.899
medium_variant,935,2019,0.866
medium_variant,935,2020,0.833
medium_variant,935,2021,0.799
medium_variant,935,2022,0.767
medium_variant,935,2023,0.736
medium_variant,935,2024,0.706
medium_variant,935,2025,0.678
medium_variant,935,2026,0.65
medium_variant,935,2027,0.623
medium_variant,935,2028,0.597
medium_variant,935,2029,0.573
medium_variant,935,2030,0.549
medium_variant,935,2031,0.526
medium_variant,935,2032,0.503
medium_variant,935,2033,0.481
medium_variant,935,2034,0.459
medium_variant,935,2035,0.438
medium_variant,935,2036,0.417
medium_variant,935,2037,0.396
medium_variant,935,2038,0.376
medium_variant,935,2039,0.356
medium_variant,935,2040,0.336
medium_variant,935,2041,0.316
medium_variant,935,2042,0.297
medium_variant,935,2043,0.277
medium_variant,935,2044,0.256
medium_variant,935,2045,0.236
medium_variant,935,2046,0.216
medium_variant,935,2047,0.196
medium_variant,935,2048,0.176
medium_variant,935,2049,0.157
medium_variant,935,2050,0.137
medium_variant,935,2051,0.118
medium_variant,935,2052,0.099
medium_variant,935,2053,0.08
medium_variant,935,2054,0.061
medium_variant,935,2055,0.042
medium_variant,935,2056,0.023
medium_variant,935,2057,0.006
medium_variant,935,2058,-0.011
medium_variant,935,2059,-0.026
medium_variant,935,2060,-0.041
medium_variant,935,2061,-0.055
medium_variant,935,2062,-0.068
medium_variant,935,2063,-0.08
medium_variant,935,2064,-0.091
medium_variant,935,2065,-0.101
medium_variant,935,2066,-0.111
medium_variant,935,2067,-0.12
medium_variant,935,2068,-0.129
medium_variant,935,2069,-0.138
medium_variant,935,2070,-0.147
medium_variant,935,2071,-0.156
medium_variant,935,2072,-0.164
medium_variant,935,2073,-0.172
medium_variant,935,2074,-0.18
medium_variant,935,2075,-0.188
medium_variant,935,2076,-0.196
medium_variant,935,2077,-0.203
medium_variant,935,2078,-0.21
medium_variant,935,2079,-0.216
medium_variant,935,2080,-0.223
medium_variant,935,2081,-0.229
medium_variant,935,2082,-0.234
medium_variant,935,2083,-0.239
medium_variant,935,2084,-0.242
medium_variant,935,2085,-0.245
medium_variant,935,2086,-0.247
medium_variant,935,2087,-0.25
medium_variant,935,2088,-0.251
medium_variant,935,2089,-0.252
medium_variant,935,2090,-0.253
medium_variant,935,2091,-0.254
medium_variant,935,2092,-0.254
medium_variant,935,2093,-0.255
medium_variant,935,2094,-0.257
medium_variant,935,2095,-0.259
medium_variant,935,2096,-0.261
medium_variant,935,2097,-0.263
medium_variant,935,2098,-0.266
medium_variant,935,2099,-0.27
