global,variant,freq,year,populationgrowthrate
900,estimates,5yearly,1950,1.779
900,estimates,5yearly,1955,1.799
900,estimates,5yearly,1960,1.925
900,estimates,5yearly,1965,2.053
900,estimates,5yearly,1970,1.948
900,estimates,5yearly,1975,1.778
900,estimates,5yearly,1980,1.782
900,estimates,5yearly,1985,1.793
900,estimates,5yearly,1990,1.519
900,estimates,5yearly,1995,1.324
900,estimates,5yearly,2000,1.253
900,estimates,5yearly,2005,1.233
900,estimates,5yearly,2010,1.185
900,constant_fertility,5yearly,2015,1.169
900,constant_mortality,5yearly,2015,1.031
900,high_variant,5yearly,2015,1.265
900,instant_replacement,5yearly,2015,0.91
900,low_variant,5yearly,2015,0.908
900,medium_variant,5yearly,2015,1.087
900,momentum,5yearly,2015,0.872
900,no_change,5yearly,2015,1.112
900,zero_migration,5yearly,2015,1.088
900,constant_fertility,5yearly,2020,1.128
900,constant_mortality,5yearly,2020,0.875
900,high_variant,5yearly,2020,1.239
900,instant_replacement,5yearly,2020,0.831
900,low_variant,5yearly,2020,0.706
900,medium_variant,5yearly,2020,0.977
900,momentum,5yearly,2020,0.762
900,no_change,5yearly,2020,1.025
900,zero_migration,5yearly,2020,0.978
900,constant_fertility,5yearly,2025,1.098
900,constant_mortality,5yearly,2025,0.731
900,high_variant,5yearly,2025,1.179
900,instant_replacement,5yearly,2025,0.751
900,low_variant,5yearly,2025,0.55
900,medium_variant,5yearly,2025,0.874
900,momentum,5yearly,2025,0.652
900,no_change,5yearly,2025,0.952
900,zero_migration,5yearly,2025,0.874
900,constant_fertility,5yearly,2030,1.085
900,constant_mortality,5yearly,2030,0.601
900,high_variant,5yearly,2030,1.073
900,instant_replacement,5yearly,2030,0.67
900,low_variant,5yearly,2030,0.468
900,medium_variant,5yearly,2030,0.783
900,momentum,5yearly,2030,0.542
900,no_change,5yearly,2030,0.898
900,zero_migration,5yearly,2030,0.783
900,constant_fertility,5yearly,2035,1.093
900,constant_mortality,5yearly,2035,0.482
900,high_variant,5yearly,2035,1.005
900,instant_replacement,5yearly,2035,0.578
900,low_variant,5yearly,2035,0.373
900,medium_variant,5yearly,2035,0.702
900,momentum,5yearly,2035,0.424
900,no_change,5yearly,2035,0.866
900,zero_migration,5yearly,2035,0.701
900,constant_fertility,5yearly,2040,1.124
900,constant_mortality,5yearly,2040,0.373
900,high_variant,5yearly,2040,0.976
900,instant_replacement,5yearly,2040,0.49
900,low_variant,5yearly,2040,0.261
900,medium_variant,5yearly,2040,0.628
900,momentum,5yearly,2040,0.314
900,no_change,5yearly,2040,0.858
900,zero_migration,5yearly,2040,0.627
900,constant_fertility,5yearly,2045,1.171
900,constant_mortality,5yearly,2045,0.27
900,high_variant,5yearly,2045,0.962
900,instant_replacement,5yearly,2045,0.418
900,low_variant,5yearly,2045,0.137
900,medium_variant,5yearly,2045,0.555
900,momentum,5yearly,2045,0.228
900,no_change,5yearly,2045,0.871
900,zero_migration,5yearly,2045,0.554
900,constant_fertility,5yearly,2050,1.236
900,constant_mortality,5yearly,2050,0.172
900,high_variant,5yearly,2050,0.941
900,instant_replacement,5yearly,2050,0.354
900,low_variant,5yearly,2050,0.015
900,medium_variant,5yearly,2050,0.484
900,momentum,5yearly,2050,0.158
900,no_change,5yearly,2050,0.903
900,zero_migration,5yearly,2050,0.482
900,constant_fertility,5yearly,2055,1.319
900,constant_mortality,5yearly,2055,0.082
900,high_variant,5yearly,2055,0.907
900,instant_replacement,5yearly,2055,0.297
900,low_variant,5yearly,2055,-0.092
900,medium_variant,5yearly,2055,0.418
900,momentum,5yearly,2055,0.097
900,no_change,5yearly,2055,0.957
900,zero_migration,5yearly,2055,0.415
900,constant_fertility,5yearly,2060,1.421
900,constant_mortality,5yearly,2060,0.006
900,high_variant,5yearly,2060,0.871
900,instant_replacement,5yearly,2060,0.249
900,low_variant,5yearly,2060,-0.179
900,medium_variant,5yearly,2060,0.363
900,momentum,5yearly,2060,0.048
900,no_change,5yearly,2060,1.031
900,zero_migration,5yearly,2060,0.359
900,constant_fertility,5yearly,2065,1.538
900,constant_mortality,5yearly,2065,-0.058
900,high_variant,5yearly,2065,0.845
900,instant_replacement,5yearly,2065,0.208
900,low_variant,5yearly,2065,-0.259
900,medium_variant,5yearly,2065,0.316
900,momentum,5yearly,2065,0.011
900,no_change,5yearly,2065,1.121
900,zero_migration,5yearly,2065,0.312
900,constant_fertility,5yearly,2070,1.665
900,constant_mortality,5yearly,2070,-0.113
900,high_variant,5yearly,2070,0.833
900,instant_replacement,5yearly,2070,0.176
900,low_variant,5yearly,2070,-0.341
900,medium_variant,5yearly,2070,0.274
900,momentum,5yearly,2070,-0.009
900,no_change,5yearly,2070,1.223
900,zero_migration,5yearly,2070,0.27
900,constant_fertility,5yearly,2075,1.8
900,constant_mortality,5yearly,2075,-0.161
900,high_variant,5yearly,2075,0.828
900,instant_replacement,5yearly,2075,0.155
900,low_variant,5yearly,2075,-0.426
900,medium_variant,5yearly,2075,0.235
900,momentum,5yearly,2075,-0.015
900,no_change,5yearly,2075,1.334
900,zero_migration,5yearly,2075,0.231
900,constant_fertility,5yearly,2080,1.939
900,constant_mortality,5yearly,2080,-0.208
900,high_variant,5yearly,2080,0.822
900,instant_replacement,5yearly,2080,0.145
900,low_variant,5yearly,2080,-0.505
900,medium_variant,5yearly,2080,0.2
900,momentum,5yearly,2080,-0.012
900,no_change,5yearly,2080,1.446
900,zero_migration,5yearly,2080,0.197
900,constant_fertility,5yearly,2085,2.08
900,constant_mortality,5yearly,2085,-0.258
900,high_variant,5yearly,2085,0.81
900,instant_replacement,5yearly,2085,0.142
900,low_variant,5yearly,2085,-0.576
900,medium_variant,5yearly,2085,0.168
900,momentum,5yearly,2085,-0.01
900,no_change,5yearly,2085,1.556
900,zero_migration,5yearly,2085,0.166
900,constant_fertility,5yearly,2090,2.217
900,constant_mortality,5yearly,2090,-0.308
900,high_variant,5yearly,2090,0.79
900,instant_replacement,5yearly,2090,0.143
900,low_variant,5yearly,2090,-0.638
900,medium_variant,5yearly,2090,0.137
900,momentum,5yearly,2090,-0.011
900,no_change,5yearly,2090,1.661
900,zero_migration,5yearly,2090,0.135
900,constant_fertility,5yearly,2095,2.347
900,constant_mortality,5yearly,2095,-0.351
