variant,global,year,populationgrowthrate
Estimates,900,1950,1.833
Estimates,900,1951,1.804
Estimates,900,1952,1.76
Estimates,900,1953,1.741
Estimates,900,1954,1.739
Estimates,900,1955,1.75
Estimates,900,1956,1.769
Estimates,900,1957,1.791
Estimates,900,1958,1.814
Estimates,900,1959,1.834
Estimates,900,1960,1.853
Estimates,900,1961,1.873
Estimates,900,1962,1.898
Estimates,900,1963,1.932
Estimates,900,1964,1.971
Estimates,900,1965,2.011
Estimates,900,1966,2.047
Estimates,900,1967,2.069
Estimates,900,1968,2.073
Estimates,900,1969,2.058
Estimates,900,1970,2.035
Estimates,900,1971,2.011
Estimates,900,1972,1.983
Estimates,900,1973,1.946
Estimates,900,1974,1.903
Estimates,900,1975,1.857
Estimates,900,1976,1.812
Estimates,900,1977,1.778
Estimates,900,1978,1.76
Estimates,900,1979,1.758
Estimates,900,1980,1.761
Estimates,900,1981,1.763
Estimates,900,1982,1.768
Estimates,900,1983,1.78
Estimates,900,1984,1.797
Estimates,900,1985,1.817
Estimates,900,1986,1.834
Estimates,900,1987,1.833
Estimates,900,1988,1.806
Estimates,900,1989,1.754
Estimates,900,1990,1.689
Estimates,900,1991,1.625
Estimates,900,1992,1.566
Estimates,900,1993,1.51
Estimates,900,1994,1.46
Estimates,900,1995,1.413
Estimates,900,1996,1.368
Estimates,900,1997,1.328
Estimates,900,1998,1.298
Estimates,900,1999,1.279
Estimates,900,2000,1.266
Estimates,900,2001,1.255
Estimates,900,2002,1.245
Estimates,900,2003,1.238
Estimates,900,2004,1.233
Estimates,900,2005,1.23
Estimates,900,2006,1.227
Estimates,900,2007,1.224
Estimates,900,2008,1.219
Estimates,900,2009,1.212
Estimates,900,2010,1.205
Estimates,900,2011,1.196
Estimates,900,2012,1.186
Estimates,900,2013,1.172
Estimates,900,2014,1.155
Estimates,900,2015,1.135
Medium_variant,900,2015,1.135
Medium_variant,900,2016,1.116
Medium_variant,900,2017,1.095
Medium_variant,900,2018,1.072
Medium_variant,900,2019,1.048
Medium_variant,900,2020,1.024
Medium_variant,900,2021,0.999
Medium_variant,900,2022,0.975
Medium_variant,900,2023,0.953
Medium_variant,900,2024,0.931
Medium_variant,900,2025,0.911
Medium_variant,900,2026,0.891
Medium_variant,900,2027,0.872
Medium_variant,900,2028,0.853
Medium_variant,900,2029,0.836
Medium_variant,900,2030,0.819
Medium_variant,900,2031,0.803
Medium_variant,900,2032,0.787
Medium_variant,900,2033,0.772
Medium_variant,900,2034,0.757
Medium_variant,900,2035,0.743
Medium_variant,900,2036,0.729
Medium_variant,900,2037,0.715
Medium_variant,900,2038,0.701
Medium_variant,900,2039,0.687
Medium_variant,900,2040,0.673
Medium_variant,900,2041,0.659
Medium_variant,900,2042,0.645
Medium_variant,900,2043,0.631
Medium_variant,900,2044,0.616
Medium_variant,900,2045,0.602
Medium_variant,900,2046,0.587
Medium_variant,900,2047,0.573
Medium_variant,900,2048,0.559
Medium_variant,900,2049,0.544
Medium_variant,900,2050,0.53
Medium_variant,900,2051,0.516
Medium_variant,900,2052,0.502
Medium_variant,900,2053,0.488
Medium_variant,900,2054,0.474
Medium_variant,900,2055,0.46
Medium_variant,900,2056,0.446
Medium_variant,900,2057,0.433
Medium_variant,900,2058,0.421
Medium_variant,900,2059,0.409
Medium_variant,900,2060,0.398
Medium_variant,900,2061,0.387
Medium_variant,900,2062,0.377
Medium_variant,900,2063,0.367
Medium_variant,900,2064,0.358
Medium_variant,900,2065,0.35
Medium_variant,900,2066,0.342
Medium_variant,900,2067,0.333
Medium_variant,900,2068,0.325
Medium_variant,900,2069,0.317
Medium_variant,900,2070,0.309
Medium_variant,900,2071,0.301
Medium_variant,900,2072,0.293
Medium_variant,900,2073,0.285
Medium_variant,900,2074,0.277
Medium_variant,900,2075,0.27
Medium_variant,900,2076,0.262
Medium_variant,900,2077,0.254
Medium_variant,900,2078,0.247
Medium_variant,900,2079,0.239
Medium_variant,900,2080,0.232
Medium_variant,900,2081,0.225
Medium_variant,900,2082,0.218
Medium_variant,900,2083,0.211
Medium_variant,900,2084,0.205
Medium_variant,900,2085,0.199
Medium_variant,900,2086,0.193
Medium_variant,900,2087,0.188
Medium_variant,900,2088,0.182
Medium_variant,900,2089,0.177
Medium_variant,900,2090,0.171
Medium_variant,900,2091,0.166
Medium_variant,900,2092,0.16
Medium_variant,900,2093,0.154
Medium_variant,900,2094,0.149
Medium_variant,900,2095,0.143
Medium_variant,900,2096,0.137
Medium_variant,900,2097,0.13
Medium_variant,900,2098,0.124
Medium_variant,900,2099,0.117
