variant,region,year,populationgrowthrate
Estimates,924,1950,0.275
Estimates,924,1951,0.309
Estimates,924,1952,0.368
Estimates,924,1953,0.412
Estimates,924,1954,0.445
Estimates,924,1955,0.473
Estimates,924,1956,0.501
Estimates,924,1957,0.534
Estimates,924,1958,0.575
Estimates,924,1959,0.625
Estimates,924,1960,0.677
Estimates,924,1961,0.724
Estimates,924,1962,0.752
Estimates,924,1963,0.753
Estimates,924,1964,0.726
Estimates,924,1965,0.683
Estimates,924,1966,0.637
Estimates,924,1967,0.592
Estimates,924,1968,0.549
Estimates,924,1969,0.511
Estimates,924,1970,0.475
Estimates,924,1971,0.437
Estimates,924,1972,0.397
Estimates,924,1973,0.355
Estimates,924,1974,0.312
Estimates,924,1975,0.27
Estimates,924,1976,0.231
Estimates,924,1977,0.199
Estimates,924,1978,0.177
Estimates,924,1979,0.166
Estimates,924,1980,0.16
Estimates,924,1981,0.157
Estimates,924,1982,0.161
Estimates,924,1983,0.179
Estimates,924,1984,0.21
Estimates,924,1985,0.249
Estimates,924,1986,0.29
Estimates,924,1987,0.319
Estimates,924,1988,0.326
Estimates,924,1989,0.31
Estimates,924,1990,0.283
Estimates,924,1991,0.257
Estimates,924,1992,0.238
Estimates,924,1993,0.228
Estimates,924,1994,0.229
Estimates,924,1995,0.237
Estimates,924,1996,0.247
Estimates,924,1997,0.258
Estimates,924,1998,0.27
Estimates,924,1999,0.284
Estimates,924,2000,0.297
Estimates,924,2001,0.31
Estimates,924,2002,0.338
Estimates,924,2003,0.394
Estimates,924,2004,0.477
Estimates,924,2005,0.575
Estimates,924,2006,0.671
Estimates,924,2007,0.736
Estimates,924,2008,0.748
Estimates,924,2009,0.708
Estimates,924,2010,0.64
Estimates,924,2011,0.57
Estimates,924,2012,0.519
Estimates,924,2013,0.497
Estimates,924,2014,0.505
Estimates,924,2015,0.527
Medium_variant,924,2015,0.527
Medium_variant,924,2016,0.546
Medium_variant,924,2017,0.557
Medium_variant,924,2018,0.557
Medium_variant,924,2019,0.547
Medium_variant,924,2020,0.531
Medium_variant,924,2021,0.516
Medium_variant,924,2022,0.502
Medium_variant,924,2023,0.487
Medium_variant,924,2024,0.472
Medium_variant,924,2025,0.457
Medium_variant,924,2026,0.442
Medium_variant,924,2027,0.426
Medium_variant,924,2028,0.412
Medium_variant,924,2029,0.398
Medium_variant,924,2030,0.384
Medium_variant,924,2031,0.371
Medium_variant,924,2032,0.36
Medium_variant,924,2033,0.351
Medium_variant,924,2034,0.344
Medium_variant,924,2035,0.339
Medium_variant,924,2036,0.334
Medium_variant,924,2037,0.33
Medium_variant,924,2038,0.327
Medium_variant,924,2039,0.325
Medium_variant,924,2040,0.324
Medium_variant,924,2041,0.323
Medium_variant,924,2042,0.321
Medium_variant,924,2043,0.319
Medium_variant,924,2044,0.316
Medium_variant,924,2045,0.313
Medium_variant,924,2046,0.309
Medium_variant,924,2047,0.305
Medium_variant,924,2048,0.299
Medium_variant,924,2049,0.291
Medium_variant,924,2050,0.282
Medium_variant,924,2051,0.273
Medium_variant,924,2052,0.265
Medium_variant,924,2053,0.256
Medium_variant,924,2054,0.247
Medium_variant,924,2055,0.238
Medium_variant,924,2056,0.23
Medium_variant,924,2057,0.222
Medium_variant,924,2058,0.215
Medium_variant,924,2059,0.209
Medium_variant,924,2060,0.204
Medium_variant,924,2061,0.2
Medium_variant,924,2062,0.196
Medium_variant,924,2063,0.194
Medium_variant,924,2064,0.193
Medium_variant,924,2065,0.192
Medium_variant,924,2066,0.193
Medium_variant,924,2067,0.193
Medium_variant,924,2068,0.193
Medium_variant,924,2069,0.194
Medium_variant,924,2070,0.195
Medium_variant,924,2071,0.195
Medium_variant,924,2072,0.195
Medium_variant,924,2073,0.195
Medium_variant,924,2074,0.193
Medium_variant,924,2075,0.19
Medium_variant,924,2076,0.187
Medium_variant,924,2077,0.184
Medium_variant,924,2078,0.181
Medium_variant,924,2079,0.177
Medium_variant,924,2080,0.173
Medium_variant,924,2081,0.169
Medium_variant,924,2082,0.165
Medium_variant,924,2083,0.162
Medium_variant,924,2084,0.158
Medium_variant,924,2085,0.155
Medium_variant,924,2086,0.152
Medium_variant,924,2087,0.148
Medium_variant,924,2088,0.145
Medium_variant,924,2089,0.143
Medium_variant,924,2090,0.14
Medium_variant,924,2091,0.138
Medium_variant,924,2092,0.135
Medium_variant,924,2093,0.132
Medium_variant,924,2094,0.129
Medium_variant,924,2095,0.126
Medium_variant,924,2096,0.123
Medium_variant,924,2097,0.119
Medium_variant,924,2098,0.116
Medium_variant,924,2099,0.112
