variant,continent,year,populationnaturalchange
estimates,935,1950,28744.279
estimates,935,1951,28555.245
estimates,935,1952,28279.406
estimates,935,1953,28208
estimates,935,1954,28341.015
estimates,935,1955,28680.94
estimates,935,1956,29234.723
estimates,935,1957,30004.262
estimates,935,1958,30997.372
estimates,935,1959,32232.263
estimates,935,1960,33721.078
estimates,935,1961,35464.915
estimates,935,1962,37444.876
estimates,935,1963,39607.67
estimates,935,1964,41865.631
estimates,935,1965,44097.674
estimates,935,1966,46176.363
estimates,935,1967,48003.691
estimates,935,1968,49504.337
estimates,935,1969,50631.507
estimates,935,1970,51342.565
estimates,935,1971,51629.466
estimates,935,1972,51586.256
estimates,935,1973,51329.104
estimates,935,1974,50953.031
estimates,935,1975,50578.926
estimates,935,1976,50324.788
estimates,935,1977,50266.691
estimates,935,1978,50460.258
estimates,935,1979,50942.248
estimates,935,1980,51761.458
estimates,935,1981,52940.505
estimates,935,1982,54386.697
estimates,935,1983,55969.497
estimates,935,1984,57565.516
estimates,935,1985,58988.188
estimates,935,1986,60042.645
estimates,935,1987,60618.682
estimates,935,1988,60661.411
estimates,935,1989,60165.06
estimates,935,1990,59177.249
estimates,935,1991,57804.647
estimates,935,1992,56237.444
estimates,935,1993,54653.136
estimates,935,1994,53161.922
estimates,935,1995,51858.137
estimates,935,1996,50793.568
estimates,935,1997,49940.617
estimates,935,1998,49270.233
estimates,935,1999,48782.391
estimates,935,2000,48468.764
estimates,935,2001,48307.968
estimates,935,2002,48251.131
estimates,935,2003,48247.046
estimates,935,2004,48257.444
estimates,935,2005,48249.577
estimates,935,2006,48202.008
estimates,935,2007,48107.82
estimates,935,2008,47956.841
estimates,935,2009,47730.933
estimates,935,2010,47415.916
estimates,935,2011,47005.523
estimates,935,2012,46506.604
estimates,935,2013,45925.407
estimates,935,2014,45262.063
estimates,935,2015,44514.366
medium_variant,935,2015,44514.366
medium_variant,935,2016,43680.622
medium_variant,935,2017,42766.894
medium_variant,935,2018,41783.104
medium_variant,935,2019,40740.197
medium_variant,935,2020,39649.44
medium_variant,935,2021,38521.196
medium_variant,935,2022,37365.476
medium_variant,935,2023,36193.016
medium_variant,935,2024,35014.28
medium_variant,935,2025,33836.804
medium_variant,935,2026,32663.694
medium_variant,935,2027,31492.702
medium_variant,935,2028,30322.982
medium_variant,935,2029,29157.514
medium_variant,935,2030,27997.818
medium_variant,935,2031,26843.943
medium_variant,935,2032,25695.436
medium_variant,935,2033,24552.973
medium_variant,935,2034,23418.788
medium_variant,935,2035,22296.664
medium_variant,935,2036,21190.629
medium_variant,935,2037,20102.277
medium_variant,935,2038,19031.695
medium_variant,935,2039,17977.782
medium_variant,935,2040,16937.998
medium_variant,935,2041,15908.652
medium_variant,935,2042,14884.927
medium_variant,935,2043,13862.575
medium_variant,935,2044,12838.965
medium_variant,935,2045,11811.116
medium_variant,935,2046,10777.091
medium_variant,935,2047,9738.772
medium_variant,935,2048,8699.086
medium_variant,935,2049,7660.703
medium_variant,935,2050,6625.583
medium_variant,935,2051,5595.547
medium_variant,935,2052,4574.555
medium_variant,935,2053,3567.915
medium_variant,935,2054,2581.243
medium_variant,935,2055,1620.201
medium_variant,935,2056,689.35
medium_variant,935,2057,-208.855
medium_variant,935,2058,-1072.072
medium_variant,935,2059,-1897.658
medium_variant,935,2060,-2683.561
medium_variant,935,2061,-3429.299
medium_variant,935,2062,-4137.339
medium_variant,935,2063,-4810.352
medium_variant,935,2064,-5449.818
medium_variant,935,2065,-6056.896
medium_variant,935,2066,-6632.534
medium_variant,935,2067,-7178.305
medium_variant,935,2068,-7696.372
medium_variant,935,2069,-8189.119
medium_variant,935,2070,-8659.328
medium_variant,935,2071,-9109.35
medium_variant,935,2072,-9540.056
medium_variant,935,2073,-9951.845
medium_variant,935,2074,-10345.027
medium_variant,935,2075,-10718.957
medium_variant,935,2076,-11072.134
medium_variant,935,2077,-11402.492
medium_variant,935,2078,-11708.452
medium_variant,935,2079,-11989.479
medium_variant,935,2080,-12244.434
medium_variant,935,2081,-12472.394
medium_variant,935,2082,-12674.573
medium_variant,935,2083,-12853.151
medium_variant,935,2084,-13010.572
medium_variant,935,2085,-13149.202
medium_variant,935,2086,-13271.226
medium_variant,935,2087,-13379.466
medium_variant,935,2088,-13477.161
medium_variant,935,2089,-13567.594
medium_variant,935,2090,-13653.36
medium_variant,935,2091,-13736.213
medium_variant,935,2092,-13817.207
medium_variant,935,2093,-13896.97
medium_variant,935,2094,-13975.763
medium_variant,935,2095,-14053.815
medium_variant,935,2096,-14131.351
medium_variant,935,2097,-14208.298
medium_variant,935,2098,-14284.635
medium_variant,935,2099,-14360.361
