variant,region,year,populationnaturalchange
estimates,906,1950,15393.1
estimates,906,1951,14800.988
estimates,906,1952,13721.751
estimates,906,1953,12852.49
estimates,906,1954,12193.21
estimates,906,1955,11746.392
estimates,906,1956,11519.043
estimates,906,1957,11513.218
estimates,906,1958,11737.003
estimates,906,1959,12209
estimates,906,1960,12941.912
estimates,906,1961,13937.54
estimates,906,1962,15177.865
estimates,906,1963,16610.564
estimates,906,1964,18148.938
estimates,906,1965,19675.297
estimates,906,1966,21066.099
estimates,906,1967,22223.259
estimates,906,1968,23068.643
estimates,906,1969,23550.902
estimates,906,1970,23621.611
estimates,906,1971,23266.323
estimates,906,1972,22571.684
estimates,906,1973,21646.553
estimates,906,1974,20579.995
estimates,906,1975,19479.426
estimates,906,1976,18449.203
estimates,906,1977,17567.999
estimates,906,1978,16903.241
estimates,906,1979,16508.302
estimates,906,1980,16456.154
estimates,906,1981,16796.732
estimates,906,1982,17463.321
estimates,906,1983,18347.417
estimates,906,1984,19340.362
estimates,906,1985,20265.322
estimates,906,1986,20927.887
estimates,906,1987,21201.436
estimates,906,1988,21014.588
estimates,906,1989,20352.844
estimates,906,1990,19257.706
estimates,906,1991,17831.663
estimates,906,1992,16258.27
estimates,906,1993,14705.101
estimates,906,1994,13270.231
estimates,906,1995,12035.872
estimates,906,1996,11044.07
estimates,906,1997,10262.124
estimates,906,1998,9656.012
estimates,906,1999,9220.005
estimates,906,2000,8937.756
estimates,906,2001,8781.974
estimates,906,2002,8709.31
estimates,906,2003,8678.403
estimates,906,2004,8661.208
estimates,906,2005,8641.413
estimates,906,2006,8615.878
estimates,906,2007,8590.862
estimates,906,2008,8564.681
estimates,906,2009,8522.341
estimates,906,2010,8445.074
estimates,906,2011,8315.328
estimates,906,2012,8124.198
estimates,906,2013,7866.408
estimates,906,2014,7538.994
estimates,906,2015,7141.51
medium_variant,906,2015,7141.51
medium_variant,906,2016,6678.403
medium_variant,906,2017,6164.989
medium_variant,906,2018,5617.733
medium_variant,906,2019,5048.79
medium_variant,906,2020,4469.376
medium_variant,906,2021,3887.866
medium_variant,906,2022,3308.72
medium_variant,906,2023,2737.046
medium_variant,906,2024,2179.556
medium_variant,906,2025,1640.939
medium_variant,906,2026,1122.685
medium_variant,906,2027,621.745
medium_variant,906,2028,135.761
medium_variant,906,2029,-334.863
medium_variant,906,2030,-790.127
medium_variant,906,2031,-1230.478
medium_variant,906,2032,-1656.854
medium_variant,906,2033,-2070.028
medium_variant,906,2034,-2470.291
medium_variant,906,2035,-2857.172
medium_variant,906,2036,-3229.839
medium_variant,906,2037,-3588.088
medium_variant,906,2038,-3932.426
medium_variant,906,2039,-4264.015
medium_variant,906,2040,-4584.514
medium_variant,906,2041,-4895.769
medium_variant,906,2042,-5199.499
medium_variant,906,2043,-5497.161
medium_variant,906,2044,-5789.732
medium_variant,906,2045,-6078.491
medium_variant,906,2046,-6364.282
medium_variant,906,2047,-6645.93
medium_variant,906,2048,-6921.587
medium_variant,906,2049,-7189.428
medium_variant,906,2050,-7447.794
medium_variant,906,2051,-7695.135
medium_variant,906,2052,-7929.226
medium_variant,906,2053,-8147.364
medium_variant,906,2054,-8346.806
medium_variant,906,2055,-8524.622
medium_variant,906,2056,-8678.523
medium_variant,906,2057,-8807.998
medium_variant,906,2058,-8912.904
medium_variant,906,2059,-8992.989
medium_variant,906,2060,-9047.64
medium_variant,906,2061,-9076.673
medium_variant,906,2062,-9082.2
medium_variant,906,2063,-9067.213
medium_variant,906,2064,-9034.637
medium_variant,906,2065,-8987.386
medium_variant,906,2066,-8928.015
medium_variant,906,2067,-8858.918
medium_variant,906,2068,-8782.771
medium_variant,906,2069,-8702.289
medium_variant,906,2070,-8620.004
medium_variant,906,2071,-8537.489
medium_variant,906,2072,-8454.266
medium_variant,906,2073,-8369.655
medium_variant,906,2074,-8283.522
medium_variant,906,2075,-8195.201
medium_variant,906,2076,-8103.571
medium_variant,906,2077,-8007.029
medium_variant,906,2078,-7904.187
medium_variant,906,2079,-7794.264
medium_variant,906,2080,-7676.086
medium_variant,906,2081,-7548.734
medium_variant,906,2082,-7412.822
medium_variant,906,2083,-7269.576
medium_variant,906,2084,-7120.352
medium_variant,906,2085,-6965.97
medium_variant,906,2086,-6807.102
medium_variant,906,2087,-6645.752
medium_variant,906,2088,-6484.798
medium_variant,906,2089,-6327.434
medium_variant,906,2090,-6176.821
medium_variant,906,2091,-6035.706
medium_variant,906,2092,-5906.209
medium_variant,906,2093,-5789.992
medium_variant,906,2094,-5688.227
medium_variant,906,2095,-5601.678
medium_variant,906,2096,-5530.833
medium_variant,906,2097,-5475.827
medium_variant,906,2098,-5436.681
medium_variant,906,2099,-5413.392
