variant,continent,year,gender,potentialsupport2064_65
estimates,903,1950,male,15.558
estimates,903,1951,male,15.524
estimates,903,1952,male,15.578
estimates,903,1953,male,15.706
estimates,903,1954,male,15.9
estimates,903,1955,male,16.155
estimates,903,1956,male,16.01
estimates,903,1957,male,15.937
estimates,903,1958,male,15.928
estimates,903,1959,male,15.977
estimates,903,1960,male,16.078
estimates,903,1961,male,15.86
estimates,903,1962,male,15.711
estimates,903,1963,male,15.624
estimates,903,1964,male,15.595
estimates,903,1965,male,15.621
estimates,903,1966,male,15.442
estimates,903,1967,male,15.339
estimates,903,1968,male,15.3
estimates,903,1969,male,15.313
estimates,903,1970,male,15.371
estimates,903,1971,male,15.193
estimates,903,1972,male,15.077
estimates,903,1973,male,15.019
estimates,903,1974,male,15.018
estimates,903,1975,male,15.069
estimates,903,1976,male,14.939
estimates,903,1977,male,14.867
estimates,903,1978,male,14.838
estimates,903,1979,male,14.841
estimates,903,1980,male,14.869
estimates,903,1981,male,14.758
estimates,903,1982,male,14.695
estimates,903,1983,male,14.671
estimates,903,1984,male,14.678
estimates,903,1985,male,14.71
estimates,903,1986,male,14.57
estimates,903,1987,male,14.471
estimates,903,1988,male,14.404
estimates,903,1989,male,14.363
estimates,903,1990,male,14.344
estimates,903,1991,male,14.223
estimates,903,1992,male,14.144
estimates,903,1993,male,14.102
estimates,903,1994,male,14.087
estimates,903,1995,male,14.093
estimates,903,1996,male,13.966
estimates,903,1997,male,13.873
estimates,903,1998,male,13.815
estimates,903,1999,male,13.796
estimates,903,2000,male,13.818
estimates,903,2001,male,13.784
estimates,903,2002,male,13.8
estimates,903,2003,male,13.855
estimates,903,2004,male,13.939
estimates,903,2005,male,14.046
estimates,903,2006,male,14.042
estimates,903,2007,male,14.074
estimates,903,2008,male,14.131
estimates,903,2009,male,14.2
estimates,903,2010,male,14.27
estimates,903,2011,male,14.272
estimates,903,2012,male,14.285
estimates,903,2013,male,14.304
estimates,903,2014,male,14.325
