variant,global,year,gender,potentialsupport2064_65
estimates,900,1950,male,11.372
estimates,900,1951,male,11.286
estimates,900,1952,male,11.238
estimates,900,1953,male,11.238
estimates,900,1954,male,11.298
estimates,900,1955,male,11.417
estimates,900,1956,male,11.343
estimates,900,1957,male,11.339
estimates,900,1958,male,11.387
estimates,900,1959,male,11.466
estimates,900,1960,male,11.565
estimates,900,1961,male,11.429
estimates,900,1962,male,11.323
estimates,900,1963,male,11.249
estimates,900,1964,male,11.209
estimates,900,1965,male,11.206
estimates,900,1966,male,10.998
estimates,900,1967,male,10.835
estimates,900,1968,male,10.712
estimates,900,1969,male,10.625
estimates,900,1970,male,10.572
estimates,900,1971,male,10.432
estimates,900,1972,male,10.343
estimates,900,1973,male,10.291
estimates,900,1974,male,10.258
estimates,900,1975,male,10.237
estimates,900,1976,male,10.108
estimates,900,1977,male,9.998
estimates,900,1978,male,9.917
estimates,900,1979,male,9.879
estimates,900,1980,male,9.891
estimates,900,1981,male,9.872
estimates,900,1982,male,9.901
estimates,900,1983,male,9.958
estimates,900,1984,male,10.022
estimates,900,1985,male,10.078
estimates,900,1986,male,10.033
estimates,900,1987,male,9.998
estimates,900,1988,male,9.965
estimates,900,1989,male,9.93
estimates,900,1990,male,9.888
estimates,900,1991,male,9.77
estimates,900,1992,male,9.662
estimates,900,1993,male,9.566
estimates,900,1994,male,9.485
estimates,900,1995,male,9.42
estimates,900,1996,male,9.304
estimates,900,1997,male,9.212
estimates,900,1998,male,9.135
estimates,900,1999,male,9.068
estimates,900,2000,male,9.007
estimates,900,2001,male,8.889
estimates,900,2002,male,8.784
estimates,900,2003,male,8.697
estimates,900,2004,male,8.638
estimates,900,2005,male,8.609
estimates,900,2006,male,8.554
estimates,900,2007,male,8.526
estimates,900,2008,male,8.507
estimates,900,2009,male,8.479
estimates,900,2010,male,8.43
estimates,900,2011,male,8.33
estimates,900,2012,male,8.223
estimates,900,2013,male,8.106
estimates,900,2014,male,7.969
estimates,900,2015,male,7.813
medium_variant,900,2015,male,7.813
medium_variant,900,2016,male,7.613
medium_variant,900,2017,male,7.407
medium_variant,900,2018,male,7.205
medium_variant,900,2019,male,7.018
medium_variant,900,2020,male,6.85
medium_variant,900,2021,male,6.68
medium_variant,900,2022,male,6.531
medium_variant,900,2023,male,6.393
medium_variant,900,2024,male,6.258
medium_variant,900,2025,male,6.12
medium_variant,900,2026,male,5.972
medium_variant,900,2027,male,5.831
medium_variant,900,2028,male,5.695
medium_variant,900,2029,male,5.564
medium_variant,900,2030,male,5.437
medium_variant,900,2031,male,5.308
medium_variant,900,2032,male,5.188
medium_variant,900,2033,male,5.075
medium_variant,900,2034,male,4.97
medium_variant,900,2035,male,4.87
medium_variant,900,2036,male,4.773
medium_variant,900,2037,male,4.685
medium_variant,900,2038,male,4.604
medium_variant,900,2039,male,4.531
medium_variant,900,2040,male,4.468
medium_variant,900,2041,male,4.407
medium_variant,900,2042,male,4.357
medium_variant,900,2043,male,4.311
medium_variant,900,2044,male,4.266
medium_variant,900,2045,male,4.218
medium_variant,900,2046,male,4.164
medium_variant,900,2047,male,4.111
medium_variant,900,2048,male,4.058
medium_variant,900,2049,male,4.002
medium_variant,900,2050,male,3.94
medium_variant,900,2051,male,3.87
medium_variant,900,2052,male,3.8
medium_variant,900,2053,male,3.732
medium_variant,900,2054,male,3.668
medium_variant,900,2055,male,3.612
medium_variant,900,2056,male,3.56
medium_variant,900,2057,male,3.516
medium_variant,900,2058,male,3.478
medium_variant,900,2059,male,3.445
medium_variant,900,2060,male,3.415
medium_variant,900,2061,male,3.386
medium_variant,900,2062,male,3.363
medium_variant,900,2063,male,3.343
medium_variant,900,2064,male,3.324
medium_variant,900,2065,male,3.304
medium_variant,900,2066,male,3.282
medium_variant,900,2067,male,3.263
