variant,global,year,potentialsupport2064_65
estimates,900,1950,10.031
estimates,900,1951,9.936
estimates,900,1952,9.869
estimates,900,1953,9.839
estimates,900,1954,9.852
estimates,900,1955,9.906
estimates,900,1956,9.832
estimates,900,1957,9.808
estimates,900,1958,9.819
estimates,900,1959,9.848
estimates,900,1960,9.882
estimates,900,1961,9.756
estimates,900,1962,9.648
estimates,900,1963,9.56
estimates,900,1964,9.497
estimates,900,1965,9.462
estimates,900,1966,9.301
estimates,900,1967,9.173
estimates,900,1968,9.07
estimates,900,1969,8.989
estimates,900,1970,8.927
estimates,900,1971,8.816
estimates,900,1972,8.737
estimates,900,1973,8.68
estimates,900,1974,8.635
estimates,900,1975,8.598
estimates,900,1976,8.503
estimates,900,1977,8.42
estimates,900,1978,8.357
estimates,900,1979,8.327
estimates,900,1980,8.335
estimates,900,1981,8.338
estimates,900,1982,8.377
estimates,900,1983,8.436
estimates,900,1984,8.493
estimates,900,1985,8.536
estimates,900,1986,8.521
estimates,900,1987,8.503
estimates,900,1988,8.481
estimates,900,1989,8.457
estimates,900,1990,8.429
estimates,900,1991,8.359
estimates,900,1992,8.295
estimates,900,1993,8.238
estimates,900,1994,8.187
estimates,900,1995,8.143
estimates,900,1996,8.071
estimates,900,1997,8.01
estimates,900,1998,7.957
estimates,900,1999,7.907
estimates,900,2000,7.857
estimates,900,2001,7.778
estimates,900,2002,7.703
estimates,900,2003,7.638
estimates,900,2004,7.593
estimates,900,2005,7.57
estimates,900,2006,7.539
estimates,900,2007,7.524
estimates,900,2008,7.515
estimates,900,2009,7.495
estimates,900,2010,7.454
estimates,900,2011,7.384
estimates,900,2012,7.304
estimates,900,2013,7.21
estimates,900,2014,7.097
estimates,900,2015,6.964
medium_variant,900,2015,6.964
medium_variant,900,2016,6.803
medium_variant,900,2017,6.631
medium_variant,900,2018,6.457
medium_variant,900,2019,6.292
medium_variant,900,2020,6.141
medium_variant,900,2021,5.995
medium_variant,900,2022,5.861
medium_variant,900,2023,5.735
medium_variant,900,2024,5.609
medium_variant,900,2025,5.482
