variant,region,year,gender,potentialsupport2064_65
estimates,902,1950,male,14.255
estimates,902,1951,male,14.172
estimates,902,1952,male,14.168
estimates,902,1953,male,14.251
estimates,902,1954,male,14.432
estimates,902,1955,male,14.716
estimates,902,1956,male,14.636
estimates,902,1957,male,14.659
estimates,902,1958,male,14.77
estimates,902,1959,male,14.954
estimates,902,1960,male,15.203
estimates,902,1961,male,14.991
estimates,902,1962,male,14.855
estimates,902,1963,male,14.788
estimates,902,1964,male,14.79
estimates,902,1965,male,14.863
estimates,902,1966,male,14.527
estimates,902,1967,male,14.261
estimates,902,1968,male,14.063
estimates,902,1969,male,13.931
estimates,902,1970,male,13.862
estimates,902,1971,male,13.653
estimates,902,1972,male,13.519
estimates,902,1973,male,13.439
estimates,902,1974,male,13.386
estimates,902,1975,male,13.342
estimates,902,1976,male,13.154
estimates,902,1977,male,12.994
estimates,902,1978,male,12.864
estimates,902,1979,male,12.769
estimates,902,1980,male,12.708
estimates,902,1981,male,12.565
estimates,902,1982,male,12.466
estimates,902,1983,male,12.404
estimates,902,1984,male,12.378
estimates,902,1985,male,12.38
estimates,902,1986,male,12.297
estimates,902,1987,male,12.252
estimates,902,1988,male,12.23
estimates,902,1989,male,12.214
estimates,902,1990,male,12.193
estimates,902,1991,male,12.078
estimates,902,1992,male,11.976
estimates,902,1993,male,11.886
estimates,902,1994,male,11.803
estimates,902,1995,male,11.725
estimates,902,1996,male,11.567
estimates,902,1997,male,11.431
estimates,902,1998,male,11.314
estimates,902,1999,male,11.215
estimates,902,2000,male,11.132
estimates,902,2001,male,10.983
estimates,902,2002,male,10.856
estimates,902,2003,male,10.754
estimates,902,2004,male,10.683
estimates,902,2005,male,10.643
estimates,902,2006,male,10.573
estimates,902,2007,male,10.533
estimates,902,2008,male,10.506
estimates,902,2009,male,10.475
estimates,902,2010,male,10.43
estimates,902,2011,male,10.323
estimates,902,2012,male,10.218
estimates,902,2013,male,10.096
estimates,902,2014,male,9.938
estimates,902,2015,male,9.735
medium_variant,902,2015,male,9.735
medium_variant,902,2016,male,9.463
medium_variant,902,2017,male,9.174
medium_variant,902,2018,male,8.887
medium_variant,902,2019,male,8.625
medium_variant,902,2020,male,8.395
medium_variant,902,2021,male,8.167
medium_variant,902,2022,male,7.97
medium_variant,902,2023,male,7.79
medium_variant,902,2024,male,7.611
medium_variant,902,2025,male,7.427
medium_variant,902,2026,male,7.227
medium_variant,902,2027,male,7.036
medium_variant,902,2028,male,6.849
medium_variant,902,2029,male,6.668
medium_variant,902,2030,male,6.489
medium_variant,902,2031,male,6.307
medium_variant,902,2032,male,6.135
medium_variant,902,2033,male,5.972
medium_variant,902,2034,male,5.822
medium_variant,902,2035,male,5.682
medium_variant,902,2036,male,5.547
medium_variant,902,2037,male,5.424
medium_variant,902,2038,male,5.313
medium_variant,902,2039,male,5.214
medium_variant,902,2040,male,5.127
medium_variant,902,2041,male,5.046
medium_variant,902,2042,male,4.976
medium_variant,902,2043,male,4.914
medium_variant,902,2044,male,4.853
medium_variant,902,2045,male,4.788
medium_variant,902,2046,male,4.716
medium_variant,902,2047,male,4.646
medium_variant,902,2048,male,4.576
medium_variant,902,2049,male,4.501
medium_variant,902,2050,male,4.421
medium_variant,902,2051,male,4.33
medium_variant,902,2052,male,4.238
medium_variant,902,2053,male,4.149
medium_variant,902,2054,male,4.067
medium_variant,902,2055,male,3.995
medium_variant,902,2056,male,3.927
medium_variant,902,2057,male,3.87
medium_variant,902,2058,male,3.821
medium_variant,902,2059,male,3.778
medium_variant,902,2060,male,3.739
medium_variant,902,2061,male,3.7
medium_variant,902,2062,male,3.667
medium_variant,902,2063,male,3.638
medium_variant,902,2064,male,3.611
