variant,region,year,potentialsupport2064_65
estimates,916,1950,12.808
estimates,916,1951,12.865
estimates,916,1952,12.93
estimates,916,1953,13.007
estimates,916,1954,13.095
estimates,916,1955,13.196
estimates,916,1956,13.047
estimates,916,1957,12.918
estimates,916,1958,12.802
estimates,916,1959,12.69
estimates,916,1960,12.58
estimates,916,1961,12.372
estimates,916,1962,12.186
estimates,916,1963,12.018
estimates,916,1964,11.861
estimates,916,1965,11.709
estimates,916,1966,11.512
estimates,916,1967,11.333
estimates,916,1968,11.181
estimates,916,1969,11.074
estimates,916,1970,11.02
estimates,916,1971,10.968
estimates,916,1972,10.963
estimates,916,1973,10.986
estimates,916,1974,11.011
estimates,916,1975,11.025
estimates,916,1976,10.99
estimates,916,1977,10.948
estimates,916,1978,10.912
estimates,916,1979,10.901
estimates,916,1980,10.922
estimates,916,1981,10.942
estimates,916,1982,10.988
estimates,916,1983,11.037
estimates,916,1984,11.06
estimates,916,1985,11.043
estimates,916,1986,11
estimates,916,1987,10.929
estimates,916,1988,10.844
estimates,916,1989,10.761
estimates,916,1990,10.689
estimates,916,1991,10.635
estimates,916,1992,10.594
estimates,916,1993,10.558
estimates,916,1994,10.516
estimates,916,1995,10.464
estimates,916,1996,10.387
estimates,916,1997,10.301
estimates,916,1998,10.214
estimates,916,1999,10.134
estimates,916,2000,10.064
estimates,916,2001,10.008
estimates,916,2002,9.959
estimates,916,2003,9.908
estimates,916,2004,9.841
estimates,916,2005,9.755
estimates,916,2006,9.67
estimates,916,2007,9.568
estimates,916,2008,9.459
estimates,916,2009,9.353
estimates,916,2010,9.254
estimates,916,2011,9.173
estimates,916,2012,9.097
estimates,916,2013,9.011
estimates,916,2014,8.897
estimates,916,2015,8.75
medium_variant,916,2015,8.75
medium_variant,916,2016,8.587
medium_variant,916,2017,8.4
medium_variant,916,2018,8.2
medium_variant,916,2019,7.997
medium_variant,916,2020,7.797
medium_variant,916,2021,7.611
medium_variant,916,2022,7.425
medium_variant,916,2023,7.238
medium_variant,916,2024,7.049
medium_variant,916,2025,6.86
medium_variant,916,2026,6.686
medium_variant,916,2027,6.512
medium_variant,916,2028,6.335
medium_variant,916,2029,6.155
medium_variant,916,2030,5.97
medium_variant,916,2031,5.799
medium_variant,916,2032,5.626
medium_variant,916,2033,5.452
medium_variant,916,2034,5.279
medium_variant,916,2035,5.107
medium_variant,916,2036,4.952
medium_variant,916,2037,4.798
medium_variant,916,2038,4.648
medium_variant,916,2039,4.502
medium_variant,916,2040,4.361
medium_variant,916,2041,4.238
medium_variant,916,2042,4.119
medium_variant,916,2043,4.002
medium_variant,916,2044,3.888
medium_variant,916,2045,3.777
medium_variant,916,2046,3.682
medium_variant,916,2047,3.588
medium_variant,916,2048,3.495
medium_variant,916,2049,3.403
medium_variant,916,2050,3.313
medium_variant,916,2051,3.236
medium_variant,916,2052,3.158
medium_variant,916,2053,3.081
medium_variant,916,2054,3.003
medium_variant,916,2055,2.924
medium_variant,916,2056,2.858
medium_variant,916,2057,2.79
medium_variant,916,2058,2.721
medium_variant,916,2059,2.652
medium_variant,916,2060,2.584
medium_variant,916,2061,2.527
medium_variant,916,2062,2.469
medium_variant,916,2063,2.411
medium_variant,916,2064,2.355
medium_variant,916,2065,2.3
medium_variant,916,2066,2.258
medium_variant,916,2067,2.216
medium_variant,916,2068,2.174
medium_variant,916,2069,2.134
medium_variant,916,2070,2.094
medium_variant,916,2071,2.064
medium_variant,916,2072,2.034
medium_variant,916,2073,2.004
medium_variant,916,2074,1.973
medium_variant,916,2075,1.941
medium_variant,916,2076,1.918
medium_variant,916,2077,1.894
medium_variant,916,2078,1.868
medium_variant,916,2079,1.841
medium_variant,916,2080,1.814
medium_variant,916,2081,1.796
medium_variant,916,2082,1.776
medium_variant,916,2083,1.755
medium_variant,916,2084,1.733
medium_variant,916,2085,1.711
medium_variant,916,2086,1.696
medium_variant,916,2087,1.681
medium_variant,916,2088,1.664
medium_variant,916,2089,1.647
medium_variant,916,2090,1.629
medium_variant,916,2091,1.619
medium_variant,916,2092,1.608
medium_variant,916,2093,1.596
medium_variant,916,2094,1.582
medium_variant,916,2095,1.569
medium_variant,916,2096,1.562
medium_variant,916,2097,1.554
medium_variant,916,2098,1.545
medium_variant,916,2099,1.535
medium_variant,916,2100,1.524
high_variant,916,2015,8.74953022767439
low_variant,916,2015,8.74953022767439
constant_fertility,916,2015,8.74953022767439
instant_replacement,916,2015,8.74953022767439
zero_migration,916,2015,8.74953022767439
constant_mortality,916,2015,8.74953022767439
no_change,916,2015,8.74953022767439
high_variant,916,2020,7.7966704250614
low_variant,916,2020,7.7966704250614
constant_fertility,916,2020,7.7966704250614
instant_replacement,916,2020,7.7966704250614
zero_migration,916,2020,7.81545430920981
constant_mortality,916,2020,7.86417257363521
no_change,916,2020,7.86417257363521
high_variant,916,2025,6.86027660784459
low_variant,916,2025,6.86027660784459
constant_fertility,916,2025,6.86027660784459
instant_replacement,916,2025,6.86027660784459
zero_migration,916,2025,6.89523101870854
constant_mortality,916,2025,7.00836677648822
no_change,916,2025,7.00836677648822
high_variant,916,2030,5.97020391632376
low_variant,916,2030,5.97020391632376
