variant,country,year,potentialsupport2069_65
estimates,232,1950,24.274
estimates,232,1951,24.187
estimates,232,1952,24.463
estimates,232,1953,25.12
estimates,232,1954,26.207
estimates,232,1955,27.815
estimates,232,1956,27.905
estimates,232,1957,28.355
estimates,232,1958,29.222
estimates,232,1959,30.601
estimates,232,1960,32.614
estimates,232,1961,32.914
estimates,232,1962,33.65
estimates,232,1963,34.849
estimates,232,1964,36.585
estimates,232,1965,38.985
estimates,232,1966,39.327
estimates,232,1967,40.119
estimates,232,1968,41.393
estimates,232,1969,43.177
estimates,232,1970,45.572
estimates,232,1971,45.564
estimates,232,1972,45.953
estimates,232,1973,46.79
estimates,232,1974,48.154
estimates,232,1975,50.141
estimates,232,1976,49.684
estimates,232,1977,49.732
estimates,232,1978,50.27
estimates,232,1979,51.311
estimates,232,1980,52.897
estimates,232,1981,52.03
estimates,232,1982,51.657
estimates,232,1983,51.786
estimates,232,1984,52.44
estimates,232,1985,53.656
estimates,232,1986,52.428
estimates,232,1987,51.72
estimates,232,1988,51.502
estimates,232,1989,51.767
estimates,232,1990,52.537
estimates,232,1991,50.319
estimates,232,1992,48.579
estimates,232,1993,47.316
estimates,232,1994,46.576
estimates,232,1995,46.433
estimates,232,1996,44.731
estimates,232,1997,43.512
estimates,232,1998,42.703
estimates,232,1999,42.262
estimates,232,2000,42.145
estimates,232,2001,41.349
estimates,232,2002,40.867
estimates,232,2003,40.652
estimates,232,2004,40.662
estimates,232,2005,40.836
estimates,232,2006,39.876
estimates,232,2007,39.152
estimates,232,2008,38.603
estimates,232,2009,38.178
estimates,232,2010,37.845
estimates,232,2011,36.665
estimates,232,2012,35.679
estimates,232,2013,34.799
estimates,232,2014,33.942
estimates,232,2015,33.092
medium_variant,232,2015,33.092
medium_variant,232,2016,31.865
medium_variant,232,2017,30.775
medium_variant,232,2018,29.91
medium_variant,232,2019,29.364
medium_variant,232,2020,29.142
medium_variant,232,2021,28.772
medium_variant,232,2022,28.672
medium_variant,232,2023,28.756
medium_variant,232,2024,28.935
medium_variant,232,2025,29.16
medium_variant,232,2026,28.978
medium_variant,232,2027,28.888
medium_variant,232,2028,28.89
medium_variant,232,2029,28.985
medium_variant,232,2030,29.159
medium_variant,232,2031,28.955
medium_variant,232,2032,28.83
medium_variant,232,2033,28.773
medium_variant,232,2034,28.783
medium_variant,232,2035,28.843
medium_variant,232,2036,28.537
medium_variant,232,2037,28.274
medium_variant,232,2038,28.032
medium_variant,232,2039,27.797
medium_variant,232,2040,27.549
medium_variant,232,2041,26.959
medium_variant,232,2042,26.39
medium_variant,232,2043,25.791
medium_variant,232,2044,25.109
medium_variant,232,2045,24.324
medium_variant,232,2046,23.244
medium_variant,232,2047,22.205
medium_variant,232,2048,21.19
medium_variant,232,2049,20.176
medium_variant,232,2050,19.165
medium_variant,232,2051,18.077
medium_variant,232,2052,17.082
medium_variant,232,2053,16.187
medium_variant,232,2054,15.39
medium_variant,232,2055,14.684
medium_variant,232,2056,14
medium_variant,232,2057,13.399
medium_variant,232,2058,12.886
medium_variant,232,2059,12.468
medium_variant,232,2060,12.139
medium_variant,232,2061,11.842
medium_variant,232,2062,11.608
medium_variant,232,2063,11.42
medium_variant,232,2064,11.262
medium_variant,232,2065,11.122
medium_variant,232,2066,10.957
medium_variant,232,2067,10.815
medium_variant,232,2068,10.675
medium_variant,232,2069,10.514
medium_variant,232,2070,10.319
