country,variant,year,potentialsupport2069_65
643,estimates,1950,21.4399882038559
643,estimates,1955,18.1601895965925
643,estimates,1960,16.2815026177786
643,estimates,1965,14.3026144004114
643,estimates,1970,13.315575496815
643,estimates,1975,11.7036854872726
643,estimates,1980,10.1898587484223
643,estimates,1985,9.0556351352584
643,estimates,1990,9.4764429943533
643,estimates,1995,9.14886153333127
643,estimates,2000,7.80683962907087
643,estimates,2005,7.9557650229709
643,estimates,2010,6.97108660640378
643,constant-fertility,2015,7.48320491640111
643,constant-mortality,2015,7.48320491640111
643,estimates,2015,7.48320491640111
643,high variant,2015,7.48320491640111
643,instant-replacement,2015,7.48320491640111
643,low variant,2015,7.48320491640111
643,medium variant,2015,7.48320491640111
643,no change,2015,7.48320491640111
643,zero-migration,2015,7.48320491640111
643,constant-fertility,2020,7.29009345444901
643,constant-mortality,2020,7.34482097213457
643,high variant,2020,7.29009345444901
643,instant-replacement,2020,7.29009345444901
643,low variant,2020,7.29009345444901
643,medium variant,2020,7.29009345444901
643,no change,2020,7.34482097213457
643,zero-migration,2020,7.24738065443527
643,constant-fertility,2025,5.91940141764411
643,constant-mortality,2025,6.02052297169939
643,high variant,2025,5.91940141764411
643,instant-replacement,2025,5.91940141764411
643,low variant,2025,5.91940141764411
643,medium variant,2025,5.91940141764411
643,no change,2025,6.02052297169939
643,zero-migration,2025,5.85510901370911
643,constant-fertility,2030,4.97691140066284
643,constant-mortality,2030,5.11706354165533
643,high variant,2030,4.97691140066284
643,instant-replacement,2030,4.97691140066284
643,low variant,2030,4.97691140066284
643,medium variant,2030,4.97691140066284
643,no change,2030,5.11706354165533
643,zero-migration,2030,4.8979422713568
643,constant-fertility,2035,4.49874381308274
643,constant-mortality,2035,4.69252264836519
643,high variant,2035,4.49874381308274
643,instant-replacement,2035,4.49874381308274
643,low variant,2035,4.49874381308274
643,medium variant,2035,4.49874381308274
643,no change,2035,4.69252264836519
643,zero-migration,2035,4.40730973507503
643,constant-fertility,2040,4.67444296275212
643,constant-mortality,2040,5.01740850331313
643,high variant,2040,4.77970734973246
643,instant-replacement,2040,4.81693419009567
643,low variant,2040,4.64029729215281
643,medium variant,2040,4.71000245863501
643,no change,2040,4.97890963012972
643,zero-migration,2040,4.59543390063883
643,constant-fertility,2045,4.56290149056387
643,constant-mortality,2045,5.06118169460919
643,high variant,2045,4.82280872919189
643,instant-replacement,2045,4.8448731718857
643,low variant,2045,4.48296518295407
643,medium variant,2045,4.65288703948948
643,no change,2045,4.96129455496952
643,zero-migration,2045,4.5198533624015
643,constant-fertility,2050,4.2843884375134
643,constant-mortality,2050,4.88679837059444
643,high variant,2050,4.68770250630822
643,instant-replacement,2050,4.66712836865032
