variant,continent,year,potentialsupport2564_65
estimates,908,1950,10.635
estimates,908,1951,10.463
estimates,908,1952,10.352
estimates,908,1953,10.28
estimates,908,1954,10.23
estimates,908,1955,10.191
estimates,908,1956,10.013
estimates,908,1957,9.858
estimates,908,1958,9.73
estimates,908,1959,9.642
estimates,908,1960,9.595
estimates,908,1961,9.445
estimates,908,1962,9.346
estimates,908,1963,9.276
estimates,908,1964,9.205
estimates,908,1965,9.116
estimates,908,1966,8.916
estimates,908,1967,8.724
estimates,908,1968,8.54
estimates,908,1969,8.371
estimates,908,1970,8.219
estimates,908,1971,7.99
estimates,908,1972,7.799
estimates,908,1973,7.637
estimates,908,1974,7.497
estimates,908,1975,7.373
estimates,908,1976,7.18
estimates,908,1977,7.023
estimates,908,1978,6.892
estimates,908,1979,6.778
estimates,908,1980,6.675
estimates,908,1981,6.524
estimates,908,1982,6.386
estimates,908,1983,6.285
estimates,908,1984,6.254
estimates,908,1985,6.305
estimates,908,1986,6.358
estimates,908,1987,6.488
estimates,908,1988,6.653
estimates,908,1989,6.792
estimates,908,1990,6.866
estimates,908,1991,6.814
estimates,908,1992,6.722
estimates,908,1993,6.606
estimates,908,1994,6.488
estimates,908,1995,6.379
estimates,908,1996,6.215
estimates,908,1997,6.063
estimates,908,1998,5.931
estimates,908,1999,5.831
estimates,908,2000,5.764
estimates,908,2001,5.675
estimates,908,2002,5.621
estimates,908,2003,5.582
estimates,908,2004,5.54
estimates,908,2005,5.485
estimates,908,2006,5.371
estimates,908,2007,5.247
estimates,908,2008,5.133
estimates,908,2009,5.053
estimates,908,2010,5.009
estimates,908,2011,4.967
estimates,908,2012,4.957
estimates,908,2013,4.957
estimates,908,2014,4.945
estimates,908,2015,4.912
medium_variant,908,2015,4.912
medium_variant,908,2016,4.853
medium_variant,908,2017,4.78
medium_variant,908,2018,4.695
medium_variant,908,2019,4.604
medium_variant,908,2020,4.509
medium_variant,908,2021,4.393
medium_variant,908,2022,4.274
medium_variant,908,2023,4.157
medium_variant,908,2024,4.044
medium_variant,908,2025,3.937
medium_variant,908,2026,3.827
medium_variant,908,2027,3.725
medium_variant,908,2028,3.627
medium_variant,908,2029,3.533
medium_variant,908,2030,3.442
medium_variant,908,2031,3.353
medium_variant,908,2032,3.266
medium_variant,908,2033,3.185
medium_variant,908,2034,3.113
medium_variant,908,2035,3.051
medium_variant,908,2036,2.995
medium_variant,908,2037,2.947
medium_variant,908,2038,2.903
medium_variant,908,2039,2.862
medium_variant,908,2040,2.822
medium_variant,908,2041,2.786
medium_variant,908,2042,2.751
medium_variant,908,2043,2.717
medium_variant,908,2044,2.687
medium_variant,908,2045,2.658
medium_variant,908,2046,2.631
medium_variant,908,2047,2.606
medium_variant,908,2048,2.58
medium_variant,908,2049,2.554
medium_variant,908,2050,2.528
medium_variant,908,2051,2.502
medium_variant,908,2052,2.476
medium_variant,908,2053,2.449
medium_variant,908,2054,2.421
medium_variant,908,2055,2.393
medium_variant,908,2056,2.368
medium_variant,908,2057,2.341
medium_variant,908,2058,2.316
medium_variant,908,2059,2.294
medium_variant,908,2060,2.278
medium_variant,908,2061,2.27
medium_variant,908,2062,2.265
medium_variant,908,2063,2.263
medium_variant,908,2064,2.265
medium_variant,908,2065,2.27
medium_variant,908,2066,2.283
medium_variant,908,2067,2.297
medium_variant,908,2068,2.312
medium_variant,908,2069,2.327
medium_variant,908,2070,2.34
medium_variant,908,2071,2.357
medium_variant,908,2072,2.371
medium_variant,908,2073,2.382
medium_variant,908,2074,2.388
medium_variant,908,2075,2.39
medium_variant,908,2076,2.393
medium_variant,908,2077,2.389
medium_variant,908,2078,2.381
medium_variant,908,2079,2.369
medium_variant,908,2080,2.355
medium_variant,908,2081,2.345
medium_variant,908,2082,2.331
medium_variant,908,2083,2.314
medium_variant,908,2084,2.296
medium_variant,908,2085,2.276
medium_variant,908,2086,2.263
medium_variant,908,2087,2.248
medium_variant,908,2088,2.231
medium_variant,908,2089,2.213
medium_variant,908,2090,2.195
medium_variant,908,2091,2.185
medium_variant,908,2092,2.174
medium_variant,908,2093,2.162
medium_variant,908,2094,2.149
medium_variant,908,2095,2.136
medium_variant,908,2096,2.133
medium_variant,908,2097,2.129
medium_variant,908,2098,2.124
medium_variant,908,2099,2.117
medium_variant,908,2100,2.109
high_variant,908,2015,3.16854277222449
low_variant,908,2015,3.16854277222449
constant_fertility,908,2015,3.16854277222449
instant_replacement,908,2015,3.16854277222449
zero_migration,908,2015,3.16854277222449
constant_mortality,908,2015,3.16854277222449
no_change,908,2015,3.16854277222449
high_variant,908,2020,2.8285498571493
low_variant,908,2020,2.8285498571493
constant_fertility,908,2020,2.8285498571493
instant_replacement,908,2020,2.82854987699056
zero_migration,908,2020,2.8112359709712
constant_mortality,908,2020,2.85856743318243
no_change,908,2020,2.85856743318243
high_variant,908,2025,2.48972883490313
low_variant,908,2025,2.48972883490313
constant_fertility,908,2025,2.48972883490313
instant_replacement,908,2025,2.48972886043254
zero_migration,908,2025,2.455399936137
constant_mortality,908,2025,2.55735397721781
no_change,908,2025,2.55735397721781
high_variant,908,2030,2.19591128066318
low_variant,908,2030,2.19591128066318
constant_fertility,908,2030,2.19591128066318
instant_replacement,908,2030,2.1959113006928
zero_migration,908,2030,2.14560286932863
constant_mortality,908,2030,2.30011160579469
no_change,908,2030,2.30011160579469
high_variant,908,2035,2.02164339400898
low_variant,908,2035,2.02164339400898
constant_fertility,908,2035,2.02164339400898
instant_replacement,908,2035,2.02164342258902
zero_migration,908,2035,1.95644627944987
constant_mortality,908,2035,2.16672106270043
no_change,908,2035,2.16672106270043
high_variant,908,2040,1.89873578830692
low_variant,908,2040,1.89873578830692
constant_fertility,908,2040,1.89873578830692
instant_replacement,908,2040,1.89873581625249
zero_migration,908,2040,1.82017937771602
constant_mortality,908,2040,2.08779564051188
no_change,908,2040,2.08779564051188
high_variant,908,2045,1.83532843614299
low_variant,908,2045,1.77330118999814
constant_fertility,908,2045,1.79613481905459
instant_replacement,908,2045,1.86084561652389
zero_migration,908,2045,1.71314131183712
constant_mortality,908,2045,2.03887802903639
no_change,908,2045,2.02954019809315
high_variant,908,2050,1.78536633373531
low_variant,908,2050,1.6342513411774
constant_fertility,908,2050,1.68904804182128
instant_replacement,908,2050,1.81236405081033
zero_migration,908,2050,1.60811693056299
constant_mortality,908,2050,1.98565530427059
no_change,908,2050,1.96129165199155
high_variant,908,2055,1.75021436923201
low_variant,908,2055,1.49822997483559
constant_fertility,908,2055,1.59138937732916
instant_replacement,908,2055,1.76469285610327
zero_migration,908,2055,1.51582102507093
constant_mortality,908,2055,1.93867956507568
no_change,908,2055,1.89911503856236
high_variant,908,2060,1.78663003293192
low_variant,908,2060,1.43122167589968
constant_fertility,908,2060,1.56472104259161
instant_replacement,908,2060,1.78685203891254
zero_migration,908,2060,1.49815064125858
constant_mortality,908,2060,1.97700304758348
no_change,908,2060,1.92235117979743
high_variant,908,2065,1.88827793741706
low_variant,908,2065,1.41453881190876
constant_fertility,908,2065,1.59168267112372
instant_replacement,908,2065,1.87195197044903
zero_migration,908,2065,1.54423400365768
constant_mortality,908,2065,2.08920678190206
no_change,908,2065,2.01399039820704
high_variant,908,2070,1.99660800531292
low_variant,908,2070,1.38775730785972
constant_fertility,908,2070,1.60855914713758
instant_replacement,908,2070,1.96226713390637
zero_migration,908,2070,1.59189877709757
constant_mortality,908,2070,2.19564035681284
no_change,908,2070,2.09032885279115
high_variant,908,2075,2.06732875262169
low_variant,908,2075,1.31032987683898
constant_fertility,908,2075,1.57338790229441
instant_replacement,908,2075,2.01418014189054
zero_migration,908,2075,1.59064425297087
constant_mortality,908,2075,2.22886773624136
no_change,908,2075,2.08680369586429
high_variant,908,2080,2.12028564493257
low_variant,908,2080,1.20246922813304
constant_fertility,908,2080,1.50930555890287
instant_replacement,908,2080,2.04342711492569
zero_migration,908,2080,1.55824526174825
constant_mortality,908,2080,2.2167886038952
no_change,908,2080,2.03600288494057
high_variant,908,2085,2.08298610258345
low_variant,908,2085,1.14734589716363
constant_fertility,908,2085,1.45634480842348
instant_replacement,908,2085,1.90978720749257
zero_migration,908,2085,1.51812352795373
constant_mortality,908,2085,2.19251674140234
no_change,908,2085,2.00052072418227
high_variant,908,2090,2.02168916161673
low_variant,908,2090,1.12592005930211
constant_fertility,908,2090,1.42110817381867
instant_replacement,908,2090,1.81652402748811
zero_migration,908,2090,1.48736902964065
constant_mortality,908,2090,2.1847418943066
no_change,908,2090,1.99498602340484
high_variant,908,2095,1.97087327882461
low_variant,908,2095,1.13117098508067
constant_fertility,908,2095,1.39843152511227
instant_replacement,908,2095,1.76566383443222
zero_migration,908,2095,1.4760849070649
constant_mortality,908,2095,2.2078416252098
no_change,908,2095,2.01322817294951
high_variant,908,2100,1.94949320158435
low_variant,908,2100,1.13406338122193
constant_fertility,908,2100,1.37573707149364
instant_replacement,908,2100,1.74399699112601
zero_migration,908,2100,1.47574240544981
constant_mortality,908,2100,2.2461678481665
no_change,908,2100,2.03137476397541
