continent,variant,freq,year,rateofnaturalincreaseper1000population
908,estimates,5yearly,1950,10.338
908,estimates,5yearly,1955,10.695
908,estimates,5yearly,1960,9.4
908,estimates,5yearly,1965,6.944
908,estimates,5yearly,1970,5.439
908,estimates,5yearly,1975,4.27
908,estimates,5yearly,1980,3.55
908,estimates,5yearly,1985,3.022
908,estimates,5yearly,1990,0.316000000000001
908,estimates,5yearly,1995,-1.264
908,estimates,5yearly,2000,-1.499
908,estimates,5yearly,2005,-0.525
908,estimates,5yearly,2010,-0.109000000000002
908,constant_fertility,5yearly,2015,-1.068
908,constant_mortality,5yearly,2015,-1.387
908,high_variant,5yearly,2015,0.861000000000001
908,instant_replacement,5yearly,2015,2.113
908,low_variant,5yearly,2015,-2.338
908,medium_variant,5yearly,2015,-0.732000000000001
908,momentum,5yearly,2015,1.385
908,no_change,5yearly,2015,-1.724
908,zero_migration,5yearly,2015,-0.819000000000001
908,constant_fertility,5yearly,2020,-2.001
908,constant_mortality,5yearly,2020,-2.528
908,high_variant,5yearly,2020,1.002
908,instant_replacement,5yearly,2020,1.073
908,low_variant,5yearly,2020,-3.832
908,medium_variant,5yearly,2020,-1.381
908,momentum,5yearly,2020,-0.304
908,no_change,5yearly,2020,-3.153
908,zero_migration,5yearly,2020,-1.641
908,constant_fertility,5yearly,2025,-2.715
908,constant_mortality,5yearly,2025,-3.604
908,high_variant,5yearly,2025,0.725999999999999
908,instant_replacement,5yearly,2025,0.077
908,low_variant,5yearly,2025,-5.006
908,medium_variant,5yearly,2025,-2.063
908,momentum,5yearly,2025,-1.837
908,no_change,5yearly,2025,-4.272
908,zero_migration,5yearly,2025,-2.489
908,constant_fertility,5yearly,2030,-3.162
908,constant_mortality,5yearly,2030,-4.443
908,high_variant,5yearly,2030,0.164999999999999
908,instant_replacement,5yearly,2030,-0.577
908,low_variant,5yearly,2030,-5.521
908,medium_variant,5yearly,2030,-2.566
908,momentum,5yearly,2030,-2.935
908,no_change,5yearly,2030,-5.065
908,zero_migration,5yearly,2030,-3.135
908,constant_fertility,5yearly,2035,-3.537
908,constant_mortality,5yearly,2035,-4.944
908,high_variant,5yearly,2035,0.0630000000000006
908,instant_replacement,5yearly,2035,-0.751999999999999
908,low_variant,5yearly,2035,-5.958
908,medium_variant,5yearly,2035,-2.814
908,momentum,5yearly,2035,-3.414
908,no_change,5yearly,2035,-5.712
908,zero_migration,5yearly,2035,-3.491
908,constant_fertility,5yearly,2040,-4
908,constant_mortality,5yearly,2040,-5.24
908,high_variant,5yearly,2040,0.339
908,instant_replacement,5yearly,2040,-0.497
908,low_variant,5yearly,2040,-6.5
908,medium_variant,5yearly,2040,-2.96
908,momentum,5yearly,2040,-3.308
908,no_change,5yearly,2040,-6.354
908,zero_migration,5yearly,2040,-3.736
908,constant_fertility,5yearly,2045,-4.559
908,constant_mortality,5yearly,2045,-5.502
908,high_variant,5yearly,2045,0.819000000000001
908,instant_replacement,5yearly,2045,-0.0489999999999995
908,low_variant,5yearly,2045,-7.344
908,medium_variant,5yearly,2045,-3.192
908,momentum,5yearly,2045,-2.873
908,no_change,5yearly,2045,-6.984
908,zero_migration,5yearly,2045,-4.099
908,constant_fertility,5yearly,2050,-5.062
908,constant_mortality,5yearly,2050,-5.753
908,high_variant,5yearly,2050,1.289
908,instant_replacement,5yearly,2050,0.184000000000001
908,low_variant,5yearly,2050,-8.348
908,medium_variant,5yearly,2050,-3.491
908,momentum,5yearly,2050,-2.591
908,no_change,5yearly,2050,-7.475
908,zero_migration,5yearly,2050,-4.561
908,constant_fertility,5yearly,2055,-5.395
908,constant_mortality,5yearly,2055,-5.883
908,high_variant,5yearly,2055,1.567
908,instant_replacement,5yearly,2055,0.0239999999999991
908,low_variant,5yearly,2055,-9.205
908,medium_variant,5yearly,2055,-3.744
908,momentum,5yearly,2055,-2.668
908,no_change,5yearly,2055,-7.716
908,zero_migration,5yearly,2055,-4.97
908,constant_fertility,5yearly,2060,-5.48
908,constant_mortality,5yearly,2060,-5.764
908,high_variant,5yearly,2060,1.798
908,instant_replacement,5yearly,2060,-0.119999999999999
908,low_variant,5yearly,2060,-9.686
908,medium_variant,5yearly,2060,-3.77
908,momentum,5yearly,2060,-2.689
908,no_change,5yearly,2060,-7.682
908,zero_migration,5yearly,2060,-5.106
908,constant_fertility,5yearly,2065,-5.375
908,constant_mortality,5yearly,2065,-5.36
908,high_variant,5yearly,2065,2.226
908,instant_replacement,5yearly,2065,0.108000000000001
908,low_variant,5yearly,2065,-9.824
908,medium_variant,5yearly,2065,-3.514
908,momentum,5yearly,2065,-2.254
908,no_change,5yearly,2065,-7.455
908,zero_migration,5yearly,2065,-4.883
908,constant_fertility,5yearly,2070,-5.2
908,constant_mortality,5yearly,2070,-4.772
908,high_variant,5yearly,2070,2.908
908,instant_replacement,5yearly,2070,0.680000000000001
908,low_variant,5yearly,2070,-9.83
908,medium_variant,5yearly,2070,-3.089
908,momentum,5yearly,2070,-1.381
908,no_change,5yearly,2070,-7.144
908,zero_migration,5yearly,2070,-4.421
908,constant_fertility,5yearly,2075,-4.979
908,constant_mortality,5yearly,2075,-4.185
908,high_variant,5yearly,2075,3.732
908,instant_replacement,5yearly,2075,1.399
908,low_variant,5yearly,2075,-9.838
908,medium_variant,5yearly,2075,-2.62
908,momentum,5yearly,2075,-0.384
908,no_change,5yearly,2075,-6.825
908,zero_migration,5yearly,2075,-3.869
908,constant_fertility,5yearly,2080,-4.719
908,constant_mortality,5yearly,2080,-3.788
908,high_variant,5yearly,2080,4.489
908,instant_replacement,5yearly,2080,2.007
908,low_variant,5yearly,2080,-9.899
908,medium_variant,5yearly,2080,-2.208
908,momentum,5yearly,2080,0.327
908,no_change,5yearly,2080,-6.589
908,zero_migration,5yearly,2080,-3.355
908,constant_fertility,5yearly,2085,-4.482
908,constant_mortality,5yearly,2085,-3.666
908,high_variant,5yearly,2085,5.01
908,instant_replacement,5yearly,2085,2.327
908,low_variant,5yearly,2085,-10.032
908,medium_variant,5yearly,2085,-1.918
908,momentum,5yearly,2085,0.499999999999998
908,no_change,5yearly,2085,-6.531
908,zero_migration,5yearly,2085,-2.969
908,constant_fertility,5yearly,2090,-4.39
908,constant_mortality,5yearly,2090,-3.727
908,high_variant,5yearly,2090,5.238
908,instant_replacement,5yearly,2090,2.335
908,low_variant,5yearly,2090,-10.291
908,medium_variant,5yearly,2090,-1.795
908,momentum,5yearly,2090,0.237
908,no_change,5yearly,2090,-6.623
908,zero_migration,5yearly,2090,-2.779
908,constant_fertility,5yearly,2095,-4.497
908,constant_mortality,5yearly,2095,-3.76
908,high_variant,5yearly,2095,5.272
908,instant_replacement,5yearly,2095,2.157
908,low_variant,5yearly,2095,-10.672
908,medium_variant,5yearly,2095,-1.814
908,momentum,5yearly,2095,-0.124000000000001
908,no_change,5yearly,2095,-6.715
908,zero_migration,5yearly,2095,-2.772
