variant,continent,year,rateofnaturalincreaseper1000population
estimates,903,1950,20.546
estimates,903,1951,20.78
estimates,903,1952,21.243
estimates,903,1953,21.693
estimates,903,1954,22.132
estimates,903,1955,22.557
estimates,903,1956,22.97
estimates,903,1957,23.368
estimates,903,1958,23.749
estimates,903,1959,24.111
estimates,903,1960,24.449
estimates,903,1961,24.759
estimates,903,1962,25.04
estimates,903,1963,25.292
estimates,903,1964,25.518
estimates,903,1965,25.727
estimates,903,1966,25.928
estimates,903,1967,26.129
estimates,903,1968,26.338
estimates,903,1969,26.559
estimates,903,1970,26.792
estimates,903,1971,27.038
estimates,903,1972,27.289
estimates,903,1973,27.538
estimates,903,1974,27.778
estimates,903,1975,28.005
estimates,903,1976,28.216
estimates,903,1977,28.407
estimates,903,1978,28.573
estimates,903,1979,28.709
estimates,903,1980,28.808
estimates,903,1981,28.869
estimates,903,1982,28.889
estimates,903,1983,28.867
estimates,903,1984,28.8
estimates,903,1985,28.675
estimates,903,1986,28.483
estimates,903,1987,28.223
estimates,903,1988,27.904
estimates,903,1989,27.54
estimates,903,1990,27.15
estimates,903,1991,26.758
estimates,903,1992,26.383
estimates,903,1993,26.046
estimates,903,1994,25.76
estimates,903,1995,25.53
estimates,903,1996,25.354
estimates,903,1997,25.219
estimates,903,1998,25.117
estimates,903,1999,25.046
estimates,903,2000,25.012
estimates,903,2001,25.021
estimates,903,2002,25.076
estimates,903,2003,25.175
estimates,903,2004,25.309
estimates,903,2005,25.473
estimates,903,2006,25.66
estimates,903,2007,25.856
estimates,903,2008,26.046
estimates,903,2009,26.213
estimates,903,2010,26.335
estimates,903,2011,26.395
estimates,903,2012,26.385
estimates,903,2013,26.307
estimates,903,2014,26.161
estimates,903,2015,25.955
medium_variant,903,2015,25.955
medium_variant,903,2016,25.701
medium_variant,903,2017,25.42
medium_variant,903,2018,25.13
medium_variant,903,2019,24.842
medium_variant,903,2020,24.564
medium_variant,903,2021,24.3
medium_variant,903,2022,24.046
medium_variant,903,2023,23.797
medium_variant,903,2024,23.556
medium_variant,903,2025,23.323
medium_variant,903,2026,23.098
medium_variant,903,2027,22.88
medium_variant,903,2028,22.667
medium_variant,903,2029,22.456
medium_variant,903,2030,22.248
medium_variant,903,2031,22.04
medium_variant,903,2032,21.831
medium_variant,903,2033,21.62
medium_variant,903,2034,21.406
medium_variant,903,2035,21.186
medium_variant,903,2036,20.961
medium_variant,903,2037,20.731
medium_variant,903,2038,20.495
medium_variant,903,2039,20.254
medium_variant,903,2040,20.008
medium_variant,903,2041,19.757
medium_variant,903,2042,19.502
medium_variant,903,2043,19.243
medium_variant,903,2044,18.981
medium_variant,903,2045,18.718
medium_variant,903,2046,18.453
medium_variant,903,2047,18.188
medium_variant,903,2048,17.922
medium_variant,903,2049,17.657
medium_variant,903,2050,17.392
medium_variant,903,2051,17.129
medium_variant,903,2052,16.866
medium_variant,903,2053,16.604
medium_variant,903,2054,16.344
medium_variant,903,2055,16.086
medium_variant,903,2056,15.831
medium_variant,903,2057,15.578
medium_variant,903,2058,15.329
medium_variant,903,2059,15.082
medium_variant,903,2060,14.839
medium_variant,903,2061,14.599
medium_variant,903,2062,14.361
medium_variant,903,2063,14.124
medium_variant,903,2064,13.889
medium_variant,903,2065,13.655
medium_variant,903,2066,13.422
medium_variant,903,2067,13.189
medium_variant,903,2068,12.957
medium_variant,903,2069,12.725
medium_variant,903,2070,12.493
medium_variant,903,2071,12.262
medium_variant,903,2072,12.032
medium_variant,903,2073,11.803
medium_variant,903,2074,11.574
medium_variant,903,2075,11.348
medium_variant,903,2076,11.122
medium_variant,903,2077,10.898
medium_variant,903,2078,10.676
medium_variant,903,2079,10.456
medium_variant,903,2080,10.237
medium_variant,903,2081,10.02
medium_variant,903,2082,9.805
medium_variant,903,2083,9.591
medium_variant,903,2084,9.379
medium_variant,903,2085,9.17
medium_variant,903,2086,8.961
medium_variant,903,2087,8.755
medium_variant,903,2088,8.55
medium_variant,903,2089,8.347
medium_variant,903,2090,8.146
medium_variant,903,2091,7.946
medium_variant,903,2092,7.749
medium_variant,903,2093,7.553
medium_variant,903,2094,7.359
medium_variant,903,2095,7.167
medium_variant,903,2096,6.976
medium_variant,903,2097,6.788
medium_variant,903,2098,6.601
medium_variant,903,2099,6.417
