country,variant,freq,year,rateofnaturalincreaseper1000population
112,estimates,5yearly,1950,10.118
112,estimates,5yearly,1955,13.782
112,estimates,5yearly,1960,12.917
112,estimates,5yearly,1965,8.496
112,estimates,5yearly,1970,6.593
112,estimates,5yearly,1975,5.86
112,estimates,5yearly,1980,5.892
112,estimates,5yearly,1985,4.892
112,estimates,5yearly,1990,-0.18
112,estimates,5yearly,1995,-5.247
112,estimates,5yearly,2000,-6.228
112,estimates,5yearly,2005,-4.441
112,estimates,5yearly,2010,-2.461
112,constantfertility,5yearly,2015,-3.86
112,constantmortality,5yearly,2015,-3.458
112,highvariant,5yearly,2015,-1.233
112,instantreplacement,5yearly,2015,0.119999999999999
112,lowvariant,5yearly,2015,-4.773
112,mediumvariant,5yearly,2015,-2.995
112,nochange,5yearly,2015,-4.324
112,zeromigration,5yearly,2015,-3.01
112,constantfertility,5yearly,2020,-5.309
112,constantmortality,5yearly,2020,-4.702
112,highvariant,5yearly,2020,-1.347
112,instantreplacement,5yearly,2020,-1.365
112,lowvariant,5yearly,2020,-6.522
112,mediumvariant,5yearly,2020,-3.895
112,nochange,5yearly,2020,-6.125
112,zeromigration,5yearly,2020,-3.941
112,constantfertility,5yearly,2025,-6.275
112,constantmortality,5yearly,2025,-6.089
112,highvariant,5yearly,2025,-2.118
112,instantreplacement,5yearly,2025,-2.884
112,lowvariant,5yearly,2025,-8.019
112,mediumvariant,5yearly,2025,-4.984
112,nochange,5yearly,2025,-7.406
112,zeromigration,5yearly,2025,-5.064
112,constantfertility,5yearly,2030,-6.498
112,constantmortality,5yearly,2030,-7.039
112,highvariant,5yearly,2030,-2.77
112,instantreplacement,5yearly,2030,-3.641
112,lowvariant,5yearly,2030,-8.66
112,mediumvariant,5yearly,2030,-5.593
112,nochange,5yearly,2030,-7.984
112,zeromigration,5yearly,2030,-5.704
112,constantfertility,5yearly,2035,-6.599
112,constantmortality,5yearly,2035,-7.192
112,highvariant,5yearly,2035,-2.331
112,instantreplacement,5yearly,2035,-3.32
112,lowvariant,5yearly,2035,-8.954
112,mediumvariant,5yearly,2035,-5.489
112,nochange,5yearly,2035,-8.365
112,zeromigration,5yearly,2035,-5.621
112,constantfertility,5yearly,2040,-7.068
112,constantmortality,5yearly,2040,-6.862
112,highvariant,5yearly,2040,-1.173
112,instantreplacement,5yearly,2040,-2.201
112,lowvariant,5yearly,2040,-9.228
112,mediumvariant,5yearly,2040,-5.053
112,nochange,5yearly,2040,-8.987
112,zeromigration,5yearly,2040,-5.202
112,constantfertility,5yearly,2045,-7.697
112,constantmortality,5yearly,2045,-6.619
112,highvariant,5yearly,2045,0.0599999999999987
112,instantreplacement,5yearly,2045,-1.059
112,lowvariant,5yearly,2045,-9.802
112,mediumvariant,5yearly,2045,-4.762
112,nochange,5yearly,2045,-9.736
112,zeromigration,5yearly,2045,-4.93
112,constantfertility,5yearly,2050,-8.107
112,constantmortality,5yearly,2050,-6.709
112,highvariant,5yearly,2050,0.811
112,instantreplacement,5yearly,2050,-0.699999999999999
112,lowvariant,5yearly,2050,-10.605
112,mediumvariant,5yearly,2050,-4.787
112,nochange,5yearly,2050,-10.283
112,zeromigration,5yearly,2050,-4.981
112,constantfertility,5yearly,2055,-8.178
112,constantmortality,5yearly,2055,-6.969
112,highvariant,5yearly,2055,1.028
112,instantreplacement,5yearly,2055,-1.027
112,lowvariant,5yearly,2055,-11.328
112,mediumvariant,5yearly,2055,-4.952
112,nochange,5yearly,2055,-10.502
112,zeromigration,5yearly,2055,-5.173
112,constantfertility,5yearly,2060,-8.083
112,constantmortality,5yearly,2060,-7.022
112,highvariant,5yearly,2060,1.222
112,instantreplacement,5yearly,2060,-1.225
112,lowvariant,5yearly,2060,-11.79
112,mediumvariant,5yearly,2060,-4.944
112,nochange,5yearly,2060,-10.516
112,zeromigration,5yearly,2060,-5.182
112,constantfertility,5yearly,2065,-7.975
112,constantmortality,5yearly,2065,-6.524
112,highvariant,5yearly,2065,1.944
112,instantreplacement,5yearly,2065,-0.712999999999999
112,lowvariant,5yearly,2065,-11.895
112,mediumvariant,5yearly,2065,-4.488
112,nochange,5yearly,2065,-10.426
112,zeromigration,5yearly,2065,-4.727
112,constantfertility,5yearly,2070,-8.033
112,constantmortality,5yearly,2070,-5.506
112,highvariant,5yearly,2070,3.076
112,instantreplacement,5yearly,2070,0.272
112,lowvariant,5yearly,2070,-11.889
112,mediumvariant,5yearly,2070,-3.793
112,nochange,5yearly,2070,-10.208
112,zeromigration,5yearly,2070,-4.021
112,constantfertility,5yearly,2075,-7.884
112,constantmortality,5yearly,2075,-4.43
112,highvariant,5yearly,2075,4.313
112,instantreplacement,5yearly,2075,1.356
112,lowvariant,5yearly,2075,-11.662
112,mediumvariant,5yearly,2075,-2.966
112,nochange,5yearly,2075,-9.836
112,zeromigration,5yearly,2075,-3.173
112,constantfertility,5yearly,2080,-7.425
112,constantmortality,5yearly,2080,-3.83
112,highvariant,5yearly,2080,5.198
112,instantreplacement,5yearly,2080,2.05
112,lowvariant,5yearly,2080,-11.336
112,mediumvariant,5yearly,2080,-2.276
112,nochange,5yearly,2080,-9.477
112,zeromigration,5yearly,2080,-2.465
112,constantfertility,5yearly,2085,-6.97
112,constantmortality,5yearly,2085,-3.861
112,highvariant,5yearly,2085,5.524
112,instantreplacement,5yearly,2085,2.138
112,lowvariant,5yearly,2085,-11.194
112,mediumvariant,5yearly,2085,-1.936
112,nochange,5yearly,2085,-9.426
112,zeromigration,5yearly,2085,-2.114
112,constantfertility,5yearly,2090,-6.884
112,constantmortality,5yearly,2090,-4.178
112,highvariant,5yearly,2090,5.468
112,instantreplacement,5yearly,2090,1.833
112,lowvariant,5yearly,2090,-11.386
112,mediumvariant,5yearly,2090,-1.926
112,nochange,5yearly,2090,-9.691
112,zeromigration,5yearly,2090,-2.102
112,constantfertility,5yearly,2095,-7.275
112,constantmortality,5yearly,2095,-4.271
112,highvariant,5yearly,2095,5.329
112,instantreplacement,5yearly,2095,1.468
112,lowvariant,5yearly,2095,-11.855
112,mediumvariant,5yearly,2095,-2.095
112,nochange,5yearly,2095,-9.96
112,zeromigration,5yearly,2095,-2.273
