variant,country,year,rateofnaturalincreaseper1000population
estimates,686,1950,19.166
estimates,686,1951,19.585
estimates,686,1952,20.39
estimates,686,1953,21.13
estimates,686,1954,21.807
estimates,686,1955,22.418
estimates,686,1956,22.961
estimates,686,1957,23.435
estimates,686,1958,23.835
estimates,686,1959,24.157
estimates,686,1960,24.391
estimates,686,1961,24.537
estimates,686,1962,24.598
estimates,686,1963,24.592
estimates,686,1964,24.544
estimates,686,1965,24.498
estimates,686,1966,24.498
estimates,686,1967,24.577
estimates,686,1968,24.763
estimates,686,1969,25.069
estimates,686,1970,25.508
estimates,686,1971,26.081
estimates,686,1972,26.753
estimates,686,1973,27.483
estimates,686,1974,28.239
estimates,686,1975,28.979
estimates,686,1976,29.66
estimates,686,1977,30.259
estimates,686,1978,30.761
estimates,686,1979,31.157
estimates,686,1980,31.458
estimates,686,1981,31.69
estimates,686,1982,31.886
estimates,686,1983,32.068
estimates,686,1984,32.241
estimates,686,1985,32.39
estimates,686,1986,32.494
estimates,686,1987,32.529
estimates,686,1988,32.477
estimates,686,1989,32.336
estimates,686,1990,32.106
estimates,686,1991,31.788
estimates,686,1992,31.402
estimates,686,1993,30.98
estimates,686,1994,30.547
estimates,686,1995,30.137
estimates,686,1996,29.781
estimates,686,1997,29.496
estimates,686,1998,29.295
estimates,686,1999,29.187
estimates,686,2000,29.172
estimates,686,2001,29.24
estimates,686,2002,29.366
estimates,686,2003,29.531
estimates,686,2004,29.725
estimates,686,2005,29.956
estimates,686,2006,30.242
estimates,686,2007,30.587
estimates,686,2008,30.975
estimates,686,2009,31.376
estimates,686,2010,31.737
estimates,686,2011,31.999
estimates,686,2012,32.122
estimates,686,2013,32.083
estimates,686,2014,31.88
estimates,686,2015,31.532
medium_variant,686,2015,31.532
medium_variant,686,2016,31.075
medium_variant,686,2017,30.569
medium_variant,686,2018,30.061
medium_variant,686,2019,29.583
medium_variant,686,2020,29.149
medium_variant,686,2021,28.763
medium_variant,686,2022,28.406
medium_variant,686,2023,28.066
medium_variant,686,2024,27.741
medium_variant,686,2025,27.436
medium_variant,686,2026,27.148
medium_variant,686,2027,26.879
medium_variant,686,2028,26.624
medium_variant,686,2029,26.383
medium_variant,686,2030,26.155
medium_variant,686,2031,25.936
medium_variant,686,2032,25.725
medium_variant,686,2033,25.517
medium_variant,686,2034,25.309
medium_variant,686,2035,25.098
medium_variant,686,2036,24.882
medium_variant,686,2037,24.658
medium_variant,686,2038,24.427
medium_variant,686,2039,24.186
medium_variant,686,2040,23.935
medium_variant,686,2041,23.674
medium_variant,686,2042,23.404
medium_variant,686,2043,23.129
medium_variant,686,2044,22.846
medium_variant,686,2045,22.558
medium_variant,686,2046,22.262
medium_variant,686,2047,21.961
medium_variant,686,2048,21.654
medium_variant,686,2049,21.344
medium_variant,686,2050,21.033
medium_variant,686,2051,20.719
medium_variant,686,2052,20.408
medium_variant,686,2053,20.099
medium_variant,686,2054,19.796
medium_variant,686,2055,19.499
medium_variant,686,2056,19.211
medium_variant,686,2057,18.933
medium_variant,686,2058,18.663
medium_variant,686,2059,18.402
medium_variant,686,2060,18.15
medium_variant,686,2061,17.907
medium_variant,686,2062,17.669
medium_variant,686,2063,17.438
medium_variant,686,2064,17.211
medium_variant,686,2065,16.987
medium_variant,686,2066,16.765
medium_variant,686,2067,16.545
medium_variant,686,2068,16.326
medium_variant,686,2069,16.108
medium_variant,686,2070,15.889
medium_variant,686,2071,15.671
medium_variant,686,2072,15.452
medium_variant,686,2073,15.234
medium_variant,686,2074,15.016
medium_variant,686,2075,14.797
medium_variant,686,2076,14.576
medium_variant,686,2077,14.353
medium_variant,686,2078,14.13
medium_variant,686,2079,13.904
medium_variant,686,2080,13.678
medium_variant,686,2081,13.451
medium_variant,686,2082,13.224
medium_variant,686,2083,12.998
medium_variant,686,2084,12.772
medium_variant,686,2085,12.547
medium_variant,686,2086,12.323
medium_variant,686,2087,12.099
medium_variant,686,2088,11.876
medium_variant,686,2089,11.653
medium_variant,686,2090,11.431
medium_variant,686,2091,11.21
medium_variant,686,2092,10.991
medium_variant,686,2093,10.773
medium_variant,686,2094,10.557
medium_variant,686,2095,10.343
medium_variant,686,2096,10.13
medium_variant,686,2097,9.92
medium_variant,686,2098,9.711
medium_variant,686,2099,9.505
