variant,global,year,rateofnaturalincreaseper1000population
Estimates,900,1950,17.697
Estimates,900,1951,17.67
Estimates,900,1952,17.631
Estimates,900,1953,17.625
Estimates,900,1954,17.65
Estimates,900,1955,17.708
Estimates,900,1956,17.8
Estimates,900,1957,17.926
Estimates,900,1958,18.087
Estimates,900,1959,18.285
Estimates,900,1960,18.522
Estimates,900,1961,18.796
Estimates,900,1962,19.101
Estimates,900,1963,19.425
Estimates,900,1964,19.746
Estimates,900,1965,20.038
Estimates,900,1966,20.27
Estimates,900,1967,20.422
Estimates,900,1968,20.482
Estimates,900,1969,20.443
Estimates,900,1970,20.3
Estimates,900,1971,20.056
Estimates,900,1972,19.736
Estimates,900,1973,19.372
Estimates,900,1974,18.988
Estimates,900,1975,18.618
Estimates,900,1976,18.289
Estimates,900,1977,18.019
Estimates,900,1978,17.817
Estimates,900,1979,17.69
Estimates,900,1980,17.644
Estimates,900,1981,17.681
Estimates,900,1982,17.774
Estimates,900,1983,17.891
Estimates,900,1984,18.005
Estimates,900,1985,18.073
Estimates,900,1986,18.055
Estimates,900,1987,17.931
Estimates,900,1988,17.691
Estimates,900,1989,17.337
Estimates,900,1990,16.881
Estimates,900,1991,16.346
Estimates,900,1992,15.773
Estimates,900,1993,15.202
Estimates,900,1994,14.661
Estimates,900,1995,14.173
Estimates,900,1996,13.752
Estimates,900,1997,13.393
Estimates,900,1998,13.092
Estimates,900,1999,12.849
Estimates,900,2000,12.665
Estimates,900,2001,12.533
Estimates,900,2002,12.441
Estimates,900,2003,12.376
Estimates,900,2004,12.327
Estimates,900,2005,12.285
Estimates,900,2006,12.246
Estimates,900,2007,12.207
Estimates,900,2008,12.161
Estimates,900,2009,12.105
Estimates,900,2010,12.031
Estimates,900,2011,11.935
Estimates,900,2012,11.818
Estimates,900,2013,11.681
Estimates,900,2014,11.523
Estimates,900,2015,11.345
Medium_variant,900,2015,11.345
Medium_variant,900,2016,11.148
Medium_variant,900,2017,10.934
Medium_variant,900,2018,10.709
Medium_variant,900,2019,10.477
Medium_variant,900,2020,10.241
Medium_variant,900,2021,10.006
Medium_variant,900,2022,9.773
Medium_variant,900,2023,9.545
Medium_variant,900,2024,9.324
Medium_variant,900,2025,9.114
Medium_variant,900,2026,8.913
Medium_variant,900,2027,8.722
Medium_variant,900,2028,8.538
Medium_variant,900,2029,8.362
Medium_variant,900,2030,8.193
Medium_variant,900,2031,8.03
Medium_variant,900,2032,7.873
Medium_variant,900,2033,7.721
Medium_variant,900,2034,7.572
Medium_variant,900,2035,7.427
Medium_variant,900,2036,7.284
Medium_variant,900,2037,7.143
Medium_variant,900,2038,7.003
Medium_variant,900,2039,6.864
Medium_variant,900,2040,6.725
Medium_variant,900,2041,6.585
Medium_variant,900,2042,6.444
Medium_variant,900,2043,6.303
Medium_variant,900,2044,6.16
Medium_variant,900,2045,6.017
Medium_variant,900,2046,5.873
Medium_variant,900,2047,5.729
Medium_variant,900,2048,5.585
Medium_variant,900,2049,5.442
Medium_variant,900,2050,5.299
Medium_variant,900,2051,5.157
Medium_variant,900,2052,5.016
Medium_variant,900,2053,4.875
Medium_variant,900,2054,4.737
Medium_variant,900,2055,4.601
Medium_variant,900,2056,4.468
Medium_variant,900,2057,4.339
Medium_variant,900,2058,4.215
Medium_variant,900,2059,4.095
Medium_variant,900,2060,3.982
Medium_variant,900,2061,3.874
Medium_variant,900,2062,3.773
Medium_variant,900,2063,3.676
Medium_variant,900,2064,3.584
Medium_variant,900,2065,3.496
Medium_variant,900,2066,3.412
Medium_variant,900,2067,3.329
Medium_variant,900,2068,3.249
Medium_variant,900,2069,3.169
Medium_variant,900,2070,3.089
Medium_variant,900,2071,3.01
Medium_variant,900,2072,2.931
Medium_variant,900,2073,2.852
Medium_variant,900,2074,2.774
Medium_variant,900,2075,2.697
Medium_variant,900,2076,2.62
Medium_variant,900,2077,2.543
Medium_variant,900,2078,2.467
Medium_variant,900,2079,2.393
Medium_variant,900,2080,2.32
Medium_variant,900,2081,2.249
Medium_variant,900,2082,2.181
Medium_variant,900,2083,2.115
Medium_variant,900,2084,2.052
Medium_variant,900,2085,1.991
Medium_variant,900,2086,1.933
Medium_variant,900,2087,1.876
Medium_variant,900,2088,1.821
Medium_variant,900,2089,1.765
Medium_variant,900,2090,1.71
Medium_variant,900,2091,1.655
Medium_variant,900,2092,1.598
Medium_variant,900,2093,1.541
Medium_variant,900,2094,1.483
Medium_variant,900,2095,1.423
Medium_variant,900,2096,1.363
Medium_variant,900,2097,1.301
Medium_variant,900,2098,1.237
Medium_variant,900,2099,1.173
