region,variant,freq,year,rateofnaturalincreaseper1000population
906,estimates,5yearly,1950,18.915
906,estimates,5yearly,1955,15.152
906,estimates,5yearly,1960,18.512
906,estimates,5yearly,1965,24.586
906,estimates,5yearly,1970,21.167
906,estimates,5yearly,1975,14.683
906,estimates,5yearly,1980,14.127
906,estimates,5yearly,1985,16.478
906,estimates,5yearly,1990,10.577
906,estimates,5yearly,1995,6.601
906,estimates,5yearly,2000,5.755
906,estimates,5yearly,2005,5.426
906,estimates,5yearly,2010,4.982
906,constant_fertility,5yearly,2015,3.225
906,constant_mortality,5yearly,2015,3.094
906,high_variant,5yearly,2015,5.26
906,instant_replacement,5yearly,2015,7.363
906,low_variant,5yearly,2015,1.842
906,medium_variant,5yearly,2015,3.558
906,momentum,5yearly,2015,6.949
906,no_change,5yearly,2015,2.761
906,zero_migration,5yearly,2015,3.566
906,constant_fertility,5yearly,2020,1.035
906,constant_mortality,5yearly,2020,0.887
906,high_variant,5yearly,2020,4.175
906,instant_replacement,5yearly,2020,4.82
906,low_variant,5yearly,2020,-0.661
906,medium_variant,5yearly,2020,1.793
906,momentum,5yearly,2020,4.024
906,no_change,5yearly,2020,0.125
906,zero_migration,5yearly,2020,1.813
906,constant_fertility,5yearly,2025,-0.675000000000001
906,constant_mortality,5yearly,2025,-1.135
906,high_variant,5yearly,2025,2.943
906,instant_replacement,5yearly,2025,2.789
906,low_variant,5yearly,2025,-2.641
906,medium_variant,5yearly,2025,0.228999999999999
906,momentum,5yearly,2025,1.604
906,no_change,5yearly,2025,-2.053
906,zero_migration,5yearly,2025,0.26
906,constant_fertility,5yearly,2030,-1.886
906,constant_mortality,5yearly,2030,-2.949
906,high_variant,5yearly,2030,1.502
906,instant_replacement,5yearly,2030,1.226
906,low_variant,5yearly,2030,-3.933
906,medium_variant,5yearly,2030,-1.106
906,momentum,5yearly,2030,-0.363000000000001
906,no_change,5yearly,2030,-3.759
906,zero_migration,5yearly,2030,-1.064
906,constant_fertility,5yearly,2035,-3.04
906,constant_mortality,5yearly,2035,-4.549
906,high_variant,5yearly,2035,0.51
906,instant_replacement,5yearly,2035,0.286
906,low_variant,5yearly,2035,-5.271
906,medium_variant,5yearly,2035,-2.266
906,momentum,5yearly,2035,-1.643
906,no_change,5yearly,2035,-5.375
906,zero_migration,5yearly,2035,-2.215
906,constant_fertility,5yearly,2040,-4.407
906,constant_mortality,5yearly,2040,-5.908
906,high_variant,5yearly,2040,0.0269999999999992
906,instant_replacement,5yearly,2040,-0.0190000000000001
906,low_variant,5yearly,2040,-6.711
906,medium_variant,5yearly,2040,-3.263
906,momentum,5yearly,2040,-2.168
906,no_change,5yearly,2040,-7.148
906,zero_migration,5yearly,2040,-3.2
906,constant_fertility,5yearly,2045,-5.896
906,constant_mortality,5yearly,2045,-7.08
906,high_variant,5yearly,2045,-0.173999999999999
906,instant_replacement,5yearly,2045,-0.154999999999999
906,low_variant,5yearly,2045,-8.323
906,medium_variant,5yearly,2045,-4.22
906,momentum,5yearly,2045,-2.341
906,no_change,5yearly,2045,-8.916
906,zero_migration,5yearly,2045,-4.143
906,constant_fertility,5yearly,2050,-7.156
906,constant_mortality,5yearly,2050,-8.039
906,high_variant,5yearly,2050,-0.317
906,instant_replacement,5yearly,2050,-0.531000000000001
906,low_variant,5yearly,2050,-9.958
906,medium_variant,5yearly,2050,-5.126
906,momentum,5yearly,2050,-2.596
906,no_change,5yearly,2050,-10.303
906,zero_migration,5yearly,2050,-5.034
906,constant_fertility,5yearly,2055,-7.971
906,constant_mortality,5yearly,2055,-8.672
906,high_variant,5yearly,2055,-0.432
906,instant_replacement,5yearly,2055,-1.096
906,low_variant,5yearly,2055,-11.325
906,medium_variant,5yearly,2055,-5.815
906,momentum,5yearly,2055,-2.974
906,no_change,5yearly,2055,-11.131
906,zero_migration,5yearly,2055,-5.709
906,constant_fertility,5yearly,2060,-8.419
906,constant_mortality,5yearly,2060,-8.915
906,high_variant,5yearly,2060,-0.373999999999999
906,instant_replacement,5yearly,2060,-1.392
906,low_variant,5yearly,2060,-12.249
906,medium_variant,5yearly,2060,-6.139
906,momentum,5yearly,2060,-3.086
906,no_change,5yearly,2060,-11.57
906,zero_migration,5yearly,2060,-6.025
906,constant_fertility,5yearly,2065,-8.744
906,constant_mortality,5yearly,2065,-8.79
906,high_variant,5yearly,2065,-0.043000000000001
906,instant_replacement,5yearly,2065,-1.224
906,low_variant,5yearly,2065,-12.853
906,medium_variant,5yearly,2065,-6.151
906,momentum,5yearly,2065,-2.701
906,no_change,5yearly,2065,-11.85
906,zero_migration,5yearly,2065,-6.036
906,constant_fertility,5yearly,2070,-9.147
906,constant_mortality,5yearly,2070,-8.357
906,high_variant,5yearly,2070,0.518000000000001
906,instant_replacement,5yearly,2070,-0.721
906,low_variant,5yearly,2070,-13.452
906,medium_variant,5yearly,2070,-6.051
906,momentum,5yearly,2070,-1.841
906,no_change,5yearly,2070,-12.015
906,zero_migration,5yearly,2070,-5.937
906,constant_fertility,5yearly,2075,-9.509
906,constant_mortality,5yearly,2075,-7.712
906,high_variant,5yearly,2075,1.221
906,instant_replacement,5yearly,2075,-0.109000000000002
906,low_variant,5yearly,2075,-14.118
906,medium_variant,5yearly,2075,-5.908
906,momentum,5yearly,2075,-0.811
906,no_change,5yearly,2075,-11.938
906,zero_migration,5yearly,2075,-5.795
906,constant_fertility,5yearly,2080,-9.567
906,constant_mortality,5yearly,2080,-7.115
906,high_variant,5yearly,2080,2.003
906,instant_replacement,5yearly,2080,0.473000000000001
906,low_variant,5yearly,2080,-14.633
906,medium_variant,5yearly,2080,-5.616
906,momentum,5yearly,2080,-0.0800000000000001
906,no_change,5yearly,2080,-11.721
906,zero_migration,5yearly,2080,-5.508
906,constant_fertility,5yearly,2085,-9.318
906,constant_mortality,5yearly,2085,-6.809
906,high_variant,5yearly,2085,2.737
906,instant_replacement,5yearly,2085,0.91
