variant,region,year,rateofnaturalincreaseper1000population
Estimates,922,1950,24.99
Estimates,922,1951,24.923
Estimates,922,1952,24.809
Estimates,922,1953,24.736
Estimates,922,1954,24.703
Estimates,922,1955,24.71
Estimates,922,1956,24.755
Estimates,922,1957,24.836
Estimates,922,1958,24.949
Estimates,922,1959,25.086
Estimates,922,1960,25.237
Estimates,922,1961,25.393
Estimates,922,1962,25.544
Estimates,922,1963,25.683
Estimates,922,1964,25.808
Estimates,922,1965,25.923
Estimates,922,1966,26.039
Estimates,922,1967,26.166
Estimates,922,1968,26.308
Estimates,922,1969,26.462
Estimates,922,1970,26.621
Estimates,922,1971,26.774
Estimates,922,1972,26.908
Estimates,922,1973,27.013
Estimates,922,1974,27.084
Estimates,922,1975,27.122
Estimates,922,1976,27.132
Estimates,922,1977,27.121
Estimates,922,1978,27.093
Estimates,922,1979,27.045
Estimates,922,1980,26.972
Estimates,922,1981,26.864
Estimates,922,1982,26.714
Estimates,922,1983,26.518
Estimates,922,1984,26.277
Estimates,922,1985,25.99
Estimates,922,1986,25.661
Estimates,922,1987,25.296
Estimates,922,1988,24.908
Estimates,922,1989,24.505
Estimates,922,1990,24.098
Estimates,922,1991,23.694
Estimates,922,1992,23.299
Estimates,922,1993,22.915
Estimates,922,1994,22.545
Estimates,922,1995,22.185
Estimates,922,1996,21.828
Estimates,922,1997,21.466
Estimates,922,1998,21.099
Estimates,922,1999,20.729
Estimates,922,2000,20.37
Estimates,922,2001,20.035
Estimates,922,2002,19.736
Estimates,922,2003,19.477
Estimates,922,2004,19.258
Estimates,922,2005,19.072
Estimates,922,2006,18.909
Estimates,922,2007,18.753
Estimates,922,2008,18.589
Estimates,922,2009,18.407
Estimates,922,2010,18.198
Estimates,922,2011,17.957
Estimates,922,2012,17.687
Estimates,922,2013,17.394
Estimates,922,2014,17.079
Estimates,922,2015,16.749
Medium_variant,922,2015,16.749
Medium_variant,922,2016,16.41
Medium_variant,922,2017,16.069
Medium_variant,922,2018,15.733
Medium_variant,922,2019,15.406
Medium_variant,922,2020,15.092
Medium_variant,922,2021,14.788
Medium_variant,922,2022,14.493
Medium_variant,922,2023,14.204
Medium_variant,922,2024,13.921
Medium_variant,922,2025,13.644
Medium_variant,922,2026,13.376
Medium_variant,922,2027,13.117
Medium_variant,922,2028,12.866
Medium_variant,922,2029,12.625
Medium_variant,922,2030,12.391
Medium_variant,922,2031,12.166
Medium_variant,922,2032,11.947
Medium_variant,922,2033,11.733
Medium_variant,922,2034,11.522
Medium_variant,922,2035,11.314
Medium_variant,922,2036,11.106
Medium_variant,922,2037,10.9
Medium_variant,922,2038,10.694
Medium_variant,922,2039,10.486
Medium_variant,922,2040,10.275
Medium_variant,922,2041,10.06
Medium_variant,922,2042,9.841
Medium_variant,922,2043,9.618
Medium_variant,922,2044,9.391
Medium_variant,922,2045,9.161
Medium_variant,922,2046,8.928
Medium_variant,922,2047,8.693
Medium_variant,922,2048,8.457
Medium_variant,922,2049,8.223
Medium_variant,922,2050,7.991
Medium_variant,922,2051,7.761
Medium_variant,922,2052,7.534
Medium_variant,922,2053,7.31
Medium_variant,922,2054,7.089
Medium_variant,922,2055,6.874
Medium_variant,922,2056,6.664
Medium_variant,922,2057,6.46
Medium_variant,922,2058,6.262
Medium_variant,922,2059,6.07
Medium_variant,922,2060,5.885
Medium_variant,922,2061,5.707
Medium_variant,922,2062,5.535
Medium_variant,922,2063,5.369
Medium_variant,922,2064,5.208
Medium_variant,922,2065,5.053
Medium_variant,922,2066,4.904
Medium_variant,922,2067,4.76
Medium_variant,922,2068,4.621
Medium_variant,922,2069,4.487
Medium_variant,922,2070,4.358
Medium_variant,922,2071,4.232
Medium_variant,922,2072,4.109
Medium_variant,922,2073,3.99
Medium_variant,922,2074,3.873
Medium_variant,922,2075,3.758
Medium_variant,922,2076,3.646
Medium_variant,922,2077,3.535
Medium_variant,922,2078,3.426
Medium_variant,922,2079,3.318
Medium_variant,922,2080,3.212
Medium_variant,922,2081,3.107
Medium_variant,922,2082,3.003
Medium_variant,922,2083,2.901
Medium_variant,922,2084,2.8
Medium_variant,922,2085,2.7
Medium_variant,922,2086,2.6
Medium_variant,922,2087,2.5
Medium_variant,922,2088,2.401
Medium_variant,922,2089,2.302
Medium_variant,922,2090,2.204
Medium_variant,922,2091,2.107
Medium_variant,922,2092,2.012
Medium_variant,922,2093,1.919
Medium_variant,922,2094,1.828
Medium_variant,922,2095,1.739
Medium_variant,922,2096,1.653
Medium_variant,922,2097,1.569
Medium_variant,922,2098,1.487
Medium_variant,922,2099,1.409
