continent,year,variant,agebroad,sexratio_maleper100female
935,1950,estimates,"Region, subregion, country or area *",ASIA
935,1950,estimates,total,104.913121047345
935,1950,estimates,0_1,103.451848956529
935,1950,estimates,0_4,104.303502637382
935,1950,estimates,0_14,105.990204053497
935,1950,estimates,0_17,106.091788933171
935,1950,estimates,0_19,106.173676590412
935,1950,estimates,0_24,106.492099588259
935,1950,estimates,3_4,105.297525097614
935,1950,estimates,3_5,105.556127991809
935,1950,estimates,3_6,105.790603645484
935,1950,estimates,4_5,105.847718931608
935,1950,estimates,4_6,106.075128821282
935,1950,estimates,5_10,106.91484612408
935,1950,estimates,5_11,106.996370629417
935,1950,estimates,5_14,107.093223026297
935,1950,estimates,6_9,106.997872313316
935,1950,estimates,6_10,107.088218325318
935,1950,estimates,6_11,107.156315469666
935,1950,estimates,6_12,107.19997953517
935,1950,estimates,7_10,107.227802416821
935,1950,estimates,7_12,107.31343967671
935,1950,estimates,11_16,107.186308639945
935,1950,estimates,11_17,107.096293343122
935,1950,estimates,11_18,107.063422769548
935,1950,estimates,12_14,107.33217171434
935,1950,estimates,12_16,107.119933411912
935,1950,estimates,12_17,107.02488976532
935,1950,estimates,12_18,106.996735447385
935,1950,estimates,13_17,106.931767363007
935,1950,estimates,13_18,106.913470250091
935,1950,estimates,13_19,106.972535420918
935,1950,estimates,15plus,104.30143669734
935,1950,estimates,15_17,106.702661121983
935,1950,estimates,15_24,107.474823045652
935,1950,estimates,15_49,106.754633846442
935,1950,estimates,15_59,106.416352918064
935,1950,estimates,15_64,105.926848418408
935,1950,estimates,16plus,104.214000780696
935,1950,estimates,17plus,104.132855000308
935,1950,estimates,18plus,104.0510146676
935,1950,estimates,18_23,107.901591687156
935,1950,estimates,20plus,103.836992947
935,1950,estimates,20_64,105.743308813799
935,1950,estimates,20_69,105.091012591798
935,1950,estimates,21plus,103.695519901115
935,1950,estimates,25plus,103.005003283402
935,1950,estimates,25_49,106.323949063073
935,1950,estimates,25_64,105.224402335488
935,1950,estimates,25_69,104.464022873496
935,1950,estimates,50plus,95.8492219764952
935,1950,estimates,60plus,87.7441740302253
935,1950,estimates,65plus,82.9678594069894
935,1950,estimates,70plus,78.3215809937755
935,1950,estimates,75plus,72.574523998898
935,1950,estimates,80plus,64.7730435946605
935,1950,estimates,85plus,58.2279795702913
935,1950,estimates,90plus,48.949202346798
935,1955,estimates,"Region, subregion, country or area *",ASIA
935,1955,estimates,total,104.637347549771
935,1955,estimates,0_1,105.563098516363
935,1955,estimates,0_4,105.031256226072
935,1955,estimates,0_14,105.349147882926
935,1955,estimates,0_17,105.612814494338
935,1955,estimates,0_19,105.728949182301
935,1955,estimates,0_24,105.848514266307
935,1955,estimates,3_4,104.470270863728
935,1955,estimates,3_5,104.423048839595
935,1955,estimates,3_6,104.41630126943
935,1955,estimates,4_5,104.34806339155
935,1955,estimates,4_6,104.362339091289
935,1955,estimates,5_10,104.844932765167
935,1955,estimates,5_11,105.041081783018
935,1955,estimates,5_14,105.583508259705
935,1955,estimates,6_9,104.779569441274
935,1955,estimates,6_10,104.967024122248
935,1955,estimates,6_11,105.183537696936
935,1955,estimates,6_12,105.402567188469
935,1955,estimates,7_10,105.12836376448
935,1955,estimates,7_12,105.598666981068
935,1955,estimates,11_16,107.055811217322
935,1955,estimates,11_17,107.104630702163
935,1955,estimates,11_18,107.120589640311
