continent,variant,year,sexratio_maleper100female
935,estimates,1950,104.792922043653
935,estimates,1955,104.505706598607
935,estimates,1960,104.279448052502
935,estimates,1965,104.191383763091
935,estimates,1970,104.100453575554
935,estimates,1975,104.172211567546
935,estimates,1980,104.191775732646
935,estimates,1985,104.154646764193
935,estimates,1990,104.273327296554
935,estimates,1995,104.369798363264
935,estimates,2000,104.317927384928
935,estimates,2005,104.512838811097
935,estimates,2010,104.678421468735
935,constant-fertility,2015,104.690648624011
935,constant-mortality,2015,104.690648624011
935,estimates,2015,104.690648624011
935,high variant,2015,104.690648624011
935,instant-replacement,2015,104.690648624011
935,low variant,2015,104.690648624011
935,medium variant,2015,104.690648624011
935,no change,2015,104.690648624011
935,zero-migration,2015,104.690648624011
935,constant-fertility,2020,104.614227218401
935,constant-mortality,2020,104.570137674487
935,high variant,2020,104.627935208609
935,instant-replacement,2020,104.634340057736
935,low variant,2020,104.534509874387
935,medium variant,2020,104.581642357863
935,no change,2020,104.575085115375
935,zero-migration,2020,104.579553798677
935,constant-fertility,2025,104.486963887144
935,constant-mortality,2025,104.356187853121
935,high variant,2025,104.501201638505
935,instant-replacement,2025,104.483227397506
935,low variant,2025,104.280369038216
935,medium variant,2025,104.393240017945
935,no change,2025,104.373317136716
935,zero-migration,2025,104.395933367391
935,constant-fertility,2030,104.341941008541
935,constant-mortality,2030,104.07629541444
935,high variant,2030,104.332164040371
935,instant-replacement,2030,104.277431858813
935,low variant,2030,103.966782941716
935,medium variant,2030,104.1563706949
935,no change,2030,104.114121153113
935,zero-migration,2030,104.162465331005
935,constant-fertility,2035,104.216578868523
935,constant-mortality,2035,103.76915495976
935,high variant,2035,104.149723066861
935,instant-replacement,2035,104.060529513766
935,low variant,2035,103.644828250622
935,medium variant,2035,103.910492241487
935,no change,2035,103.838069129494
935,zero-migration,2035,103.91873227218
935,constant-fertility,2040,104.125216765146
935,constant-mortality,2040,103.46386837714
935,high variant,2040,103.974721391279
935,instant-replacement,2040,103.852034937951
935,low variant,2040,103.324225573377
935,medium variant,2040,103.670210738025
935,no change,2040,103.575307312845
935,zero-migration,2040,103.677432237861
935,constant-fertility,2045,104.108926909095
935,constant-mortality,2045,103.179058570772
935,high variant,2045,103.85663397743
935,instant-replacement,2045,103.700598508401
935,low variant,2045,103.050698797854
935,medium variant,2045,103.482775153787
935,no change,2045,103.343314472862
935,zero-migration,2045,103.484775711238
935,constant-fertility,2050,104.16478872504
935,constant-mortality,2050,102.942181936191
935,high variant,2050,103.808602202257
935,instant-replacement,2050,103.618415931165
935,low variant,2050,102.835758365466
935,medium variant,2050,103.361288317422
935,no change,2050,103.17252451135
935,zero-migration,2050,103.35230118112
935,constant-fertility,2055,104.313371590858
935,constant-mortality,2055,102.75160152271
935,high variant,2055,103.844930941874
935,instant-replacement,2055,103.626412287675
935,low variant,2055,102.711540554803
935,medium variant,2055,103.329762882415
935,no change,2055,103.062136000931
935,zero-migration,2055,103.302780797691
935,constant-fertility,2060,104.530326644219
935,constant-mortality,2060,102.579170311063
935,high variant,2060,103.935490892969
935,instant-replacement,2060,103.696975990978
935,low variant,2060,102.659538288413
935,medium variant,2060,103.364292378639
935,no change,2060,102.985950420545
935,zero-migration,2060,103.314115461421
935,constant-fertility,2065,104.771922378331
935,constant-mortality,2065,102.411160092402
935,high variant,2065,104.051123404767
935,instant-replacement,2065,103.800716793124
935,low variant,2065,102.641007041952
935,medium variant,2065,103.430880662497
935,no change,2065,102.926792109589
935,zero-migration,2065,103.353450152091
935,constant-fertility,2070,105.038135761158
935,constant-mortality,2070,102.250756537347
935,high variant,2070,104.194938165854
935,instant-replacement,2070,103.943316874928
935,low variant,2070,102.667250977929
935,medium variant,2070,103.535767399099
935,no change,2070,102.883748335555
935,zero-migration,2070,103.429423334795
935,constant-fertility,2075,105.295086718818
935,constant-mortality,2075,102.096226985304
935,high variant,2075,104.337838595148
935,instant-replacement,2075,104.095155215477
935,low variant,2075,102.701818312635
935,medium variant,2075,103.646150285823
935,no change,2075,102.850607395429
935,zero-migration,2075,103.513485840302
935,constant-fertility,2080,105.517334220807
935,constant-mortality,2080,101.916402162938
935,high variant,2080,104.455579888942
935,instant-replacement,2080,104.23077801
935,low variant,2080,102.71052085564
935,medium variant,2080,103.733401084339
935,no change,2080,102.798995607876
935,zero-migration,2080,103.582210778179
935,constant-fertility,2085,105.728353895979
935,constant-mortality,2085,101.690868910045
935,high variant,2085,104.570427094943
935,instant-replacement,2085,104.378037846399
935,low variant,2085,102.738278100703
935,medium variant,2085,103.828857409355
935,no change,2085,102.713982126652
935,zero-migration,2085,103.669625950842
935,constant-fertility,2090,105.935283334481
935,constant-mortality,2090,101.433749851411
935,high variant,2090,104.689866868319
935,instant-replacement,2090,104.544098127003
935,low variant,2090,102.812268698245
935,medium variant,2090,103.94637607579
935,no change,2090,102.609312634349
935,zero-migration,2090,103.7895276602
935,constant-fertility,2095,106.113534630362
935,constant-mortality,2095,101.183633228023
935,high variant,2095,104.790623257942
935,instant-replacement,2095,104.695486603175
935,low variant,2095,102.899407960073
935,medium variant,2095,104.056256972436
935,no change,2095,102.51486908109
935,zero-migration,2095,103.909168302205
935,constant-fertility,2100,106.250585291435
935,constant-mortality,2100,100.973373287603
935,high variant,2100,104.85855131213
935,instant-replacement,2100,104.800982949505
935,low variant,2100,102.964380321107
935,medium variant,2100,104.13435570296
935,no change,2100,102.45251924094
935,zero-migration,2100,103.999641330041
