country,year,variant,agebroad,sexratio_maleper100female
364,1950,estimates,"Region, subregion, country or area *",Iran (Islamic Republic of)
364,1950,estimates,total,103.571454477631
364,1950,estimates,0_1,101.198326486987
364,1950,estimates,0_4,101.430615164521
364,1950,estimates,0_14,101.813395729746
364,1950,estimates,0_17,101.880246558224
364,1950,estimates,0_19,101.930766594311
364,1950,estimates,0_24,102.101167364701
364,1950,estimates,3_4,101.718022483334
364,1950,estimates,3_5,101.783304046655
364,1950,estimates,3_6,101.839099641211
364,1950,estimates,4_5,101.861135962054
364,1950,estimates,4_6,101.913559434031
364,1950,estimates,5_10,102.068361326708
364,1950,estimates,5_11,102.069530652039
364,1950,estimates,5_14,102.078179119248
364,1950,estimates,6_9,102.094137936285
364,1950,estimates,6_10,102.098883912704
364,1950,estimates,6_11,102.095163030105
364,1950,estimates,6_12,102.08996903515
364,1950,estimates,7_10,102.117724875139
364,1950,estimates,7_12,102.100910580342
364,1950,estimates,11_16,102.140563582243
364,1950,estimates,11_17,102.168213312149
364,1950,estimates,11_18,102.198765714028
364,1950,estimates,12_14,102.098531230931
364,1950,estimates,12_16,102.153476108565
364,1950,estimates,12_17,102.183707443312
364,1950,estimates,12_18,102.216590018076
364,1950,estimates,13_17,102.209352742185
364,1950,estimates,13_18,102.24378526043
364,1950,estimates,13_19,102.281680342125
364,1950,estimates,15plus,104.585962798079
364,1950,estimates,15_17,102.271607381012
364,1950,estimates,15_24,102.64214641406
364,1950,estimates,15_49,105.013511870443
364,1950,estimates,15_59,103.95600781584
364,1950,estimates,15_64,104.194110161433
364,1950,estimates,16plus,104.667516750822
364,1950,estimates,17plus,104.752039771145
364,1950,estimates,18plus,104.839038516749
364,1950,estimates,18_23,102.723131147746
364,1950,estimates,20plus,105.016989855297
364,1950,estimates,20_64,104.587629146773
364,1950,estimates,20_69,104.792635965181
364,1950,estimates,21plus,105.106522427313
364,1950,estimates,25plus,105.446937200515
364,1950,estimates,25_49,106.602675509974
364,1950,estimates,25_64,104.972512816679
364,1950,estimates,25_69,105.203307483341
364,1950,estimates,50plus,103.193977891161
364,1950,estimates,60plus,108.984782592423
364,1950,estimates,65plus,109.03105880501
364,1950,estimates,70plus,108.804822631486
364,1950,estimates,75plus,105.745552914173
364,1950,estimates,80plus,104.562296833443
364,1950,estimates,85plus,99.7222442663281
364,1950,estimates,90plus,88.7123064384678
364,1955,estimates,"Region, subregion, country or area *",Iran (Islamic Republic of)
364,1955,estimates,total,104.78016533557
364,1955,estimates,0_1,107.607346328609
364,1955,estimates,0_4,106.135114802943
364,1955,estimates,0_14,104.434699002422
364,1955,estimates,0_17,104.214673263059
364,1955,estimates,0_19,104.08851905488
364,1955,estimates,0_24,103.931208603891
364,1955,estimates,3_4,104.412419290689
364,1955,estimates,3_5,104.065798260449
364,1955,estimates,3_6,103.7827760899
364,1955,estimates,4_5,103.638050276918
364,1955,estimates,4_6,103.375767899419
364,1955,estimates,5_10,102.727108979919
364,1955,estimates,5_11,102.810560871132
364,1955,estimates,5_14,103.008095063782
364,1955,estimates,6_9,102.544128102878
364,1955,estimates,6_10,102.590456570093
364,1955,estimates,6_11,102.711113050449
364,1955,estimates,6_12,102.847650957651
364,1955,estimates,7_10,102.533008159485
364,1955,estimates,7_12,102.860623318282
364,1955,estimates,11_16,103.28457476298
364,1955,estimates,11_17,103.165595711899
364,1955,estimates,11_18,103.080500230789
364,1955,estimates,12_14,103.586471512187
364,1955,estimates,12_16,103.25413469468
364,1955,estimates,12_17,103.120000231454
364,1955,estimates,12_18,103.029096866491
364,1955,estimates,13_17,102.97872291256
364,1955,estimates,13_18,102.89679542486
364,1955,estimates,13_19,102.860875577893
364,1955,estimates,15plus,105.003307797405
364,1955,estimates,15_17,102.665244593424
364,1955,estimates,15_24,102.847927248732
364,1955,estimates,15_49,105.749147252658
364,1955,estimates,15_59,105.158788076047
364,1955,estimates,15_64,104.851280594405
364,1955,estimates,16plus,105.068507535568
364,1955,estimates,17plus,105.148122825252
364,1955,estimates,18plus,105.239418860008
364,1955,estimates,18_23,102.862879368374
364,1955,estimates,20plus,105.432564739562
364,1955,estimates,20_64,105.292906678056
364,1955,estimates,20_69,105.216540868825
364,1955,estimates,21plus,105.530298671887
364,1955,estimates,25plus,105.927970163561
364,1955,estimates,25_49,107.576193430484
364,1955,estimates,25_64,105.816046073951
364,1955,estimates,25_69,105.69636579066
364,1955,estimates,50plus,102.405707917927
364,1955,estimates,60plus,103.812372169577
364,1955,estimates,65plus,106.841277245744
364,1955,estimates,70plus,109.418060307998
364,1955,estimates,75plus,112.461421033419
364,1955,estimates,80plus,105.811479726172
364,1955,estimates,85plus,99.6984844878204
364,1955,estimates,90plus,88.6761710794298
364,1960,estimates,"Region, subregion, country or area *",Iran (Islamic Republic of)
364,1960,estimates,total,105.423004171304
364,1960,estimates,0_1,104.508200361641
364,1960,estimates,0_4,105.888520364054
364,1960,estimates,0_14,105.747362896324
364,1960,estimates,0_17,105.538286298264
364,1960,estimates,0_19,105.425801444668
364,1960,estimates,0_24,105.110398510724
364,1960,estimates,3_4,107.177719770509
364,1960,estimates,3_5,107.305284886689
364,1960,estimates,3_6,107.355579119839
364,1960,estimates,4_5,107.485432731686
364,1960,estimates,4_6,107.496745458127
364,1960,estimates,5_10,106.822734817698
364,1960,estimates,5_11,106.485875172371
364,1960,estimates,5_14,105.645370126389
364,1960,estimates,6_9,106.949824943638
364,1960,estimates,6_10,106.64343529046
364,1960,estimates,6_11,106.262224072512
364,1960,estimates,6_12,105.877325979182
364,1960,estimates,7_10,106.387142529581
364,1960,estimates,7_12,105.53394688123
364,1960,estimates,11_16,103.258130711083
364,1960,estimates,11_17,103.354597585329
364,1960,estimates,11_18,103.414035814571
364,1960,estimates,12_14,102.842894977798
364,1960,estimates,12_16,103.108813122991
364,1960,estimates,12_17,103.247142122752
364,1960,estimates,12_18,103.33094473082
364,1960,estimates,13_17,103.337423446711
364,1960,estimates,13_18,103.424073545482
