global,year,variant,agebroad,sexratio_maleper100female
900,1950,estimates,"Region, subregion, country or area *",WORLD
900,1950,estimates,total,99.6668432881379
900,1950,estimates,0_1,103.436259712444
900,1950,estimates,0_4,103.816280066294
900,1950,estimates,0_14,104.493337531728
900,1950,estimates,0_17,104.443486153898
900,1950,estimates,0_19,104.391755338429
900,1950,estimates,0_24,104.188013099139
900,1950,estimates,3_4,104.264758242721
900,1950,estimates,3_5,104.381304062767
900,1950,estimates,3_6,104.485580266544
900,1950,estimates,4_5,104.513063082288
900,1950,estimates,4_6,104.613326618009
900,1950,estimates,5_10,104.948232755253
900,1950,estimates,5_11,104.965994389845
900,1950,estimates,5_14,104.927598187928
900,1950,estimates,6_9,104.992120560749
900,1950,estimates,6_10,105.015632282179
900,1950,estimates,6_11,105.02538761037
900,1950,estimates,6_12,105.020168376361
900,1950,estimates,7_10,105.065029465553
900,1950,estimates,7_12,105.053876898659
900,1950,estimates,11_16,104.695878745047
900,1950,estimates,11_17,104.586664345027
900,1950,estimates,11_18,104.496837341505
900,1950,estimates,12_14,104.835037929993
900,1950,estimates,12_16,104.617264829361
900,1950,estimates,12_17,104.501437874184
900,1950,estimates,12_18,104.409580353397
900,1950,estimates,13_17,104.398232733186
900,1950,estimates,13_18,104.306480149105
900,1950,estimates,13_19,104.243139973434
900,1950,estimates,15plus,97.2411019053003
900,1950,estimates,15_17,104.146840076198
900,1950,estimates,15_24,103.6164433778
900,1950,estimates,15_49,100.479745611795
900,1950,estimates,15_59,99.5955899259469
900,1950,estimates,15_64,99.0077991042027
900,1950,estimates,16plus,97.0287349191053
900,1950,estimates,17plus,96.8173919215347
900,1950,estimates,18plus,96.6040364412732
900,1950,estimates,18_23,103.649773714137
900,1950,estimates,20plus,96.1483399416545
900,1950,estimates,20_64,98.1106634344912
900,1950,estimates,20_69,97.4625459618018
900,1950,estimates,21plus,95.9021566179305
900,1950,estimates,25plus,94.9012963522672
900,1950,estimates,25_49,98.725215711057
900,1950,estimates,25_64,97.0926935737987
900,1950,estimates,25_69,96.3744224411867
900,1950,estimates,50plus,87.6050506442096
900,1950,estimates,60plus,81.7193426601606
900,1950,estimates,65plus,78.331471594416
900,1950,estimates,70plus,74.7501593333753
900,1950,estimates,75plus,69.9766536928428
900,1950,estimates,80plus,63.6920682718366
900,1950,estimates,85plus,56.4961491166056
900,1950,estimates,90plus,48.341622596502
900,1955,estimates,"Region, subregion, country or area *",WORLD
900,1955,estimates,total,99.8429441105337
900,1955,estimates,0_1,104.66507706056
900,1955,estimates,0_4,104.30786769227
900,1955,estimates,0_14,104.325220634473
900,1955,estimates,0_17,104.376890057941
900,1955,estimates,0_19,104.367480528378
900,1955,estimates,0_24,104.215487908717
900,1955,estimates,3_4,103.94454954943
900,1955,estimates,3_5,103.906242787371
900,1955,estimates,3_6,103.890370610218
900,1955,estimates,4_5,103.851898979222
900,1955,estimates,4_6,103.847395534944
900,1955,estimates,5_10,104.034626798583
900,1955,estimates,5_11,104.122727630719
900,1955,estimates,5_14,104.337375615219
900,1955,estimates,6_9,104.000015057665
900,1955,estimates,6_10,104.083095170621
900,1955,estimates,6_11,104.181141628906
900,1955,estimates,6_12,104.277455208089
900,1955,estimates,7_10,104.151719730958
900,1955,estimates,7_12,104.362605591832
900,1955,estimates,11_16,104.841315777242
900,1955,estimates,11_17,104.805960412779
900,1955,estimates,11_18,104.754559887528
900,1955,estimates,12_14,104.929455021246
900,1955,estimates,12_16,104.862690748874
900,1955,estimates,12_17,104.817664586973
900,1955,estimates,12_18,104.756997151216
900,1955,estimates,13_17,104.793129796993
900,1955,estimates,13_18,104.726312157935
900,1955,estimates,13_19,104.643536287471
900,1955,estimates,15plus,97.4565640542027
900,1955,estimates,15_17,104.706185915044
900,1955,estimates,15_24,103.994291581365
900,1955,estimates,15_49,101.127282838611
900,1955,estimates,15_59,100.111209392887
900,1955,estimates,15_64,99.4919267274651
900,1955,estimates,16plus,97.2470517345176
900,1955,estimates,17plus,97.0259937655902
900,1955,estimates,18plus,96.7957342946511
900,1955,estimates,18_23,103.714641303448
900,1955,estimates,20plus,96.3259405992213
900,1955,estimates,20_64,98.5954307879358
900,1955,estimates,20_69,97.8731989121485
900,1955,estimates,21plus,96.090665833978
900,1955,estimates,25plus,95.1100762849349
900,1955,estimates,25_49,99.5451422603913
900,1955,estimates,25_64,97.6573637926621
900,1955,estimates,25_69,96.8512873341254
900,1955,estimates,50plus,86.8593042592655
900,1955,estimates,60plus,80.1671563971544
900,1955,estimates,65plus,76.2794113858312
900,1955,estimates,70plus,72.0151369517929
900,1955,estimates,75plus,67.8303590434184
900,1955,estimates,80plus,62.1153502288016
900,1955,estimates,85plus,54.9837042881437
900,1955,estimates,90plus,46.7952473362382
900,1960,estimates,"Region, subregion, country or area *",WORLD
900,1960,estimates,total,100.030905412378
900,1960,estimates,0_1,103.984187044975
900,1960,estimates,0_4,104.278169091975
900,1960,estimates,0_14,104.283133014157
900,1960,estimates,0_17,104.319854838123
900,1960,estimates,0_19,104.337896758644
900,1960,estimates,0_24,104.279443675579
900,1960,estimates,3_4,104.543817886219
900,1960,estimates,3_5,104.566680858572
900,1960,estimates,3_6,104.573527376718
900,1960,estimates,4_5,104.599792401424
900,1960,estimates,4_6,104.59831672967
900,1960,estimates,5_10,104.459488095523
900,1960,estimates,5_11,104.396087017684
900,1960,estimates,5_14,104.286236413593
900,1960,estimates,6_9,104.481453397362
900,1960,estimates,6_10,104.425163276071
900,1960,estimates,6_11,104.3549284221
900,1960,estimates,6_12,104.290404357274
900,1960,estimates,7_10,104.378500240407
900,1960,estimates,7_12,104.232256343747
900,1960,estimates,11_16,104.127421274075
900,1960,estimates,11_17,104.208080414243
900,1960,estimates,11_18,104.260807698745
900,1960,estimates,12_14,103.968778472808
900,1960,estimates,12_16,104.166454277841
900,1960,estimates,12_17,104.256774409988
900,1960,estimates,12_18,104.31202453488
900,1960,estimates,13_17,104.351175692808
900,1960,estimates,13_18,104.402373033869
900,1960,estimates,13_19,104.409499819367
900,1960,estimates,15plus,97.6069753531191
900,1960,estimates,15_17,104.582075584208
900,1960,estimates,15_24,104.271258756255
900,1960,estimates,15_49,101.859243880473
900,1960,estimates,15_59,100.61154198438
900,1960,estimates,15_64,99.8958366844231
900,1960,estimates,16plus,97.4145413046136
900,1960,estimates,17plus,97.2125991425056
900,1960,estimates,18plus,97.0018536962097
900,1960,estimates,18_23,104.18638449015
900,1960,estimates,20plus,96.5597103724355
900,1960,estimates,20_64,99.1114758759896
900,1960,estimates,20_69,98.3293554955792
