global,variant,year,sexratio_maleper100female
900,estimates,1950,99.6668432881379
900,estimates,1955,99.8429441105337
900,estimates,1960,100.030905412378
900,estimates,1965,100.284708014509
900,estimates,1970,100.504227467329
900,estimates,1975,100.729083763685
900,estimates,1980,100.901942091602
900,estimates,1985,101.015434971279
900,estimates,1990,101.189433477551
900,estimates,1995,101.301356421328
900,estimates,2000,101.342896133694
900,estimates,2005,101.542924798033
900,estimates,2010,101.690169914697
900,constant_fertility,2015,101.783486245252
900,constant_mortality,2015,101.783486245252
900,estimates,2015,101.783486245252
900,high_variant,2015,101.783486245252
900,instant_replacement,2015,101.783486245252
900,low_variant,2015,101.783486245252
900,medium_variant,2015,101.783486245252
900,momentum,2015,101.783486245252
900,no_change,2015,101.783486245252
900,zero_migration,2015,101.783486245252
900,constant_fertility,2020,101.842050544818
900,constant_mortality,2020,101.800836195294
900,high_variant,2020,101.863653602341
900,instant_replacement,2020,101.840131741167
900,low_variant,2020,101.76346702791
900,medium_variant,2020,101.814010165796
900,momentum,2020,101.801976420223
900,no_change,2020,101.828745358278
900,zero_migration,2020,101.785800368495
900,constant_fertility,2025,101.803297243726
900,constant_mortality,2025,101.686491290167
900,high_variant,2025,101.844507514484
900,instant_replacement,2025,101.776144053652
900,low_variant,2025,101.604053814722
900,medium_variant,2025,101.726899693407
900,momentum,2025,101.732963554351
900,no_change,2025,101.762644651242
900,zero_migration,2025,101.715552989044
900,constant_fertility,2030,101.733368501886
900,constant_mortality,2030,101.505221023679
900,high_variant,2030,101.778003725987
900,instant_replacement,2030,101.654244174122
900,low_variant,2030,101.377913720183
900,medium_variant,2030,101.585370877465
900,momentum,2030,101.591419439004
900,no_change,2030,101.653619891278
900,zero_migration,2030,101.587099808938
900,constant_fertility,2035,101.661005107271
900,constant_mortality,2035,101.293016880061
900,high_variant,2035,101.680301755188
900,instant_replacement,2035,101.504486888317
900,low_variant,2035,101.129300439958
900,medium_variant,2035,101.418875634502
900,momentum,2035,101.41562751399
900,no_change,2035,101.53800247321
900,zero_migration,2035,101.43168314539
900,constant_fertility,2040,101.613861972842
900,constant_mortality,2040,101.079914787401
900,high_variant,2040,101.586867847216
900,instant_replacement,2040,101.358687153145
900,low_variant,2040,100.883501363549
900,medium_variant,2040,101.257044583418
900,momentum,2040,101.240074643487
900,no_change,2040,101.444597653968
900,zero_migration,2040,101.280951638985
900,constant_fertility,2045,101.605646920282
900,constant_mortality,2045,100.885739036823
900,high_variant,2045,101.521004919174
900,instant_replacement,2045,101.238217997167
900,low_variant,2045,100.654390913322
900,medium_variant,2045,101.11804008434
900,momentum,2045,101.083523508975
900,no_change,2045,101.389658643214
900,zero_migration,2045,101.149710909791
900,constant_fertility,2050,101.638013174
900,constant_mortality,2050,100.721044186417
900,high_variant,2050,101.495510012109
900,instant_replacement,2050,101.157086800107
900,low_variant,2050,100.449549465766
900,medium_variant,2050,101.012588315555
900,momentum,2050,100.959320352967
900,no_change,2050,101.375417697444
900,zero_migration,2050,101.048484226839
900,constant_fertility,2055,101.706536078865
900,constant_mortality,2055,100.581789001912
900,high_variant,2055,101.502360200384
900,instant_replacement,2055,101.110330990145
900,low_variant,2055,100.265945238499
900,medium_variant,2055,100.936371450781
900,momentum,2055,100.862774705014
900,no_change,2055,101.396973704659
900,zero_migration,2055,100.971827528844
900,constant_fertility,2060,101.798518457265
900,constant_mortality,2060,100.453110253219
900,high_variant,2060,101.524471341007
900,instant_replacement,2060,101.084689284542
900,low_variant,2060,100.094470967487
900,medium_variant,2060,100.87730814366
900,momentum,2060,100.781344542762
900,no_change,2060,101.439244533782
900,zero_migration,2060,100.908842634365
900,constant_fertility,2065,101.905595601214
900,constant_mortality,2065,100.328520851087
900,high_variant,2065,101.559698885602
900,instant_replacement,2065,101.082558377429
900,low_variant,2065,99.9345367283918
900,medium_variant,2065,100.834143604856
900,momentum,2065,100.715344224995
900,no_change,2065,101.488525685008
900,zero_migration,2065,100.859203229851
900,constant_fertility,2070,102.014955307212
900,constant_mortality,2070,100.20740570459
900,high_variant,2070,101.596864948525
900,instant_replacement,2070,101.095100037873
900,low_variant,2070,99.7747944901759
900,medium_variant,2070,100.795368709219
900,momentum,2070,100.668223829992
900,no_change,2070,101.539853857701
900,zero_migration,2070,100.812760675352
900,constant_fertility,2075,102.117981280605
900,constant_mortality,2075,100.081801954416
900,high_variant,2075,101.629296615341
900,instant_replacement,2075,101.118079241991
