region,year,variant,agebroad,sexratio_maleper100female
906,1950,estimates,"Region, subregion, country or area *",Eastern Asia
906,1950,estimates,total,105.727430694604
906,1950,estimates,0_1,105.9302418491
906,1950,estimates,0_4,107.112075019839
906,1950,estimates,0_14,110.336884118329
906,1950,estimates,0_17,110.363907921605
906,1950,estimates,0_19,110.328312404606
906,1950,estimates,0_24,110.320571479489
906,1950,estimates,3_4,108.58246694051
906,1950,estimates,3_5,109.051376735549
906,1950,estimates,3_6,109.505744835292
906,1950,estimates,4_5,109.569746017341
906,1950,estimates,4_6,110.030051728088
906,1950,estimates,5_10,111.991816260906
906,1950,estimates,5_11,112.257278526165
906,1950,estimates,5_14,112.545200324289
906,1950,estimates,6_9,112.134553350051
906,1950,estimates,6_10,112.412916652615
906,1950,estimates,6_11,112.659065732608
906,1950,estimates,6_12,112.832361146566
906,1950,estimates,7_10,112.783558334147
906,1950,estimates,7_12,113.156174389106
906,1950,estimates,11_16,112.610145941081
906,1950,estimates,11_17,112.196649819971
906,1950,estimates,11_18,111.894719097869
906,1950,estimates,12_14,113.252565580184
906,1950,estimates,12_16,112.341825325453
906,1950,estimates,12_17,111.902082194293
906,1950,estimates,12_18,111.596682247713
906,1950,estimates,13_17,111.493510437359
906,1950,estimates,13_18,111.201955127699
906,1950,estimates,13_19,111.065610761447
906,1950,estimates,15plus,103.362916416248
906,1950,estimates,15_17,110.524457001589
906,1950,estimates,15_24,110.289218966945
906,1950,estimates,15_49,107.155220442282
906,1950,estimates,15_59,106.653968422255
906,1950,estimates,15_64,105.946668363439
906,1950,estimates,16plus,103.119632706411
906,1950,estimates,17plus,102.897452367445
906,1950,estimates,18plus,102.686125047628
906,1950,estimates,18_23,110.472847416872
906,1950,estimates,20plus,102.220243713795
906,1950,estimates,20_64,105.15720359002
906,1950,estimates,20_69,104.113676690516
906,1950,estimates,21plus,101.95360419084
906,1950,estimates,25plus,100.841287983262
906,1950,estimates,25_49,105.436643010151
906,1950,estimates,25_64,104.175012761449
906,1950,estimates,25_69,102.994980917525
906,1950,estimates,50plus,91.7636468589515
906,1950,estimates,60plus,80.4879345834367
