continent,year,variant,freq,age1yearinterval,survivorage
904,1950,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1950,estimates,5yearly,0,100000
904,1950,estimates,5yearly,1,87247.7440898883
904,1950,estimates,5yearly,5,81117.1122124355
904,1950,estimates,5yearly,10,79572.0176499982
904,1950,estimates,5yearly,15,78781.7106113822
904,1950,estimates,5yearly,20,77554.7977407744
904,1950,estimates,5yearly,25,75881.1206880388
904,1950,estimates,5yearly,30,73902.2355723223
904,1950,estimates,5yearly,35,71680.9737381718
904,1950,estimates,5yearly,40,69174.4221607075
904,1950,estimates,5yearly,45,66264.8049811519
904,1950,estimates,5yearly,50,62742.726715516
904,1950,estimates,5yearly,55,58315.0832577589
904,1950,estimates,5yearly,60,52646.2396101058
904,1950,estimates,5yearly,65,45439.0278612842
904,1950,estimates,5yearly,70,36598.6250951635
904,1950,estimates,5yearly,75,26207.7921845626
904,1950,estimates,5yearly,80,15569.5656955318
904,1950,estimates,5yearly,85,7038.39237195671
904,1950,estimates,5yearly,90,2179.11314421396
904,1950,estimates,5yearly,95,414.524917113683
904,1950,estimates,5yearly,100plus,44.5622309363928
904,1955,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1955,estimates,5yearly,0,100000
904,1955,estimates,5yearly,1,88607.9008418233
904,1955,estimates,5yearly,5,83317.8624680476
904,1955,estimates,5yearly,10,81963.5233757426
904,1955,estimates,5yearly,15,81296.403145916
904,1955,estimates,5yearly,20,80238.783852803
904,1955,estimates,5yearly,25,78765.6618803938
904,1955,estimates,5yearly,30,76991.4853970996
904,1955,estimates,5yearly,35,74976.5289314789
904,1955,estimates,5yearly,40,72683.8722218217
904,1955,estimates,5yearly,45,69989.7617259453
904,1955,estimates,5yearly,50,66668.6154074489
904,1955,estimates,5yearly,55,62423.4702238568
904,1955,estimates,5yearly,60,56884.6767408958
904,1955,estimates,5yearly,65,49694.7586300212
904,1955,estimates,5yearly,70,40711.2449760256
904,1955,estimates,5yearly,75,29976.5544699029
904,1955,estimates,5yearly,80,18689.6215861102
904,1955,estimates,5yearly,85,9140.54086300483
904,1955,estimates,5yearly,90,3187.58285088029
904,1955,estimates,5yearly,95,714.611141622838
904,1955,estimates,5yearly,100plus,94.1662254085623
904,1960,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1960,estimates,5yearly,0,100000
904,1960,estimates,5yearly,1,89835.4117164009
904,1960,estimates,5yearly,5,85306.505889981
904,1960,estimates,5yearly,10,84130.4242617811
