continent,year,variant,freq,age1yearinterval,survivorage
909,1950,estimates,5Yearly,0,100000
909,1950,estimates,5Yearly,1,94013.2932080282
909,1950,estimates,5Yearly,5,90926.4978509235
909,1950,estimates,5Yearly,10,89960.4677053977
909,1950,estimates,5Yearly,15,89172.8471554913
909,1950,estimates,5Yearly,20,87795.1955235567
909,1950,estimates,5Yearly,25,86050.6976162129
909,1950,estimates,5Yearly,30,84362.7193420942
909,1950,estimates,5Yearly,35,82621.4259299291
909,1950,estimates,5Yearly,40,80665.0162497487
909,1950,estimates,5Yearly,45,78309.3289784012
909,1950,estimates,5Yearly,50,75132.5928630068
909,1950,estimates,5Yearly,55,70779.7954309469
909,1950,estimates,5Yearly,60,65104.6998216806
909,1950,estimates,5Yearly,65,57650.9181927405
909,1950,estimates,5Yearly,70,47797.4789429661
909,1950,estimates,5Yearly,75,35701.592706043
909,1950,estimates,5Yearly,80,22770.4099537568
909,1950,estimates,5Yearly,85,11528.241476865
909,1950,estimates,5Yearly,90,4225.34120797614
909,1950,estimates,5Yearly,95,1012.30953612004
909,1950,estimates,5Yearly,100plus,144.61952509602
909,1955,estimates,5Yearly,0,100000
909,1955,estimates,5Yearly,1,94651.6473709138
909,1955,estimates,5Yearly,5,92041.0074879987
909,1955,estimates,5Yearly,10,91180.5279275481
909,1955,estimates,5Yearly,15,90575.4355078236
909,1955,estimates,5Yearly,20,89415.6531220722
909,1955,estimates,5Yearly,25,87826.001594052
909,1955,estimates,5Yearly,30,86246.9037356229
909,1955,estimates,5Yearly,35,84709.9307421349
909,1955,estimates,5Yearly,40,82945.2182282223
909,1955,estimates,5Yearly,45,80775.6972750667
909,1955,estimates,5Yearly,50,77880.4439731676
909,1955,estimates,5Yearly,55,73815.6493449329
909,1955,estimates,5Yearly,60,68205.2564201112
909,1955,estimates,5Yearly,65,60759.9991564356
909,1955,estimates,5Yearly,70,51058.2771661447
909,1955,estimates,5Yearly,75,38893.4265458115
909,1955,estimates,5Yearly,80,25429.2679636391
