continent,year,variant,gender,freq,age1yearinterval,survivorage
909,1950,estimates,female,5yearly,0,100000
909,1950,estimates,male,5yearly,0,100000
909,1950,estimates,female,5yearly,1,94784.9153425824
909,1950,estimates,male,5yearly,1,93604.5848780943
909,1950,estimates,female,5yearly,5,92038.6364316039
909,1950,estimates,male,5yearly,5,90649.8055399793
909,1950,estimates,female,5yearly,10,91180.4834569303
909,1950,estimates,male,5yearly,10,89646.8503713375
909,1950,estimates,female,5yearly,15,90517.5885733495
909,1950,estimates,male,5yearly,15,88823.3336126297
909,1950,estimates,female,5yearly,20,89507.3318384273
909,1950,estimates,male,5yearly,20,87471.7150357761
909,1950,estimates,female,5yearly,25,88266.7778340766
909,1950,estimates,male,5yearly,25,85798.0755011389
909,1950,estimates,female,5yearly,30,87008.1882810431
909,1950,estimates,male,5yearly,30,84200.3354728588
909,1950,estimates,female,5yearly,35,85677.1869188154
909,1950,estimates,male,5yearly,35,82527.5532014928
909,1950,estimates,female,5yearly,40,84142.4269714377
909,1950,estimates,male,5yearly,40,80558.3490221462
909,1950,estimates,female,5yearly,45,82223.4834818896
909,1950,estimates,male,5yearly,45,78090.4071197496
909,1950,estimates,female,5yearly,50,79642.1109178855
909,1950,estimates,male,5yearly,50,74659.8078623752
909,1950,estimates,female,5yearly,55,76202.3716749134
909,1950,estimates,male,5yearly,55,69751.2321016509
909,1950,estimates,female,5yearly,60,71761.7656020778
909,1950,estimates,male,5yearly,60,63074.9371706758
909,1950,estimates,female,5yearly,65,65685.0137750661
909,1950,estimates,male,5yearly,65,54190.5210112445
909,1950,estimates,female,5yearly,70,57105.4998564198
909,1950,estimates,male,5yearly,70,43083.4241924781
909,1950,estimates,female,5yearly,75,45335.7960645985
909,1950,estimates,male,5yearly,75,30409.7695250097
909,1950,estimates,female,5yearly,80,31071.478846213
909,1950,estimates,male,5yearly,80,17960.7364306601
909,1950,estimates,female,5yearly,85,16944.7480309552
909,1950,estimates,male,5yearly,85,8229.65965577919
909,1950,estimates,female,5yearly,90,6589.71965777356
909,1950,estimates,male,5yearly,90,2670.2183272571
909,1950,estimates,female,5yearly,95,1608.86200753498
909,1950,estimates,male,5yearly,95,557.61042884424
909,1950,estimates,female,5yearly,100plus,219.566686588453
909,1950,estimates,male,5yearly,100plus,69.2411609809916
909,1955,estimates,female,5yearly,0,100000
909,1955,estimates,male,5yearly,0,100000
909,1955,estimates,female,5yearly,1,95281.1391535663
909,1955,estimates,male,5yearly,1,94287.9215571343
909,1955,estimates,female,5yearly,5,92926.2653561625
909,1955,estimates,male,5yearly,5,91775.328378651
909,1955,estimates,female,5yearly,10,92138.4108412547
909,1955,estimates,male,5yearly,10,90872.9288300796
909,1955,estimates,female,5yearly,15,91628.605182216
909,1955,estimates,male,5yearly,15,90235.8695593829
909,1955,estimates,female,5yearly,20,90774.1532253724
909,1955,estimates,male,5yearly,20,89066.5370047061
909,1955,estimates,female,5yearly,25,89620.6779320466
909,1955,estimates,male,5yearly,25,87505.7707741951
909,1955,estimates,female,5yearly,30,88423.7037371359
909,1955,estimates,male,5yearly,30,85994.5076497438
909,1955,estimates,female,5yearly,35,87229.3594458458
909,1955,estimates,male,5yearly,35,84503.909225215
909,1955,estimates,female,5yearly,40,85812.1911148632
909,1955,estimates,male,5yearly,40,82710.318379578
909,1955,estimates,female,5yearly,45,84068.2841036411
