country,year,variant,freq,age1yearinterval,survivorage
458,1950,estimates,5yearly,0,100000
458,1950,estimates,5yearly,1,89767.363
458,1950,estimates,5yearly,5,86318.606
458,1950,estimates,5yearly,10,85210.701
458,1950,estimates,5yearly,15,84431.841
458,1950,estimates,5yearly,20,83178.045
458,1950,estimates,5yearly,25,81397.775
458,1950,estimates,5yearly,30,79581.483
458,1950,estimates,5yearly,35,77607.932
458,1950,estimates,5yearly,40,75296.135
458,1950,estimates,5yearly,45,72382.841
458,1950,estimates,5yearly,50,68601.386
458,1950,estimates,5yearly,55,63552.996
458,1950,estimates,5yearly,60,56919.116
458,1950,estimates,5yearly,65,48368.224
458,1950,estimates,5yearly,70,37983.896
458,1950,estimates,5yearly,75,26332.603
458,1950,estimates,5yearly,80,15041.818
458,1950,estimates,5yearly,85,6345.3973
458,1950,estimates,5yearly,90,1714.3301
458,1950,estimates,5yearly,95,256.89542
458,1950,estimates,5yearly,100plus,20.5166
458,1955,estimates,5yearly,0,100000
458,1955,estimates,5yearly,1,91887.145
458,1955,estimates,5yearly,5,89134.098
458,1955,estimates,5yearly,10,88196.795
458,1955,estimates,5yearly,15,87511.807
458,1955,estimates,5yearly,20,86410.511
458,1955,estimates,5yearly,25,84863.997
458,1955,estimates,5yearly,30,83262.306
458,1955,estimates,5yearly,35,81491.831
458,1955,estimates,5yearly,40,79381.258
458,1955,estimates,5yearly,45,76673.813
458,1955,estimates,5yearly,50,73089.658
458,1955,estimates,5yearly,55,68210.067
458,1955,estimates,5yearly,60,61664.191
458,1955,estimates,5yearly,65,53033.768
458,1955,estimates,5yearly,70,42317.513
458,1955,estimates,5yearly,75,29923.785
458,1955,estimates,5yearly,80,17463.378
458,1955,estimates,5yearly,85,7533.8149
458,1955,estimates,5yearly,90,2081.5656
458,1955,estimates,5yearly,95,318.24832
458,1955,estimates,5yearly,100plus,25.825042
458,1960,estimates,5yearly,0,100000
458,1960,estimates,5yearly,1,93640.335
458,1960,estimates,5yearly,5,91465.195
458,1960,estimates,5yearly,10,90704.028
458,1960,estimates,5yearly,15,90109.732
458,1960,estimates,5yearly,20,89153.25
458,1960,estimates,5yearly,25,87826.168
458,1960,estimates,5yearly,30,86438.029
458,1960,estimates,5yearly,35,84882.879
458,1960,estimates,5yearly,40,83000.562
458,1960,estimates,5yearly,45,80571.352
458,1960,estimates,5yearly,50,77346.894
458,1960,estimates,5yearly,55,72777.793
458,1960,estimates,5yearly,60,66418.656
458,1960,estimates,5yearly,65,57756.457
458,1960,estimates,5yearly,70,46740.585
458,1960,estimates,5yearly,75,33849.539
458,1960,estimates,5yearly,80,20149.587
458,1960,estimates,5yearly,85,8711.8232
458,1960,estimates,5yearly,90,2317.1674
458,1960,estimates,5yearly,95,324.78153
458,1960,estimates,5yearly,100plus,23.603616
458,1965,estimates,5yearly,0,100000
458,1965,estimates,5yearly,1,95170.996
458,1965,estimates,5yearly,5,93541.542
458,1965,estimates,5yearly,10,92922.945
458,1965,estimates,5yearly,15,92410.723
458,1965,estimates,5yearly,20,91554.238
458,1965,estimates,5yearly,25,90379.168
458,1965,estimates,5yearly,30,89134.85
458,1965,estimates,5yearly,35,87716.33
458,1965,estimates,5yearly,40,85982.455
458,1965,estimates,5yearly,45,83728.229
458,1965,estimates,5yearly,50,80696.681
458,1965,estimates,5yearly,55,76330.508
458,1965,estimates,5yearly,60,70156.516
458,1965,estimates,5yearly,65,61550.402
458,1965,estimates,5yearly,70,50396.153
458,1965,estimates,5yearly,75,37064.08
458,1965,estimates,5yearly,80,22498.673
458,1965,estimates,5yearly,85,9965.0909
458,1965,estimates,5yearly,90,2731.597
458,1965,estimates,5yearly,95,395.09028
458,1965,estimates,5yearly,100plus,29.666644
458,1970,estimates,5yearly,0,100000
458,1970,estimates,5yearly,1,96340.002
458,1970,estimates,5yearly,5,95126.215
458,1970,estimates,5yearly,10,94624.841
458,1970,estimates,5yearly,15,94185.355
458,1970,estimates,5yearly,20,93422.208
458,1970,estimates,5yearly,25,92387.88
458,1970,estimates,5yearly,30,91285.4
458,1970,estimates,5yearly,35,89993.94
458,1970,estimates,5yearly,40,88399.81
458,1970,estimates,5yearly,45,86321.717
458,1970,estimates,5yearly,50,83484.791
458,1970,estimates,5yearly,55,79353.22
458,1970,estimates,5yearly,60,73418.105
458,1970,estimates,5yearly,65,64965.204
458,1970,estimates,5yearly,70,53797.178
458,1970,estimates,5yearly,75,40126.852
458,1970,estimates,5yearly,80,24817.085
458,1970,estimates,5yearly,85,11257.987
458,1970,estimates,5yearly,90,3180.2071
458,1970,estimates,5yearly,95,470.95479
458,1970,estimates,5yearly,100plus,34.212769
458,1975,estimates,5yearly,0,100000
