country,year,variant,gender,freq,age1yearinterval,survivorage
116,1950,estimates,female,5yearly,0,100000
116,1950,estimates,male,5yearly,0,100000
116,1950,estimates,female,5yearly,1,86952.737
116,1950,estimates,male,5yearly,1,84596.208
116,1950,estimates,female,5yearly,5,79861.359
116,1950,estimates,male,5yearly,5,77589.659
116,1950,estimates,female,5yearly,10,76618.318
116,1950,estimates,male,5yearly,10,73511.073
116,1950,estimates,female,5yearly,15,73663.772
116,1950,estimates,male,5yearly,15,69969.961
116,1950,estimates,female,5yearly,20,70083.229
116,1950,estimates,male,5yearly,20,66703.088
116,1950,estimates,female,5yearly,25,65846.442
116,1950,estimates,male,5yearly,25,63328.958
116,1950,estimates,female,5yearly,30,61577.168
116,1950,estimates,male,5yearly,30,60002.204
116,1950,estimates,female,5yearly,35,57360.721
116,1950,estimates,male,5yearly,35,56539.681
116,1950,estimates,female,5yearly,40,53442.484
116,1950,estimates,male,5yearly,40,52831.974
116,1950,estimates,female,5yearly,45,49803.699
116,1950,estimates,male,5yearly,45,48883.34
116,1950,estimates,female,5yearly,50,46034.504
116,1950,estimates,male,5yearly,50,44180.253
116,1950,estimates,female,5yearly,55,41344.205
116,1950,estimates,male,5yearly,55,38027.811
116,1950,estimates,female,5yearly,60,36064.588
116,1950,estimates,male,5yearly,60,31295.734
116,1950,estimates,female,5yearly,65,29505.266
116,1950,estimates,male,5yearly,65,23282.366
116,1950,estimates,female,5yearly,70,22031.5
116,1950,estimates,male,5yearly,70,15459.881
116,1950,estimates,female,5yearly,75,14501.318
116,1950,estimates,male,5yearly,75,8916.4209
116,1950,estimates,female,5yearly,80,8000.9877
116,1950,estimates,male,5yearly,80,4313.5199
116,1950,estimates,female,5yearly,85,3435.9653
116,1950,estimates,male,5yearly,85,1624.1527
116,1950,estimates,female,5yearly,90,1004.6326
116,1950,estimates,male,5yearly,90,413.73615
116,1950,estimates,female,5yearly,95,185.18529
116,1950,estimates,male,5yearly,95,64.444136
116,1950,estimates,female,5yearly,100plus,18.655085
116,1950,estimates,male,5yearly,100plus,5.4338817
116,1955,estimates,female,5yearly,0,100000
116,1955,estimates,male,5yearly,0,100000
116,1955,estimates,female,5yearly,1,87622.367
116,1955,estimates,male,5yearly,1,85311.034
116,1955,estimates,female,5yearly,5,80947.248
116,1955,estimates,male,5yearly,5,78726.091
116,1955,estimates,female,5yearly,10,77663.219
116,1955,estimates,male,5yearly,10,74641.528
116,1955,estimates,female,5yearly,15,74674.355
116,1955,estimates,male,5yearly,15,70999.057
116,1955,estimates,female,5yearly,20,71057.617
116,1955,estimates,male,5yearly,20,67475.008
116,1955,estimates,female,5yearly,25,66833.623
116,1955,estimates,male,5yearly,25,63893.626
116,1955,estimates,female,5yearly,30,62561.408
116,1955,estimates,male,5yearly,30,60389.951
116,1955,estimates,female,5yearly,35,58367.495
116,1955,estimates,male,5yearly,35,56761.381
116,1955,estimates,female,5yearly,40,54463.715
116,1955,estimates,male,5yearly,40,52992.492
116,1955,estimates,female,5yearly,45,50821.989
116,1955,estimates,male,5yearly,45,49096.59
116,1955,estimates,female,5yearly,50,47062.889
116,1955,estimates,male,5yearly,50,44515.116
116,1955,estimates,female,5yearly,55,42508.802
116,1955,estimates,male,5yearly,55,38632.686
116,1955,estimates,female,5yearly,60,37293.509
116,1955,estimates,male,5yearly,60,31989
116,1955,estimates,female,5yearly,65,30852.451
116,1955,estimates,male,5yearly,65,24151.012
116,1955,estimates,female,5yearly,70,23447.617
116,1955,estimates,male,5yearly,70,16342.702
116,1955,estimates,female,5yearly,75,15775.879
116,1955,estimates,male,5yearly,75,9614.302
116,1955,estimates,female,5yearly,80,8926.4765
116,1955,estimates,male,5yearly,80,4736.7791
116,1955,estimates,female,5yearly,85,3846.1792
116,1955,estimates,male,5yearly,85,1783.8691
116,1955,estimates,female,5yearly,90,1127.8067
116,1955,estimates,male,5yearly,90,455.63134
116,1955,estimates,female,5yearly,95,208.24968
116,1955,estimates,male,5yearly,95,71.120534
116,1955,estimates,female,5yearly,100plus,20.97405
116,1955,estimates,male,5yearly,100plus,6.0098815
116,1960,estimates,female,5yearly,0,100000
116,1960,estimates,male,5yearly,0,100000
116,1960,estimates,female,5yearly,1,87772.36
116,1960,estimates,male,5yearly,1,85430.06
116,1960,estimates,female,5yearly,5,81190.724
116,1960,estimates,male,5yearly,5,78919.678
116,1960,estimates,female,5yearly,10,77913.184
116,1960,estimates,male,5yearly,10,74901.11
116,1960,estimates,female,5yearly,15,74936.812
116,1960,estimates,male,5yearly,15,71225.3
116,1960,estimates,female,5yearly,20,71353.231
116,1960,estimates,male,5yearly,20,67503.081
116,1960,estimates,female,5yearly,25,67218.711
116,1960,estimates,male,5yearly,25,63766.073
116,1960,estimates,female,5yearly,30,63016.429
116,1960,estimates,male,5yearly,30,60134.21
116,1960,estimates,female,5yearly,35,58909.5
116,1960,estimates,male,5yearly,35,56388.772
116,1960,estimates,female,5yearly,40,55072.29
116,1960,estimates,male,5yearly,40,52611.499
116,1960,estimates,female,5yearly,45,51469.889
116,1960,estimates,male,5yearly,45,48816.223
116,1960,estimates,female,5yearly,50,47761.526
116,1960,estimates,male,5yearly,50,44411.714
116,1960,estimates,female,5yearly,55,43381.299
116,1960,estimates,male,5yearly,55,38857.479
116,1960,estimates,female,5yearly,60,38284.451
116,1960,estimates,male,5yearly,60,32439.615
116,1960,estimates,female,5yearly,65,32017.46
116,1960,estimates,male,5yearly,65,24854.995
116,1960,estimates,female,5yearly,70,24752.958
116,1960,estimates,male,5yearly,70,17143.776
116,1960,estimates,female,5yearly,75,16959.367
116,1960,estimates,male,5yearly,75,10292.232
116,1960,estimates,female,5yearly,80,9635.6909
116,1960,estimates,male,5yearly,80,5167.6134
116,1960,estimates,female,5yearly,85,4160.2536
116,1960,estimates,male,5yearly,85,1951.4635
116,1960,estimates,female,5yearly,90,1222.0671
116,1960,estimates,male,5yearly,90,499.24965
116,1960,estimates,female,5yearly,95,225.8152
116,1960,estimates,male,5yearly,95,77.98331
116,1960,estimates,female,5yearly,100plus,22.739235
116,1960,estimates,male,5yearly,100plus,6.5935086
116,1965,estimates,female,5yearly,0,100000
116,1965,estimates,male,5yearly,0,100000
116,1965,estimates,female,5yearly,1,87986.897
116,1965,estimates,male,5yearly,1,85672.993
116,1965,estimates,female,5yearly,5,81538.485
116,1965,estimates,male,5yearly,5,79314.277
116,1965,estimates,female,5yearly,10,78299.762
116,1965,estimates,male,5yearly,10,75405.664
116,1965,estimates,female,5yearly,15,75374.571
116,1965,estimates,male,5yearly,15,71753.541
116,1965,estimates,female,5yearly,20,71895.426
116,1965,estimates,male,5yearly,20,67903.772
116,1965,estimates,female,5yearly,25,67918.35
116,1965,estimates,male,5yearly,25,64050.665
116,1965,estimates,female,5yearly,30,63843.921
116,1965,estimates,male,5yearly,30,60316.538
116,1965,estimates,female,5yearly,35,59859.986
116,1965,estimates,male,5yearly,35,56469.78
116,1965,estimates,female,5yearly,40,56103.317
116,1965,estimates,male,5yearly,40,52692.359
116,1965,estimates,female,5yearly,45,52536.875
116,1965,estimates,male,5yearly,45,48986.082
116,1965,estimates,female,5yearly,50,48869.598
116,1965,estimates,male,5yearly,50,44742.205
116,1965,estimates,female,5yearly,55,44636.272
116,1965,estimates,male,5yearly,55,39473.853
116,1965,estimates,female,5yearly,60,39636.377
116,1965,estimates,male,5yearly,60,33214.547
116,1965,estimates,female,5yearly,65,33510.139
116,1965,estimates,male,5yearly,65,25851.296
116,1965,estimates,female,5yearly,70,26298.204
116,1965,estimates,male,5yearly,70,18204.077
116,1965,estimates,female,5yearly,75,18113.648
116,1965,estimates,male,5yearly,75,11180.706
116,1965,estimates,female,5yearly,80,10348.172
116,1965,estimates,male,5yearly,80,5740.7688
116,1965,estimates,female,5yearly,85,4491.9706
116,1965,estimates,male,5yearly,85,2175.0279
116,1965,estimates,female,5yearly,90,1324.7119
116,1965,estimates,male,5yearly,90,558.6369
116,1965,estimates,female,5yearly,95,245.32992
116,1965,estimates,male,5yearly,95,87.494231
116,1965,estimates,female,5yearly,100plus,24.704177
116,1965,estimates,male,5yearly,100plus,7.4166499
