region,year,variant,freq,age1yearinterval,survivorage
915,1950,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1950,estimates,5yearly,0,100000
915,1950,estimates,5yearly,1,87486.7363495375
915,1950,estimates,5yearly,5,81518.8644397294
915,1950,estimates,5yearly,10,80041.9556855888
915,1950,estimates,5yearly,15,79182.2851662111
915,1950,estimates,5yearly,20,77818.68657669
915,1950,estimates,5yearly,25,76022.7731879463
915,1950,estimates,5yearly,30,74035.5111640218
915,1950,estimates,5yearly,35,71895.549742321
915,1950,estimates,5yearly,40,69539.7244142201
915,1950,estimates,5yearly,45,66844.0720136164
915,1950,estimates,5yearly,50,63602.844817261
915,1950,estimates,5yearly,55,59525.3749510558
915,1950,estimates,5yearly,60,54284.3691036871
915,1950,estimates,5yearly,65,47651.3527666854
915,1950,estimates,5yearly,70,38973.302381504
915,1950,estimates,5yearly,75,28150.5055760567
915,1950,estimates,5yearly,80,16887.81931715
915,1950,estimates,5yearly,85,7706.1802820846
915,1950,estimates,5yearly,90,2400.84559037183
915,1950,estimates,5yearly,95,456.563829379396
915,1950,estimates,5yearly,100plus,48.609449931361
915,1955,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1955,estimates,5yearly,0,100000
915,1955,estimates,5yearly,1,88894.2557588363
915,1955,estimates,5yearly,5,83860.3659736305
915,1955,estimates,5yearly,10,82648.4989734384
915,1955,estimates,5yearly,15,81953.4308602613
915,1955,estimates,5yearly,20,80785.7736002365
915,1955,estimates,5yearly,25,79208.4253184868
915,1955,estimates,5yearly,30,77457.6384405896
915,1955,estimates,5yearly,35,75565.6648452094
915,1955,estimates,5yearly,40,73449.4359506018
915,1955,estimates,5yearly,45,70982.7407578464
915,1955,estimates,5yearly,50,67960.7267055885
915,1955,estimates,5yearly,55,64103.5492572221
915,1955,estimates,5yearly,60,59047.0644439612
915,1955,estimates,5yearly,65,52422.2865600088
915,1955,estimates,5yearly,70,43623.2794207967
915,1955,estimates,5yearly,75,32456.879849475
915,1955,estimates,5yearly,80,20406.8256544228
915,1955,estimates,5yearly,85,9997.4886783188
915,1955,estimates,5yearly,90,3445.33173059734
915,1955,estimates,5yearly,95,747.378373549943
915,1955,estimates,5yearly,100plus,92.8896129777206
915,1960,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1960,estimates,5yearly,0,100000
915,1960,estimates,5yearly,1,90580.3396824679
915,1960,estimates,5yearly,5,86636.0433543074
915,1960,estimates,5yearly,10,85484.8718680953
915,1960,estimates,5yearly,15,84892.0734402529
915,1960,estimates,5yearly,20,83881.19163292
915,1960,estimates,5yearly,25,82477.3357081324
915,1960,estimates,5yearly,30,80902.4298952615
915,1960,estimates,5yearly,35,79201.7742296894
915,1960,estimates,5yearly,40,77275.417830897
915,1960,estimates,5yearly,45,74973.748800508
915,1960,estimates,5yearly,50,72095.7339776828
915,1960,estimates,5yearly,55,68353.1087394357
915,1960,estimates,5yearly,60,63378.715833438
915,1960,estimates,5yearly,65,56695.4954903284
915,1960,estimates,5yearly,70,47703.9644552114
915,1960,estimates,5yearly,75,36195.0641531909
915,1960,estimates,5yearly,80,23457.1366459916
915,1960,estimates,5yearly,85,12021.1019380187
915,1960,estimates,5yearly,90,4412.89895715221
