region,year,variant,gender,freq,age1yearinterval,survivorage
912,1950,estimates,female,5yearly,0,100000
912,1950,estimates,male,5yearly,0,100000
912,1950,estimates,female,5yearly,1,80183.3209982364
912,1950,estimates,male,5yearly,1,79592.9315035223
912,1950,estimates,female,5yearly,5,67983.3908129755
912,1950,estimates,male,5yearly,5,68445.5128535062
912,1950,estimates,female,5yearly,10,65617.6116610141
912,1950,estimates,male,5yearly,10,66213.43489631
912,1950,estimates,female,5yearly,15,64993.1385778537
912,1950,estimates,male,5yearly,15,65529.5149532806
912,1950,estimates,female,5yearly,20,63733.9318316346
912,1950,estimates,male,5yearly,20,64184.4667508439
912,1950,estimates,female,5yearly,25,62258.8657653838
912,1950,estimates,male,5yearly,25,62430.7523864869
912,1950,estimates,female,5yearly,30,60660.817288738
912,1950,estimates,male,5yearly,30,60543.2118283936
912,1950,estimates,female,5yearly,35,58928.5156480617
912,1950,estimates,male,5yearly,35,58565.0637496136
912,1950,estimates,female,5yearly,40,57039.049994086
912,1950,estimates,male,5yearly,40,56317.8809800297
912,1950,estimates,female,5yearly,45,55028.640439367
912,1950,estimates,male,5yearly,45,53707.7680464641
912,1950,estimates,female,5yearly,50,52737.1317036637
912,1950,estimates,male,5yearly,50,50480.7526101739
912,1950,estimates,female,5yearly,55,49784.7083906444
912,1950,estimates,male,5yearly,55,46366.8096212585
912,1950,estimates,female,5yearly,60,45840.7543301214
912,1950,estimates,male,5yearly,60,41269.8099400788
912,1950,estimates,female,5yearly,65,40412.7701682979
912,1950,estimates,male,5yearly,65,34883.8696625708
912,1950,estimates,female,5yearly,70,33021.5663609454
912,1950,estimates,male,5yearly,70,26944.2770746978
912,1950,estimates,female,5yearly,75,23638.7613299748
912,1950,estimates,male,5yearly,75,17849.9857988423
912,1950,estimates,female,5yearly,80,13652.2297388469
912,1950,estimates,male,5yearly,80,9299.82645294171
912,1950,estimates,female,5yearly,85,5689.22652724337
912,1950,estimates,male,5yearly,85,3416.36012789008
