continent,year,variant,gender,freq,age5yearinterval,totaldeaths
904,1950,estimates,female,5yearly,0_4,3250.019
904,1950,estimates,male,5yearly,0_4,3837.405
904,1950,estimates,female,5yearly,5_9,200.761
904,1950,estimates,male,5yearly,5_9,216.829
904,1950,estimates,female,5yearly,10_14,116.116
904,1950,estimates,male,5yearly,10_14,127.543
904,1950,estimates,female,5yearly,15_19,130.643
904,1950,estimates,male,5yearly,15_19,146.703
904,1950,estimates,female,5yearly,20_24,161.671
904,1950,estimates,male,5yearly,20_24,182.656
904,1950,estimates,female,5yearly,25_29,172.467
904,1950,estimates,male,5yearly,25_29,192.327
904,1950,estimates,female,5yearly,30_34,168.894
904,1950,estimates,male,5yearly,30_34,186.776
904,1950,estimates,female,5yearly,35_39,169.231
904,1950,estimates,male,5yearly,35_39,190.995
904,1950,estimates,female,5yearly,40_44,174.751
904,1950,estimates,male,5yearly,40_44,206.969
904,1950,estimates,female,5yearly,45_49,182.379
904,1950,estimates,male,5yearly,45_49,228.282
904,1950,estimates,female,5yearly,50_54,201.158
904,1950,estimates,male,5yearly,50_54,255.802
904,1950,estimates,female,5yearly,55_59,225.777
904,1950,estimates,male,5yearly,55_59,280.369
904,1950,estimates,female,5yearly,60_64,254.469
904,1950,estimates,male,5yearly,60_64,300.792
904,1950,estimates,female,5yearly,65_69,282.827
904,1950,estimates,male,5yearly,65_69,312.725
904,1950,estimates,female,5yearly,70_74,292.561
904,1950,estimates,male,5yearly,70_74,301.558
904,1950,estimates,female,5yearly,75_79,275.64
904,1950,estimates,male,5yearly,75_79,259.579
904,1950,estimates,female,5yearly,80_84,202.628
904,1950,estimates,male,5yearly,80_84,171.952
904,1950,estimates,female,5yearly,85_89,115.743
904,1950,estimates,male,5yearly,85_89,89.356
904,1950,estimates,female,5yearly,90_94,60.385
904,1950,estimates,male,5yearly,90_94,42.246
904,1950,estimates,female,5yearly,95plus,37.06
904,1950,estimates,male,5yearly,95plus,22.788
904,1955,estimates,female,5yearly,0_4,3222.817
904,1955,estimates,male,5yearly,0_4,3863.545
904,1955,estimates,female,5yearly,5_9,199.921
904,1955,estimates,male,5yearly,5_9,216.409
904,1955,estimates,female,5yearly,10_14,109.95
904,1955,estimates,male,5yearly,10_14,121.956
904,1955,estimates,female,5yearly,15_19,121.049
904,1955,estimates,male,5yearly,15_19,138.6
904,1955,estimates,female,5yearly,20_24,149.632
904,1955,estimates,male,5yearly,20_24,172.508
904,1955,estimates,female,5yearly,25_29,163.922
904,1955,estimates,male,5yearly,25_29,185.271
904,1955,estimates,female,5yearly,30_34,167.581
904,1955,estimates,male,5yearly,30_34,187.696
904,1955,estimates,female,5yearly,35_39,164.185
904,1955,estimates,male,5yearly,35_39,186.485
904,1955,estimates,female,5yearly,40_44,168.969
904,1955,estimates,male,5yearly,40_44,198.836
904,1955,estimates,female,5yearly,45_49,184.312
904,1955,estimates,male,5yearly,45_49,227.297
904,1955,estimates,female,5yearly,50_54,204.723
904,1955,estimates,male,5yearly,50_54,260.226
904,1955,estimates,female,5yearly,55_59,236.429
904,1955,estimates,male,5yearly,55_59,296.283
904,1955,estimates,female,5yearly,60_64,270.962
904,1955,estimates,male,5yearly,60_64,323.555
904,1955,estimates,female,5yearly,65_69,300.427
904,1955,estimates,male,5yearly,65_69,335.149
904,1955,estimates,female,5yearly,70_74,313.85
904,1955,estimates,male,5yearly,70_74,325.499
904,1955,estimates,female,5yearly,75_79,294.734
904,1955,estimates,male,5yearly,75_79,279.496
904,1955,estimates,female,5yearly,80_84,226.668
904,1955,estimates,male,5yearly,80_84,190.722
904,1955,estimates,female,5yearly,85_89,115.559
904,1955,estimates,male,5yearly,85_89,87.101
904,1955,estimates,female,5yearly,90_94,42.059
904,1955,estimates,male,5yearly,90_94,28.661
904,1955,estimates,female,5yearly,95plus,16.961
904,1955,estimates,male,5yearly,95plus,9.825
904,1960,estimates,female,5yearly,0_4,3158.729
904,1960,estimates,male,5yearly,0_4,3864.037
904,1960,estimates,female,5yearly,5_9,192.998
904,1960,estimates,male,5yearly,5_9,213.903
904,1960,estimates,female,5yearly,10_14,107.521
904,1960,estimates,male,5yearly,10_14,122.879
904,1960,estimates,female,5yearly,15_19,112.981
904,1960,estimates,male,5yearly,15_19,135.011
904,1960,estimates,female,5yearly,20_24,137.206
904,1960,estimates,male,5yearly,20_24,167.04
904,1960,estimates,female,5yearly,25_29,149.537
904,1960,estimates,male,5yearly,25_29,178.834
904,1960,estimates,female,5yearly,30_34,156.882
904,1960,estimates,male,5yearly,30_34,183.721
904,1960,estimates,female,5yearly,35_39,161.601
904,1960,estimates,male,5yearly,35_39,189.663
904,1960,estimates,female,5yearly,40_44,163.668
904,1960,estimates,male,5yearly,40_44,196.131
904,1960,estimates,female,5yearly,45_49,178.952
904,1960,estimates,male,5yearly,45_49,223.867
904,1960,estimates,female,5yearly,50_54,208.429
904,1960,estimates,male,5yearly,50_54,270.223
904,1960,estimates,female,5yearly,55_59,243.181
904,1960,estimates,male,5yearly,55_59,315.878
904,1960,estimates,female,5yearly,60_64,286.877
904,1960,estimates,male,5yearly,60_64,358.796
904,1960,estimates,female,5yearly,65_69,324.588
904,1960,estimates,male,5yearly,65_69,379.656
904,1960,estimates,female,5yearly,70_74,341.789
904,1960,estimates,male,5yearly,70_74,366.597
904,1960,estimates,female,5yearly,75_79,331.667
904,1960,estimates,male,5yearly,75_79,318.278
904,1960,estimates,female,5yearly,80_84,262.81
904,1960,estimates,male,5yearly,80_84,221.802
904,1960,estimates,female,5yearly,85_89,146.043
904,1960,estimates,male,5yearly,85_89,108.464
904,1960,estimates,female,5yearly,90_94,51.487
904,1960,estimates,male,5yearly,90_94,33.64
904,1960,estimates,female,5yearly,95plus,14.222
904,1960,estimates,male,5yearly,95plus,8.086
904,1965,estimates,female,5yearly,0_4,2942.066
904,1965,estimates,male,5yearly,0_4,3698.295
904,1965,estimates,female,5yearly,5_9,177.764
904,1965,estimates,male,5yearly,5_9,210.581
904,1965,estimates,female,5yearly,10_14,102.986
904,1965,estimates,male,5yearly,10_14,124.425
904,1965,estimates,female,5yearly,15_19,110.098
904,1965,estimates,male,5yearly,15_19,141.707
904,1965,estimates,female,5yearly,20_24,127.472
904,1965,estimates,male,5yearly,20_24,170.292
904,1965,estimates,female,5yearly,25_29,136.478
904,1965,estimates,male,5yearly,25_29,179.862
904,1965,estimates,female,5yearly,30_34,143.869
904,1965,estimates,male,5yearly,30_34,183.57
904,1965,estimates,female,5yearly,35_39,154.576
904,1965,estimates,male,5yearly,35_39,193.281
904,1965,estimates,female,5yearly,40_44,166.689
904,1965,estimates,male,5yearly,40_44,209.801
904,1965,estimates,female,5yearly,45_49,180.082
904,1965,estimates,male,5yearly,45_49,234.791
904,1965,estimates,female,5yearly,50_54,210.767
904,1965,estimates,male,5yearly,50_54,281.872
904,1965,estimates,female,5yearly,55_59,258.161
