continent,year,variant,freq,agebroad,totaldeaths
904,1950,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1950,estimates,5yearly,0_4,7045.499
904,1950,estimates,5yearly,5_9,412.044
904,1950,estimates,5yearly,10_14,247.712
904,1950,estimates,5yearly,15_19,275.218
904,1950,estimates,5yearly,20_24,343.783
904,1950,estimates,5yearly,25_29,365.395
904,1950,estimates,5yearly,30_34,356.374
904,1950,estimates,5yearly,35_39,360.948
904,1950,estimates,5yearly,40_44,382.628
904,1950,estimates,5yearly,45_49,411.5
904,1950,estimates,5yearly,50_54,457.902
904,1950,estimates,5yearly,55_59,507.637
904,1950,estimates,5yearly,60_64,557.079
904,1950,estimates,5yearly,65_69,597.01
904,1950,estimates,5yearly,70_74,595.558
904,1950,estimates,5yearly,75_79,536.39
904,1950,estimates,5yearly,80_84,374.817
904,1950,estimates,5yearly,85_89,205.371
904,1950,estimates,5yearly,90_94,103.277
904,1950,estimates,5yearly,95plus,61.044
904,1950,estimates,5yearly,0_14,7705.255
904,1950,estimates,5yearly,0_19,7980.473
904,1950,estimates,5yearly,0_24,8324.256
904,1950,estimates,5yearly,5_14,659.756
904,1950,estimates,5yearly,15plus,6491.931
904,1950,estimates,5yearly,15_24,619.001
904,1950,estimates,5yearly,15_49,2495.846
904,1950,estimates,5yearly,15_59,3461.385
904,1950,estimates,5yearly,15_64,4018.464
904,1950,estimates,5yearly,20plus,6216.713
904,1950,estimates,5yearly,20_64,3743.246
904,1950,estimates,5yearly,20_69,4340.256
904,1950,estimates,5yearly,25plus,5872.93
904,1950,estimates,5yearly,25_69,3996.473
904,1950,estimates,5yearly,40plus,4790.213
904,1950,estimates,5yearly,50plus,3996.085
904,1950,estimates,5yearly,60plus,3030.546
904,1950,estimates,5yearly,65plus,2473.467
904,1950,estimates,5yearly,70plus,1876.457
904,1950,estimates,5yearly,80plus,744.509
904,1950,estimates,5yearly,90plus,164.321
904,1955,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1955,estimates,5yearly,0_4,7040.297
904,1955,estimates,5yearly,5_9,412.312
904,1955,estimates,5yearly,10_14,235.381
904,1955,estimates,5yearly,15_19,257.014
904,1955,estimates,5yearly,20_24,320.89
904,1955,estimates,5yearly,25_29,349.133
904,1955,estimates,5yearly,30_34,355.588
904,1955,estimates,5yearly,35_39,351.015
904,1955,estimates,5yearly,40_44,368.447
904,1955,estimates,5yearly,45_49,412.566
904,1955,estimates,5yearly,50_54,466.232
904,1955,estimates,5yearly,55_59,534.307
904,1955,estimates,5yearly,60_64,596.403
904,1955,estimates,5yearly,65_69,637.031
904,1955,estimates,5yearly,70_74,640.967
904,1955,estimates,5yearly,75_79,575.934
904,1955,estimates,5yearly,80_84,418.023
904,1955,estimates,5yearly,85_89,202.694
904,1955,estimates,5yearly,90_94,70.693
904,1955,estimates,5yearly,95plus,26.923
904,1955,estimates,5yearly,0_14,7687.99
904,1955,estimates,5yearly,0_19,7945.004
904,1955,estimates,5yearly,0_24,8265.894
904,1955,estimates,5yearly,5_14,647.693
904,1955,estimates,5yearly,15plus,6583.86
904,1955,estimates,5yearly,15_24,577.904
904,1955,estimates,5yearly,15_49,2414.653
904,1955,estimates,5yearly,15_59,3415.192
904,1955,estimates,5yearly,15_64,4011.595
904,1955,estimates,5yearly,20plus,6326.846
904,1955,estimates,5yearly,20_64,3754.581
904,1955,estimates,5yearly,20_69,4391.612
904,1955,estimates,5yearly,25plus,6005.956
904,1955,estimates,5yearly,25_69,4070.722
904,1955,estimates,5yearly,40plus,4950.22
904,1955,estimates,5yearly,50plus,4169.207
904,1955,estimates,5yearly,60plus,3168.668
904,1955,estimates,5yearly,65plus,2572.265
904,1955,estimates,5yearly,70plus,1935.234
904,1955,estimates,5yearly,80plus,718.333
904,1955,estimates,5yearly,90plus,97.616
904,1960,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1960,estimates,5yearly,0_4,6951.815
904,1960,estimates,5yearly,5_9,405.693
904,1960,estimates,5yearly,10_14,234.971
904,1960,estimates,5yearly,15_19,245.875
904,1960,estimates,5yearly,20_24,303.616
904,1960,estimates,5yearly,25_29,328.554
904,1960,estimates,5yearly,30_34,340.993
904,1960,estimates,5yearly,35_39,351.603
904,1960,estimates,5yearly,40_44,360.702
904,1960,estimates,5yearly,45_49,404.004
904,1960,estimates,5yearly,50_54,480.236
904,1960,estimates,5yearly,55_59,561.27
904,1960,estimates,5yearly,60_64,647.874
904,1960,estimates,5yearly,65_69,706.193
904,1960,estimates,5yearly,70_74,711.04
904,1960,estimates,5yearly,75_79,652.796
904,1960,estimates,5yearly,80_84,486.051
904,1960,estimates,5yearly,85_89,254.801
904,1960,estimates,5yearly,90_94,84.971
904,1960,estimates,5yearly,95plus,22.157
904,1960,estimates,5yearly,0_14,7592.479
904,1960,estimates,5yearly,0_19,7838.354
904,1960,estimates,5yearly,0_24,8141.97
904,1960,estimates,5yearly,5_14,640.664
904,1960,estimates,5yearly,15plus,6942.736
904,1960,estimates,5yearly,15_24,549.491
904,1960,estimates,5yearly,15_49,2335.347
904,1960,estimates,5yearly,15_59,3376.853
904,1960,estimates,5yearly,15_64,4024.727
904,1960,estimates,5yearly,20plus,6696.861
904,1960,estimates,5yearly,20_64,3778.852
904,1960,estimates,5yearly,20_69,4485.045
904,1960,estimates,5yearly,25plus,6393.245
904,1960,estimates,5yearly,25_69,4181.429
904,1960,estimates,5yearly,40plus,5372.095
904,1960,estimates,5yearly,50plus,4607.389
904,1960,estimates,5yearly,60plus,3565.883
904,1960,estimates,5yearly,65plus,2918.009
904,1960,estimates,5yearly,70plus,2211.816
904,1960,estimates,5yearly,80plus,847.98
904,1960,estimates,5yearly,90plus,107.128
904,1965,estimates,5yearly,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1965,estimates,5yearly,0_4,6613.717
904,1965,estimates,5yearly,5_9,387.921
904,1965,estimates,5yearly,10_14,231.94
904,1965,estimates,5yearly,15_19,249.56
