continent,year,variant,freq,agebroad,totaldeaths
905,1950,estimates,5Yearly,0_4,800.438
905,1950,estimates,5Yearly,5_9,41.184
905,1950,estimates,5Yearly,10_14,40.981
905,1950,estimates,5Yearly,15_19,63.211
905,1950,estimates,5Yearly,20_24,90.162
905,1950,estimates,5Yearly,25_29,105.519
905,1950,estimates,5Yearly,30_34,125.054
905,1950,estimates,5Yearly,35_39,169.364
905,1950,estimates,5Yearly,40_44,242.03
905,1950,estimates,5Yearly,45_49,332.737
905,1950,estimates,5Yearly,50_54,463.483
905,1950,estimates,5Yearly,55_59,637.134
905,1950,estimates,5Yearly,60_64,817.972
905,1950,estimates,5Yearly,65_69,979.263
905,1950,estimates,5Yearly,70_74,1051.797
905,1950,estimates,5Yearly,75_79,1001.142
905,1950,estimates,5Yearly,80_84,772.817
905,1950,estimates,5Yearly,85_89,481.8
905,1950,estimates,5Yearly,90_94,246.035
905,1950,estimates,5Yearly,95plus,92.195
905,1950,estimates,5Yearly,0_14,882.603
905,1950,estimates,5Yearly,0_19,945.814
905,1950,estimates,5Yearly,0_24,1035.976
905,1950,estimates,5Yearly,5_14,82.165
905,1950,estimates,5Yearly,15plus,7671.715
905,1950,estimates,5Yearly,15_24,153.373
905,1950,estimates,5Yearly,15_49,1128.077
905,1950,estimates,5Yearly,15_59,2228.694
905,1950,estimates,5Yearly,15_64,3046.666
905,1950,estimates,5Yearly,20plus,7608.504
905,1950,estimates,5Yearly,20_64,2983.455
905,1950,estimates,5Yearly,20_69,3962.718
905,1950,estimates,5Yearly,25plus,7518.342
905,1950,estimates,5Yearly,25_69,3872.556
905,1950,estimates,5Yearly,40plus,7118.405
905,1950,estimates,5Yearly,50plus,6543.638
905,1950,estimates,5Yearly,60plus,5443.021
905,1950,estimates,5Yearly,65plus,4625.049
905,1950,estimates,5Yearly,70plus,3645.786
905,1950,estimates,5Yearly,80plus,1592.847
905,1950,estimates,5Yearly,90plus,338.23
905,1955,estimates,5Yearly,0_4,773.044
905,1955,estimates,5Yearly,5_9,41.337
905,1955,estimates,5Yearly,10_14,43.068
905,1955,estimates,5Yearly,15_19,63.408
905,1955,estimates,5Yearly,20_24,79.609
905,1955,estimates,5Yearly,25_29,87.873
905,1955,estimates,5Yearly,30_34,112.42
905,1955,estimates,5Yearly,35_39,159.016
905,1955,estimates,5Yearly,40_44,233.213
905,1955,estimates,5Yearly,45_49,342.881
905,1955,estimates,5Yearly,50_54,472.524
905,1955,estimates,5Yearly,55_59,628.074
905,1955,estimates,5Yearly,60_64,835.522
905,1955,estimates,5Yearly,65_69,1034.259
905,1955,estimates,5Yearly,70_74,1160.63
905,1955,estimates,5Yearly,75_79,1146.773
905,1955,estimates,5Yearly,80_84,953.336
905,1955,estimates,5Yearly,85_89,582.687
905,1955,estimates,5Yearly,90_94,246.332
905,1955,estimates,5Yearly,95plus,92.792
905,1955,estimates,5Yearly,0_14,857.449
905,1955,estimates,5Yearly,0_19,920.857
905,1955,estimates,5Yearly,0_24,1000.466
905,1955,estimates,5Yearly,5_14,84.405
905,1955,estimates,5Yearly,15plus,8231.349
905,1955,estimates,5Yearly,15_24,143.017
905,1955,estimates,5Yearly,15_49,1078.42
905,1955,estimates,5Yearly,15_59,2179.018
905,1955,estimates,5Yearly,15_64,3014.54
905,1955,estimates,5Yearly,20plus,8167.941
905,1955,estimates,5Yearly,20_64,2951.132
905,1955,estimates,5Yearly,20_69,3985.391
905,1955,estimates,5Yearly,25plus,8088.332
905,1955,estimates,5Yearly,25_69,3905.782
905,1955,estimates,5Yearly,40plus,7729.023
905,1955,estimates,5Yearly,50plus,7152.929
905,1955,estimates,5Yearly,60plus,6052.331
905,1955,estimates,5Yearly,65plus,5216.809
905,1955,estimates,5Yearly,70plus,4182.55
905,1955,estimates,5Yearly,80plus,1875.147
905,1955,estimates,5Yearly,90plus,339.124
905,1960,estimates,5Yearly,0_4,694.824
905,1960,estimates,5Yearly,5_9,42.226
905,1960,estimates,5Yearly,10_14,47.159
905,1960,estimates,5Yearly,15_19,73.108
905,1960,estimates,5Yearly,20_24,85.173
905,1960,estimates,5Yearly,25_29,84.429
905,1960,estimates,5Yearly,30_34,106.401
905,1960,estimates,5Yearly,35_39,161.627
905,1960,estimates,5Yearly,40_44,243.825
905,1960,estimates,5Yearly,45_49,363.275
905,1960,estimates,5Yearly,50_54,518.899
905,1960,estimates,5Yearly,55_59,676.006
905,1960,estimates,5Yearly,60_64,867
905,1960,estimates,5Yearly,65_69,1085.995
905,1960,estimates,5Yearly,70_74,1247.538
905,1960,estimates,5Yearly,75_79,1302.662
905,1960,estimates,5Yearly,80_84,1119.635
905,1960,estimates,5Yearly,85_89,723.13
905,1960,estimates,5Yearly,90_94,307.333
905,1960,estimates,5Yearly,95plus,93.226
905,1960,estimates,5Yearly,0_14,784.209
905,1960,estimates,5Yearly,0_19,857.317
905,1960,estimates,5Yearly,0_24,942.49
905,1960,estimates,5Yearly,5_14,89.385
