continent,year,variant,gender,freq,agebroad,totaldeaths
904,1950,estimates,female,5yearly,0_4,3232.924
904,1950,estimates,male,5yearly,0_4,3812.575
904,1950,estimates,female,5yearly,0_14,3549.331
904,1950,estimates,male,5yearly,0_14,4155.924
904,1950,estimates,female,5yearly,0_19,3679.254
904,1950,estimates,male,5yearly,0_19,4301.219
904,1950,estimates,female,5yearly,0_24,3840.918
904,1950,estimates,male,5yearly,0_24,4483.338
904,1950,estimates,female,5yearly,5_14,316.407
904,1950,estimates,male,5yearly,5_14,343.349
904,1950,estimates,female,5yearly,15plus,3115.567
904,1950,estimates,male,5yearly,15plus,3376.364
904,1950,estimates,female,5yearly,15_24,291.587
904,1950,estimates,male,5yearly,15_24,327.414
904,1950,estimates,female,5yearly,15_49,1160.795
904,1950,estimates,male,5yearly,15_49,1335.051
904,1950,estimates,female,5yearly,15_59,1588.787
904,1950,estimates,male,5yearly,15_59,1872.598
904,1950,estimates,female,5yearly,15_64,1844.146
904,1950,estimates,male,5yearly,15_64,2174.318
904,1950,estimates,female,5yearly,20plus,2985.644
904,1950,estimates,male,5yearly,20plus,3231.069
904,1950,estimates,female,5yearly,20_64,1714.223
904,1950,estimates,male,5yearly,20_64,2029.023
904,1950,estimates,female,5yearly,20_69,1997.801
904,1950,estimates,male,5yearly,20_69,2342.455
904,1950,estimates,female,5yearly,25plus,2823.98
904,1950,estimates,male,5yearly,25plus,3048.95
904,1950,estimates,female,5yearly,25_69,1836.137
904,1950,estimates,male,5yearly,25_69,2160.336
904,1950,estimates,female,5yearly,40plus,2312.604
904,1950,estimates,male,5yearly,40plus,2477.609
904,1950,estimates,female,5yearly,50plus,1954.772
904,1950,estimates,male,5yearly,50plus,2041.313
904,1950,estimates,female,5yearly,60plus,1526.78
904,1950,estimates,male,5yearly,60plus,1503.766
904,1950,estimates,female,5yearly,65plus,1271.421
904,1950,estimates,male,5yearly,65plus,1202.046
904,1950,estimates,female,5yearly,70plus,987.843
904,1950,estimates,male,5yearly,70plus,888.614
904,1950,estimates,female,5yearly,80plus,417.63
904,1950,estimates,male,5yearly,80plus,326.879
904,1950,estimates,female,5yearly,90plus,98.589
904,1950,estimates,male,5yearly,90plus,65.732
904,1955,estimates,female,5yearly,0_4,3204.316
904,1955,estimates,male,5yearly,0_4,3835.981
904,1955,estimates,female,5yearly,0_14,3514.374
904,1955,estimates,male,5yearly,0_14,4173.616
904,1955,estimates,female,5yearly,0_19,3634.361
904,1955,estimates,male,5yearly,0_19,4310.643
904,1955,estimates,female,5yearly,0_24,3783.516
904,1955,estimates,male,5yearly,0_24,4482.378
904,1955,estimates,female,5yearly,5_14,310.058
904,1955,estimates,male,5yearly,5_14,337.635
904,1955,estimates,female,5yearly,15plus,3145.176
904,1955,estimates,male,5yearly,15plus,3438.684
904,1955,estimates,female,5yearly,15_24,269.142
904,1955,estimates,male,5yearly,15_24,308.762
904,1955,estimates,female,5yearly,15_49,1118.278
904,1955,estimates,male,5yearly,15_49,1296.375
904,1955,estimates,female,5yearly,15_59,1560.341
904,1955,estimates,male,5yearly,15_59,1854.851
904,1955,estimates,female,5yearly,15_64,1831.97
904,1955,estimates,male,5yearly,15_64,2179.625
904,1955,estimates,female,5yearly,20plus,3025.189
904,1955,estimates,male,5yearly,20plus,3301.657
904,1955,estimates,female,5yearly,20_64,1711.983
904,1955,estimates,male,5yearly,20_64,2042.598
904,1955,estimates,female,5yearly,20_69,2012.894
904,1955,estimates,male,5yearly,20_69,2378.718
904,1955,estimates,female,5yearly,25plus,2876.034
904,1955,estimates,male,5yearly,25plus,3129.922
904,1955,estimates,female,5yearly,25_69,1863.739
904,1955,estimates,male,5yearly,25_69,2206.983
904,1955,estimates,female,5yearly,40plus,2380.605
904,1955,estimates,male,5yearly,40plus,2569.615
904,1955,estimates,female,5yearly,50plus,2026.898
904,1955,estimates,male,5yearly,50plus,2142.309
904,1955,estimates,female,5yearly,60plus,1584.835
904,1955,estimates,male,5yearly,60plus,1583.833
904,1955,estimates,female,5yearly,65plus,1313.206
904,1955,estimates,male,5yearly,65plus,1259.059
904,1955,estimates,female,5yearly,70plus,1012.295
