continent,year,variant,gender,freq,agebroad,totaldeaths
908,1950,estimates,female,5yearly,0_4,2491.522
908,1950,estimates,male,5yearly,0_4,3075.554
908,1950,estimates,female,5yearly,0_14,2709.635
908,1950,estimates,male,5yearly,0_14,3352.646
908,1950,estimates,female,5yearly,0_19,2844.776
908,1950,estimates,male,5yearly,0_19,3550.739
908,1950,estimates,female,5yearly,0_24,3031.972
908,1950,estimates,male,5yearly,0_24,3832.655
908,1950,estimates,female,5yearly,5_14,218.113
908,1950,estimates,male,5yearly,5_14,277.092
908,1950,estimates,female,5yearly,15plus,12942.791
908,1950,estimates,male,5yearly,15plus,12508.035
908,1950,estimates,female,5yearly,15_24,322.337
908,1950,estimates,male,5yearly,15_24,480.009
908,1950,estimates,female,5yearly,15_49,1822.288
908,1950,estimates,male,5yearly,15_49,2423.571
908,1950,estimates,female,5yearly,15_59,3176.044
908,1950,estimates,male,5yearly,15_59,4259.257
908,1950,estimates,female,5yearly,15_64,4219.526
908,1950,estimates,male,5yearly,15_64,5483.033
908,1950,estimates,female,5yearly,20plus,12807.65
908,1950,estimates,male,5yearly,20plus,12309.942
908,1950,estimates,female,5yearly,20_64,4084.385
908,1950,estimates,male,5yearly,20_64,5284.94
908,1950,estimates,female,5yearly,20_69,5545.466
908,1950,estimates,male,5yearly,20_69,6782.334
908,1950,estimates,female,5yearly,25plus,12620.454
908,1950,estimates,male,5yearly,25plus,12028.026
908,1950,estimates,female,5yearly,25_69,5358.27
908,1950,estimates,male,5yearly,25_69,6500.418
908,1950,estimates,female,5yearly,40plus,11944.67
908,1950,estimates,male,5yearly,40plus,11185.382
908,1950,estimates,female,5yearly,50plus,11120.503
908,1950,estimates,male,5yearly,50plus,10084.464
908,1950,estimates,female,5yearly,60plus,9766.747
908,1950,estimates,male,5yearly,60plus,8248.778
908,1950,estimates,female,5yearly,65plus,8723.265
908,1950,estimates,male,5yearly,65plus,7025.002
908,1950,estimates,female,5yearly,70plus,7262.184
908,1950,estimates,male,5yearly,70plus,5527.608
908,1950,estimates,female,5yearly,80plus,3253.783
908,1950,estimates,male,5yearly,80plus,2097.717
908,1950,estimates,female,5yearly,90plus,532.325
908,1950,estimates,male,5yearly,90plus,253.735
908,1955,estimates,female,5yearly,0_4,1695.505
908,1955,estimates,male,5yearly,0_4,2116.609
908,1955,estimates,female,5yearly,0_14,1843.392
908,1955,estimates,male,5yearly,0_14,2324.754
908,1955,estimates,female,5yearly,0_19,1924.823
908,1955,estimates,male,5yearly,0_19,2475.394
908,1955,estimates,female,5yearly,0_24,2044.27
908,1955,estimates,male,5yearly,0_24,2704.939
908,1955,estimates,female,5yearly,5_14,147.887
908,1955,estimates,male,5yearly,5_14,208.145
908,1955,estimates,female,5yearly,15plus,13074.961
908,1955,estimates,male,5yearly,15plus,12908.808
908,1955,estimates,female,5yearly,15_24,200.878
908,1955,estimates,male,5yearly,15_24,380.185
908,1955,estimates,female,5yearly,15_49,1412.382
908,1955,estimates,male,5yearly,15_49,2086.405
908,1955,estimates,female,5yearly,15_59,2745.231
908,1955,estimates,male,5yearly,15_59,4069.073
908,1955,estimates,female,5yearly,15_64,3778.338
908,1955,estimates,male,5yearly,15_64,5399.796
908,1955,estimates,female,5yearly,20plus,12993.53
908,1955,estimates,male,5yearly,20plus,12758.168
908,1955,estimates,female,5yearly,20_64,3696.907
908,1955,estimates,male,5yearly,20_64,5249.156
908,1955,estimates,female,5yearly,20_69,5151.805
908,1955,estimates,male,5yearly,20_69,6804.26
908,1955,estimates,female,5yearly,25plus,12874.083
908,1955,estimates,male,5yearly,25plus,12528.623
908,1955,estimates,female,5yearly,25_69,5032.358
908,1955,estimates,male,5yearly,25_69,6574.715
908,1955,estimates,female,5yearly,40plus,12347.878
908,1955,estimates,male,5yearly,40plus,11737.905
908,1955,estimates,female,5yearly,50plus,11662.579
908,1955,estimates,male,5yearly,50plus,10822.403
908,1955,estimates,female,5yearly,60plus,10329.73
908,1955,estimates,male,5yearly,60plus,8839.735
908,1955,estimates,female,5yearly,65plus,9296.623
908,1955,estimates,male,5yearly,65plus,7509.012
908,1955,estimates,female,5yearly,70plus,7841.725
908,1955,estimates,male,5yearly,70plus,5953.908
908,1955,estimates,female,5yearly,80plus,3673.127
908,1955,estimates,male,5yearly,80plus,2378.111
908,1955,estimates,female,5yearly,90plus,556.853
908,1955,estimates,male,5yearly,90plus,268.288
908,1960,estimates,female,5yearly,0_4,1137.922
908,1960,estimates,male,5yearly,0_4,1478.837
908,1960,estimates,female,5yearly,0_14,1251.766
908,1960,estimates,male,5yearly,0_14,1657.15
908,1960,estimates,female,5yearly,0_19,1311.946
908,1960,estimates,male,5yearly,0_19,1787.655
908,1960,estimates,female,5yearly,0_24,1398.292
908,1960,estimates,male,5yearly,0_24,1985.106
908,1960,estimates,female,5yearly,5_14,113.844
908,1960,estimates,male,5yearly,5_14,178.313
908,1960,estimates,female,5yearly,15plus,13679.606
908,1960,estimates,male,5yearly,15plus,13588.616
908,1960,estimates,female,5yearly,15_24,146.526
908,1960,estimates,male,5yearly,15_24,327.956
908,1960,estimates,female,5yearly,15_49,1174.871
908,1960,estimates,male,5yearly,15_49,1964.867
908,1960,estimates,female,5yearly,15_59,2486.792
908,1960,estimates,male,5yearly,15_59,3998.142
908,1960,estimates,female,5yearly,15_64,3569.723
908,1960,estimates,male,5yearly,15_64,5531.823
908,1960,estimates,female,5yearly,20plus,13619.426
908,1960,estimates,male,5yearly,20plus,13458.111
908,1960,estimates,female,5yearly,20_64,3509.543
908,1960,estimates,male,5yearly,20_64,5401.318
908,1960,estimates,female,5yearly,20_69,5005.57
908,1960,estimates,male,5yearly,20_69,7106.09
908,1960,estimates,female,5yearly,25plus,13533.08
908,1960,estimates,male,5yearly,25plus,13260.66
908,1960,estimates,female,5yearly,25_69,4919.224
908,1960,estimates,male,5yearly,25_69,6908.639
908,1960,estimates,female,5yearly,40plus,13078.757
908,1960,estimates,male,5yearly,40plus,12419.398
908,1960,estimates,female,5yearly,50plus,12504.735
908,1960,estimates,male,5yearly,50plus,11623.749
908,1960,estimates,female,5yearly,60plus,11192.814
908,1960,estimates,male,5yearly,60plus,9590.474
908,1960,estimates,female,5yearly,65plus,10109.883
908,1960,estimates,male,5yearly,65plus,8056.793
908,1960,estimates,female,5yearly,70plus,8613.856
908,1960,estimates,male,5yearly,70plus,6352.021
908,1960,estimates,female,5yearly,80plus,4201.897
908,1960,estimates,male,5yearly,80plus,2636.741
908,1960,estimates,female,5yearly,90plus,666.167
908,1960,estimates,male,5yearly,90plus,314.422
908,1965,estimates,female,5yearly,0_4,832.043
908,1965,estimates,male,5yearly,0_4,1096.725
908,1965,estimates,female,5yearly,0_14,931.785
908,1965,estimates,male,5yearly,0_14,1261.67
908,1965,estimates,female,5yearly,0_19,994.185
908,1965,estimates,male,5yearly,0_19,1409.356
908,1965,estimates,female,5yearly,0_24,1066.295
908,1965,estimates,male,5yearly,0_24,1597.2
908,1965,estimates,female,5yearly,5_14,99.742
908,1965,estimates,male,5yearly,5_14,164.945
908,1965,estimates,female,5yearly,15plus,14831.809
908,1965,estimates,male,5yearly,15plus,14980.172
