continent,variant,gender,freq,year,totaldeaths
904,estimates,female,5yearly,1950,6664.898
904,estimates,male,5yearly,1950,7532.288
904,estimates,female,5yearly,1955,6659.55
904,estimates,male,5yearly,1955,7612.3
904,estimates,female,5yearly,1960,6710.334
904,estimates,male,5yearly,1960,7824.881
904,estimates,female,5yearly,1965,6738.143
904,estimates,male,5yearly,1965,8025.007
904,estimates,female,5yearly,1970,6643.18
904,estimates,male,5yearly,1970,8130.615
904,estimates,female,5yearly,1975,6653.3
904,estimates,male,5yearly,1975,8313.176
904,estimates,female,5yearly,1980,6635.464
904,estimates,male,5yearly,1980,8479.329
904,estimates,female,5yearly,1985,6658.646
904,estimates,male,5yearly,1985,8603.219
904,estimates,female,5yearly,1990,6706.401
904,estimates,male,5yearly,1990,8745.256
904,estimates,female,5yearly,1995,6734.815
904,estimates,male,5yearly,1995,8711.41
904,estimates,female,5yearly,2000,6935.873
904,estimates,male,5yearly,2000,8953.958
904,estimates,female,5yearly,2005,7365.007
904,estimates,male,5yearly,2005,9419.446
904,estimates,female,5yearly,2010,7957.463
904,estimates,male,5yearly,2010,10025.779
904,constant_fertility,female,5yearly,2015,8780.518
904,constant_fertility,male,5yearly,2015,10830.798
904,constant_mortality,female,5yearly,2015,9317.902
904,constant_mortality,male,5yearly,2015,11492.779
904,high_variant,female,5yearly,2015,8802.597
904,high_variant,male,5yearly,2015,10859.946
904,instant_replacement,female,5yearly,2015,8751.014
904,instant_replacement,male,5yearly,2015,10791.245
904,low_variant,female,5yearly,2015,8705.816
904,low_variant,male,5yearly,2015,10731.815
904,medium_variant,female,5yearly,2015,8754.204
904,medium_variant,male,5yearly,2015,10795.881
904,momentum,female,5yearly,2015,9317.046
904,momentum,male,5yearly,2015,11496.217
904,no_change,female,5yearly,2015,9348.756
904,no_change,male,5yearly,2015,11533.096
904,zero_migration,female,5yearly,2015,8753.892
904,zero_migration,male,5yearly,2015,10799.37
904,constant_fertility,female,5yearly,2020,9688.82
904,constant_fertility,male,5yearly,2020,11698.87
904,constant_mortality,female,5yearly,2020,10762.55
904,constant_mortality,male,5yearly,2020,13043.87
904,high_variant,female,5yearly,2020,9718.047
904,high_variant,male,5yearly,2020,11737.155
904,instant_replacement,female,5yearly,2020,9651.871
904,instant_replacement,male,5yearly,2020,11649.704
904,low_variant,female,5yearly,2020,9564.576
904,low_variant,male,5yearly,2020,11534.361
904,medium_variant,female,5yearly,2020,9641.312
904,medium_variant,male,5yearly,2020,11635.758
904,momentum,female,5yearly,2020,10794.069
904,momentum,male,5yearly,2020,13098.479
904,no_change,female,5yearly,2020,10826.868
904,no_change,male,5yearly,2020,13127.828
904,zero_migration,female,5yearly,2020,9651.226
904,zero_migration,male,5yearly,2020,11659.382
904,constant_fertility,female,5yearly,2025,10704.073
904,constant_fertility,male,5yearly,2025,12636.563
904,constant_mortality,female,5yearly,2025,12330.961
904,constant_mortality,male,5yearly,2025,14697.284
904,high_variant,female,5yearly,2025,10734.109
